mouse_id,sex,order,grain_interaction_time,pr_interaction_time,nr_interaction_time
FEDXA01,M,2.0,123.46666666666667,270.0,283.5
FEDXA02,M,2.0,116.06666666666666,269.3666666666667,232.7
FEDXA03,M,2.0,89.88333333333334,262.1333333333333,347.3666666666667
FEDXA04,M,2.0,110.96666666666667,234.06666666666666,288.46666666666664
FEDXA05,M,2.0,134.91666666666666,262.05,320.1166666666667
FEDXA06,M,2.0,100.3,213.15,207.2
FEDXA07,M,1.0,126.91666666666667,228.43333333333334,213.81666666666666
FEDXA08,M,1.0,133.48333333333332,214.75,213.61666666666667
FEDXA09,M,1.0,123.8,267.9166666666667,236.76666666666668
FEDXA10,M,1.0,100.48333333333333,216.18333333333334,200.63333333333333
FEDXA11,M,1.0,151.98333333333332,192.48333333333332,192.31666666666666
FEDXA12,M,1.0,123.91666666666667,255.96666666666667,249.73333333333332
FEDXB01,F,2.0,136.45,308.53333333333336,279.1
FEDXB02,F,2.0,93.55,294.0833333333333,224.3
FEDXB03,F,2.0,85.78333333333333,219.55,191.06666666666666
FEDXB04,F,2.0,71.0,242.6,263.03333333333336
FEDXB05,F,2.0,111.05,251.11666666666667,246.48333333333332
FEDXB06,F,2.0,126.51666666666667,243.68333333333334,350.71666666666664
FEDXB07,F,1.0,125.61666666666666,331.53333333333336,248.73333333333332
FEDXB08,F,1.0,100.96666666666667,195.9,225.73333333333332
FEDXB10,F,1.0,95.08333333333333,231.51666666666668,197.53333333333333
FEDXB11,F,1.0,100.58333333333333,190.5,182.01666666666668
FEDXB12,F,1.0,126.9,293.3666666666667,293.6
