"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",-5.60000000000003,19.186261532121,19,-0.291875516792299,1
"2","NR0 F Order1 - NR2 F Order1",-22.8,15.9446300700322,19,-1.4299485093011,0.999984859645844
"3","NR0 F Order1 - NR3 F Order1",-14,17.7727368584187,19,-0.787723360308929,1
"4","NR0 F Order1 - NR4 F Order1",-34.4,20.265440290688,19,-1.6974711383797,0.999454006244704
"5","NR0 F Order1 - NR5 F Order1",-31,24.8707888968339,19,-1.24644216669566,0.999999532089904
"6","NR0 F Order1 - NR6 F Order1",-12.2000000000001,22.4909260455403,19,-0.542440981545051,1
"7","NR0 F Order1 - PR0 F Order1",15.2,23.8288782488075,19,0.637881474792488,1
"8","NR0 F Order1 - PR1 F Order1",-40.0000000000001,24.0357190338397,19,-1.66418986441323,0.99962342467444
"9","NR0 F Order1 - PR2 F Order1",-21.6,22.2503380616936,19,-0.97077176715741,1
"10","NR0 F Order1 - PR3 F Order1",-11.0000000000001,15.9850258877357,19,-0.688144021614612,1
"11","NR0 F Order1 - PR4 F Order1",-17.2,14.6205095070457,19,-1.17642958966041,0.999999907764036
"12","NR0 F Order1 - PR5 F Order1",-49.2,13.5704658674509,19,-3.62552033810479,0.323506531203402
"13","NR0 F Order1 - PR6 F Order1",-45,11.0108399539376,19,-4.08688167190257,0.160780267696911
"14","NR0 F Order1 - NR0 M Order1",-4.00000000000002,21.3348272503241,19,-0.187486870789604,1
"15","NR0 F Order1 - NR1 M Order1",-11.6666666666667,22.4031965659874,19,-0.520759019022271,1
"16","NR0 F Order1 - NR2 M Order1",-18.8333333333333,19.504213070139,19,-0.965603342498715,1
"17","NR0 F Order1 - NR3 M Order1",-12,19.9092091301271,19,-0.602736146954292,1
"18","NR0 F Order1 - NR4 M Order1",-13.3333333333333,19.9325544059511,19,-0.668922460302054,1
"19","NR0 F Order1 - NR5 M Order1",-21.5,21.4071024449298,19,-1.0043395669876,1
"20","NR0 F Order1 - NR6 M Order1",-19.6666666666667,19.8100408706859,19,-0.992762548802646,1
"21","NR0 F Order1 - PR0 M Order1",26.5,19.8004814165587,19,1.33835129775373,0.99999696902799
