"","contrast","estimate","SE","df","t.ratio","p.value"
"1","G0 F Order1 - G1 F Order1",16.6000000000001,35.4983864224346,19,0.467626888795968,1
"2","G0 F Order1 - G2 F Order1",19.8,30.0710795376788,19,0.658439946433942,1
"3","G0 F Order1 - NR0 F Order1",66.4000000000001,36.4589699693789,19,1.82122534058883,0.999238532636659
"4","G0 F Order1 - NR1 F Order1",60.8000000000001,33.2247741005878,19,1.8299597708604,0.999167234513147
"5","G0 F Order1 - NR2 F Order1",43.6000000000001,31.1092359501726,19,1.40151304486661,0.999998162182688
"6","G0 F Order1 - NR3 F Order1",52.4000000000001,30.6917384163482,19,1.70729983714734,0.999788043915809
"7","G0 F Order1 - NR4 F Order1",32.0000000000001,28.1622492124076,19,1.1362728792948,1
"8","G0 F Order1 - NR5 F Order1",35.4000000000001,25.600685297845,19,1.38277548386488,0.999998731983579
"9","G0 F Order1 - NR6 F Order1",54.2,23.5538502085991,19,2.30110998923703,0.972720931950053
"10","G0 F Order1 - PR0 F Order1",81.6000000000001,30.0521243082514,19,2.71528225968356,0.859248348312119
"11","G0 F Order1 - PR1 F Order1",26.4,33.8668238012655,19,0.779523942219037,1
"12","G0 F Order1 - PR2 F Order1",44.8000000000001,32.237136697544,19,1.38970158610312,0.999998543652068
"13","G0 F Order1 - PR3 F Order1",55.4,33.0050820116613,19,1.67852938466949,0.999851906551915
"14","G0 F Order1 - PR4 F Order1",49.2000000000001,33.8817810588419,19,1.45210784269444,0.999995254713289
"15","G0 F Order1 - PR5 F Order1",17.2000000000001,33.7347444403562,19,0.509860094847023,1
"16","G0 F Order1 - PR6 F Order1",21.4000000000001,33.2610145323215,19,0.643395888577138,1
"17","G0 F Order1 - G0 M Order1",-29.7666666666667,37.8966592673514,19,-0.785469411872701,1
"18","G0 F Order1 - G1 M Order1",7.23333333333346,31.2341384307103,19,0.231584211915429,1
"19","G0 F Order1 - G2 M Order1",30.5666666666667,34.2650112235798,19,0.892066442564944,1
"20","G0 F Order1 - NR0 M Order1",62.4000000000001,31.4683318025082,19,1.98294591501118,0.996631972235644
"21","G0 F Order1 - NR1 M Order1",54.7333333333334,32.2022401240325,19,1.69967471587438,0.99980696869815
"22","G0 F Order1 - NR2 M Order1",47.5666666666668,30.2571541972632,19,1.5720799899605,0.999965947173095
"23","G0 F Order1 - NR3 M Order1",54.4000000000001,30.5197912971028,19,1.78244993454998,0.999495376020714
"24","G0 F Order1 - NR4 M Order1",53.0666666666668,30.5350254261852,19,1.73789495590724,0.999694729791819
"25","G0 F Order1 - NR5 M Order1",44.9000000000001,31.5173775514287,19,1.42461091271741,0.999997139309648
"26","G0 F Order1 - NR6 M Order1",46.7333333333334,30.4551928565528,19,1.53449474293111,0.999980906063899
"27","G0 F Order1 - PR0 M Order1",92.9000000000001,30.4489756307017,19,3.05100575883837,0.692011356125724
"28","G0 F Order1 - PR1 M Order1",77.9,31.5081684387172,19,2.47237474788527,0.939625932731291
"29","G0 F Order1 - PR2 M Order1",45.5666666666667,31.486961006904,19,1.44715987855022,0.999995660788506
"30","G0 F Order1 - PR3 M Order1",37.2333333333333,31.2960313609788,19,1.18971421340526,1
"31","G0 F Order1 - PR4 M Order1",29.9000000000001,31.797693836713,19,0.940319765123286,1
"32","G0 F Order1 - PR5 M Order1",32.7333333333334,31.6033263109776,19,1.03575595211835,1
"33","G0 F Order1 - PR6 M Order1",42.2333333333334,31.4582021026658,19,1.34252215671774,0.999999450402907
"34","G0 F Order1 - G0 F Order2",22.9,37.8966592673514,19,0.604274900287285,1
"35","G0 F Order1 - G1 F Order2",19.0666666666668,31.2341384307103,19,0.610443176108867,1
"36","G0 F Order1 - G2 F Order2",37.4,34.2650112235798,19,1.09149241936518,1
"37","G0 F Order1 - NR0 F Order2",29.5666666666667,31.4683318025082,19,0.93956892447378,1
"38","G0 F Order1 - NR1 F Order2",4.40000000000005,32.2022401240325,19,0.136636457061766,1
"39","G0 F Order1 - NR2 F Order2",41.4000000000001,30.2571541972632,19,1.3682714418577,0.99999905592536
"40","G0 F Order1 - NR3 F Order2",57.4000000000001,30.5197912971028,19,1.88074680594061,0.998629066189952
"41","G0 F Order1 - NR4 F Order2",73.2333333333334,30.5350254261852,19,2.39833870485441,0.956173498239967
"42","G0 F Order1 - NR5 F Order2",22.9000000000001,31.5173775514287,19,0.726583294014005,1
"43","G0 F Order1 - NR6 F Order2",26.0666666666667,30.4551928565528,19,0.855902203261147,1
"44","G0 F Order1 - PR0 F Order2",104.4,30.4489756307017,19,3.42868677311869,0.477102738396237
"45","G0 F Order1 - PR1 F Order2",78.5666666666667,31.5081684387172,19,2.49353328231304,0.934227664566125
"46","G0 F Order1 - PR2 F Order2",21.4000000000001,31.486961006904,19,0.679646409677574,1
"47","G0 F Order1 - PR3 F Order2",40.7333333333333,31.2960313609788,19,1.3015494796609,1
"48","G0 F Order1 - PR4 F Order2",26.9000000000001,31.797693836713,19,0.845973300395198,1
"49","G0 F Order1 - PR5 F Order2",10.7333333333334,31.6033263109776,19,0.339626697130457,1
"50","G0 F Order1 - PR6 F Order2",48.2333333333334,31.4582021026658,19,1.53325142917961,0.999981278820547
"51","G0 F Order1 - G0 M Order2",-27.1000000000001,37.8966592673514,19,-0.715102611257007,1
"52","G0 F Order1 - G1 M Order2",-18.9333333333332,31.2341384307103,19,-0.606174342709495,1
"53","G0 F Order1 - G2 M Order2",65.9,34.2650112235798,19,1.92324466406859,0.997975421436512
"54","G0 F Order1 - NR0 M Order2",-26.1,31.4683318025082,19,-0.829405262528715,1
"55","G0 F Order1 - NR1 M Order2",-6.4333333333333,32.2022401240325,19,-0.199779062219094,1
"56","G0 F Order1 - NR2 M Order2",13.4000000000001,30.2571541972632,19,0.442870466688245,1
"57","G0 F Order1 - NR3 M Order2",17.0666666666668,30.5197912971028,19,0.559199979466664,1
"58","G0 F Order1 - NR4 M Order2",18.4000000000001,30.5350254261852,19,0.602586693254271,1
"59","G0 F Order1 - NR5 M Order2",29.9000000000001,31.5173775514287,19,0.94868299087418,1
"60","G0 F Order1 - NR6 M Order2",34.2333333333333,30.4551928565528,19,1.1240557068404,1
"61","G0 F Order1 - PR0 M Order2",76.5666666666667,30.4489756307017,19,2.51458924580256,0.928552977721845
"62","G0 F Order1 - PR1 M Order2",84.4,31.5081684387172,19,2.67867045855606,0.873905166960349
"63","G0 F Order1 - PR2 M Order2",55.4000000000001,31.486961006904,19,1.75945846243633,0.999609051443252
