"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",-1,4.5092497528229,19,-0.221766381286372,1
"2","NR0 F Order1 - NR2 F Order1",-8.4,4.79239163089367,19,-1.75277828837073,0.999026419030296
"3","NR0 F Order1 - NR3 F Order1",-3.4,4.23046594422685,19,-0.803693977170493,1
"4","NR0 F Order1 - NR4 F Order1",-1.8,4.97410840110717,19,-0.361873898767334,1
"5","NR0 F Order1 - NR5 F Order1",-3.20000000000001,5.24902664326962,19,-0.609636836974926,1
"6","NR0 F Order1 - NR6 F Order1",2.4,4.27419839617028,19,0.561508797099926,1
"7","NR0 F Order1 - PR0 F Order1",-7.99999999999999,6.44572481735395,19,-1.24113272388878,0.999999583624169
"8","NR0 F Order1 - PR1 F Order1",-12,6.43210150919289,19,-1.86564219840893,0.997232546646636
"9","NR0 F Order1 - PR2 F Order1",-10,6.18402015384474,19,-1.61707105591866,0.999784547994374
"10","NR0 F Order1 - PR3 F Order1",-5.4,6.3313755053285,19,-0.852895235080489,1
"11","NR0 F Order1 - PR4 F Order1",-8.60000000000001,5.47549565168113,19,-1.57063406622551,0.999880595572129
"12","NR0 F Order1 - PR5 F Order1",-12.2,5.5115190379117,19,-2.21354583302365,0.971394762180853
"13","NR0 F Order1 - PR6 F Order1",-14,5.33853912601566,19,-2.62244027242874,0.856060646347587
"14","NR0 F Order1 - NR0 M Order1",1.93333333333334,7.04982684039347,19,0.274238414233935,1
"15","NR0 F Order1 - NR1 M Order1",-0.9,6.85553091259658,19,-0.13128086088071,1
"16","NR0 F Order1 - NR2 M Order1",-5.4,7.10650389860012,19,-0.759867309868602,1
"17","NR0 F Order1 - NR3 M Order1",1.6,7.07185757708986,19,0.226248900314876,1
"18","NR0 F Order1 - NR4 M Order1",1.43333333333334,7.15971102687141,19,0.200194299456198,1
"19","NR0 F Order1 - NR5 M Order1",2.93333333333333,7.15047538598757,19,0.410229135125986,1
"20","NR0 F Order1 - NR6 M Order1",1.93333333333334,7.24916208104033,19,0.266697490236814,1
"21","NR0 F Order1 - PR0 M Order1",-1.23333333333332,6.52445243159637,19,-0.189032466136252,1
"22","NR0 F Order1 - PR1 M Order1",-6.89999999999999,7.70194400917508,19,-0.895877715000297,1
"23","NR0 F Order1 - PR2 M Order1",-11.7333333333333,7.90836037005712,19,-1.48366194562383,0.999964876732403
"24","NR0 F Order1 - PR3 M Order1",-8.23333333333333,7.79728922756144,19,-1.05592252551446,1
"25","NR0 F Order1 - PR4 M Order1",-4.40000000000001,7.18921788522017,19,-0.612027632247128,1
"26","NR0 F Order1 - PR5 M Order1",-4.23333333333333,7.55703846816706,19,-0.560184171506554,1
"27","NR0 F Order1 - PR6 M Order1",-3.39999999999999,8.07003699347304,19,-0.421311575492142,1
"28","NR0 F Order1 - NR0 F Order2",-11.0666666666667,7.04982684039347,19,-1.56977850906321,0.999881933332751
"29","NR0 F Order1 - NR1 F Order2",-13.0666666666667,6.85553091259658,19,-1.90600360982365,0.99613496732614
"30","NR0 F Order1 - NR2 F Order2",-9.73333333333334,7.10650389860012,19,-1.3696373733434,0.999994609697223
"31","NR0 F Order1 - NR3 F Order2",-5.9,7.07185757708986,19,-0.834292819911103,1
"32","NR0 F Order1 - NR4 F Order2",-0.4,7.15971102687141,19,-0.0558681765924272,1
"33","NR0 F Order1 - NR5 F Order2",-12.7333333333333,7.15047538598757,19,-1.78076738202417,0.998717881729688
"34","NR0 F Order1 - NR6 F Order2",-0.566666666666662,7.24916208104033,19,-0.0781699540349275,1
"35","NR0 F Order1 - PR0 F Order2",-3.89999999999999,6.52445243159637,19,-0.597751311836258,1
"36","NR0 F Order1 - PR1 F Order2",-13.0666666666667,7.70194400917508,19,-1.6965413733339,0.999459510113182
"37","NR0 F Order1 - PR2 F Order2",-28.9,7.90836037005712,19,-3.65436053084051,0.310763116617312
"38","NR0 F Order1 - PR3 F Order2",-23.2333333333333,7.79728922756144,19,-2.97966801734241,0.673574069397566
"39","NR0 F Order1 - PR4 F Order2",-23.9,7.18921788522017,19,-3.32442282061508,0.475306556263862
"40","NR0 F Order1 - PR5 F Order2",-22.9,7.55703846816706,19,-3.03028760492129,0.644392857790935
"41","NR0 F Order1 - PR6 F Order2",-12.7333333333333,8.07003699347304,19,-1.57785315527449,0.999868764444158
