"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","G0","F",1,28.8,9.338094023943,5
"2","G0","F",2,31.3333333333333,10.092901796147,6
"3","G0","M",1,35.8333333333333,13.1059782796503,6
"4","G0","M",2,42.6666666666667,12.0111059718357,6
"5","G1","F",1,22.8,15.303594349041,5
"6","G1","F",2,26.5,10.4067285925982,6
"7","G1","M",1,21.5,8.75785361832453,6
"8","G1","M",2,29.1666666666667,12.3517879947264,6
"9","G2","F",1,19.6,16.86119805945,5
"10","G2","F",2,21.6666666666667,5.92171146432065,6
"11","G2","M",1,17,5.65685424949238,6
"12","G2","M",2,18.1666666666667,10.9802853636263,6
"13","NR0","F",1,25.6,11.458621208505,5
"14","NR0","F",2,36.6666666666667,14.389811210251,6
"15","NR0","M",1,23.6666666666667,6.94742158406028,6
"16","NR0","M",2,21.5,12.4378454725889,6
"17","NR1","F",1,26.6,13.7404512298541,5
"18","NR1","F",2,38.6666666666667,13.5302131049983,6
"19","NR1","M",1,26.5,5.46808924579693,6
"20","NR1","M",2,21.3333333333333,9.45868207873944,6
"21","NR2","F",1,34,19.0787840283389,5
"22","NR2","F",2,35.3333333333333,12.1764800606196,6
"23","NR2","M",1,31,5.05964425626941,6
"24","NR2","M",2,22.5,8.26438140455775,6
"25","NR3","F",1,29,16.9115345252878,5
"26","NR3","F",2,31.5,11.9457105272144,6
"27","NR3","M",1,24,5.51361950083609,6
"28","NR3","M",2,20.6666666666667,10.9666160079884,6
"29","NR4","F",1,27.4,18.4200977196105,5
"30","NR4","F",2,26,12.7593103261893,6
"31","NR4","M",1,24.1666666666667,6.99761864255739,6
"32","NR4","M",2,19.3333333333333,8.2138095100061,6
"33","NR5","F",1,28.8,15.5948709516943,5
"34","NR5","F",2,38.3333333333333,13.6626010212795,6
"35","NR5","M",1,22.6666666666667,9.5008771524879,6
"36","NR5","M",2,21.1666666666667,8.72735164105736,6
"37","NR6","F",1,23.2,19.0971202017477,5
"38","NR6","F",2,26.1666666666667,10.8151128827519,6
"39","NR6","M",1,23.6666666666667,7.31209044437134,6
"40","NR6","M",2,16.3333333333333,10.8566415924385,6
"41","PR0","F",1,33.6,13.3529023062404,5
"42","PR0","F",2,29.5,8.64291617453276,6
"43","PR0","M",1,26.8333333333333,7.96031825159438,6
"44","PR0","M",2,37.8333333333333,8.47152091815081,6
"45","PR1","F",1,37.6,22.7222358054836,5
"46","PR1","F",2,38.6666666666667,4.27395211328656,6
"47","PR1","M",1,32.5,15.1756383720752,6
"48","PR1","M",2,38,8.53229160308062,6
"49","PR2","F",1,35.6,22.7771815640127,5
"50","PR2","F",2,54.5,9.35414346693485,6
"51","PR2","M",1,37.3333333333333,11.6733314296591,6
"52","PR2","M",2,47.3333333333333,13.0025638497439,6
"53","PR3","F",1,31,20.6518764280634,5
"54","PR3","F",2,48.8333333333333,9.36838655621482,6
"55","PR3","M",1,33.8333333333333,15.2370163308525,6
"56","PR3","M",2,44.1666666666667,10.3424690798023,6
"57","PR4","F",1,34.2,13.2363136862194,5
"58","PR4","F",2,49.5,13.6051460852135,6
"59","PR4","M",1,30,10.1390334845093,6
"60","PR4","M",2,43.3333333333333,11.5007246148522,6
"61","PR5","F",1,37.8,18.9921036222952,5
"62","PR5","F",2,48.5,11.3446022407134,6
"63","PR5","M",1,29.8333333333333,12.5605201590805,6
"64","PR5","M",2,43.1666666666667,10.4387100097027,6
"65","PR6","F",1,39.6,17.8689675135415,5
"66","PR6","F",2,38.3333333333333,11.8771489283694,6
"67","PR6","M",1,29,10.373041983912,6
"68","PR6","M",2,41.3333333333333,19.0438091427809,6
