"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,13,6.59545297913646,5
"2","NR0","F",2,15.1666666666667,7.70497674666619,6
"3","NR0","M",1,14.3333333333333,4.45720390678581,6
"4","NR0","M",2,26,8.43800924389159,6
"5","NR1","F",1,13.6,8.38450952650183,5
"6","NR1","F",2,16.5,5.16720427310553,6
"7","NR1","M",1,15.8333333333333,2.99443929086343,6
"8","NR1","M",2,23.8333333333333,9.38971068066885,6
"9","NR2","F",1,12.6,8.01872807869178,5
"10","NR2","F",2,14.1666666666667,5.81090928054007,6
"11","NR2","M",1,14.5,1.7606816861659,6
"12","NR2","M",2,22.5,7.73950902835574,6
"13","NR3","F",1,12.8,7.46324326281812,5
"14","NR3","F",2,13.3333333333333,6.47044563122716,6
"15","NR3","M",1,16,3.03315017762062,6
"16","NR3","M",2,22,6.19677335393187,6
"17","NR4","F",1,17.8,8.22800097228968,5
"18","NR4","F",2,12.5,6.53452370108182,6
"19","NR4","M",1,17,3.74165738677394,6
"20","NR4","M",2,23,5.86515131944607,6
"21","NR5","F",1,15.4,6.18869937870632,5
"22","NR5","F",2,14.3333333333333,9.3523615556001,6
"23","NR5","M",1,16.3333333333333,2.16024689946929,6
"24","NR5","M",2,19.1666666666667,4.35507366948788,6
"25","NR6","F",1,15.8,6.72309452558864,5
"26","NR6","F",2,20.1666666666667,9.55859124906315,6
"27","NR6","M",1,17,2.68328157299975,6
"28","NR6","M",2,21.1666666666667,5.19294393062997,6
"29","PR0","F",1,8,3.67423461417477,5
"30","PR0","F",2,4.5,4.59347363114234,6
"31","PR0","M",1,9,1.54919333848297,6
"32","PR0","M",2,6.66666666666667,1.211060141639,6
"33","PR1","F",1,13.6,5.59464029227975,5
"34","PR1","F",2,4.5,3.08220700148449,6
"35","PR1","M",1,9,3.5213633723318,6
"36","PR1","M",2,4,1.89736659610103,6
"37","PR2","F",1,12.6,8.64869932417586,5
"38","PR2","F",2,6.33333333333333,2.42212028327799,6
"39","PR2","M",1,10.3333333333333,3.14112506383727,6
"40","PR2","M",2,4.66666666666667,2.80475786239502,6
"41","PR3","F",1,12.8,9.44457516249408,5
"42","PR3","F",2,5.5,1.37840487520902,6
"43","PR3","M",1,13.3333333333333,2.58198889747161,6
"44","PR3","M",2,8,3.46410161513775,6
"45","PR4","F",1,10.6,7.3348483283569,5
"46","PR4","F",2,7.83333333333333,2.13697605664328,6
"47","PR4","M",1,16,2.28035085019828,6
"48","PR4","M",2,12.6666666666667,6.94742158406028,6
"49","PR5","F",1,16,9.02773504263389,5
"50","PR5","F",2,12.5,4.03732584763727,6
"51","PR5","M",1,15.6666666666667,3.9327683210007,6
"52","PR5","M",2,15.8333333333333,5.91326193117358,6
"53","PR6","F",1,14.4,6.87749954561976,5
"54","PR6","F",2,11,5.05964425626941,6
"55","PR6","M",1,15,3.286335345031,6
"56","PR6","M",2,19.8333333333333,8.61200712184254,6
