"","contrast","estimate","SE","df","t.ratio","p.value"
"1","G0 F Order1 - G1 F Order1",-0.199999999999996,4.45125647548266,19,-0.0449311337375385,1
"2","G0 F Order1 - G2 F Order1",-1.4,3.4133895280462,19,-0.410149497587915,1
"3","G0 F Order1 - NR0 F Order1",6.60000000000001,4.74289866213672,19,1.39155408330539,0.99999848909209
"4","G0 F Order1 - NR1 F Order1",6.00000000000001,4.44636654343707,19,1.3494164148154,0.99999936332501
"5","G0 F Order1 - NR2 F Order1",7.00000000000001,4.40832545682976,19,1.5879045384807,0.999956978157401
"6","G0 F Order1 - NR3 F Order1",6.8,4.2025055183282,19,1.61808234881393,0.999933827682617
"7","G0 F Order1 - NR4 F Order1",1.80000000000001,4.08243993090819,19,0.440912794912717,1
"8","G0 F Order1 - NR5 F Order1",4.2,3.64999399182394,19,1.15068682562439,1
"9","G0 F Order1 - NR6 F Order1",3.80000000000001,3.62321946592331,19,1.04879100913961,1
"10","G0 F Order1 - PR0 F Order1",11.6,3.91268741493843,19,2.96471421553172,0.739433449111083
"11","G0 F Order1 - PR1 F Order1",6.00000000000001,3.91824343028191,19,1.53129842664429,0.999981851096485
"12","G0 F Order1 - PR2 F Order1",7.00000000000001,4.06568869460065,19,1.72172552445941,0.999747741214823
"13","G0 F Order1 - PR3 F Order1",6.8,4.22768652259523,19,1.60844470460542,0.999942204989791
"14","G0 F Order1 - PR4 F Order1",9.00000000000001,4.25152191532529,19,2.11688900568948,0.990882331036999
"15","G0 F Order1 - PR5 F Order1",3.6,4.31667513377209,19,0.833975198141486,1
"16","G0 F Order1 - PR6 F Order1",5.2,4.03967169067253,19,1.28723331948154,1
"17","G0 F Order1 - G0 M Order1",-1.23333333333333,4.69493941817686,19,-0.262694195490228,1
"18","G0 F Order1 - G1 M Order1",-2.9,4.17519127971668,19,-0.69457895596026,1
"19","G0 F Order1 - G2 M Order1",-1.23333333333333,4.15873631278761,19,-0.296564446642357,1
"20","G0 F Order1 - NR0 M Order1",5.26666666666667,4.48858851985619,19,1.17334583987115,1
"21","G0 F Order1 - NR1 M Order1",3.76666666666667,4.46330719434716,19,0.84391831049344,1
"22","G0 F Order1 - NR2 M Order1",5.1,4.30388781131638,19,1.18497512565044,1
"23","G0 F Order1 - NR3 M Order1",3.6,4.23101884512894,19,0.850858890440676,1
"24","G0 F Order1 - NR4 M Order1",2.60000000000001,4.2888472258074,19,0.60622350555062,1
"25","G0 F Order1 - NR5 M Order1",3.26666666666667,4.2708107616006,19,0.76488209125014,1
"26","G0 F Order1 - NR6 M Order1",2.60000000000001,4.37206710381187,19,0.594684376580851,1
"27","G0 F Order1 - PR0 M Order1",10.6,3.68671552266096,19,2.87518793756814,0.785936732644201
"28","G0 F Order1 - PR1 M Order1",10.6,3.7735692071835,19,2.80901168575932,0.81798237143527
"29","G0 F Order1 - PR2 M Order1",9.26666666666667,3.96015239827255,19,2.33997728741673,0.966771988721481
"30","G0 F Order1 - PR3 M Order1",6.26666666666667,4.0068727506331,19,1.56397945646677,0.999969854826207
"31","G0 F Order1 - PR4 M Order1",3.6,4.05662406816424,19,0.887437420749004,1
"32","G0 F Order1 - PR5 M Order1",3.93333333333334,4.22015492634325,19,0.932035293012705,1
"33","G0 F Order1 - PR6 M Order1",4.6,4.30490676115316,19,1.06854811386618,1
"34","G0 F Order1 - G0 F Order2",2.93333333333333,4.69493941817686,19,0.624786194679463,1
"35","G0 F Order1 - G1 F Order2",1.10000000000001,4.17519127971668,19,0.263460983295273,1
"36","G0 F Order1 - G2 F Order2",-0.23333333333333,4.15873631278761,19,-0.0561067872026074,1
"37","G0 F Order1 - NR0 F Order2",4.43333333333334,4.48858851985619,19,0.987689852549767,1
"38","G0 F Order1 - NR1 F Order2",3.10000000000001,4.46330719434716,19,0.694552237839734,1
"39","G0 F Order1 - NR2 F Order2",5.43333333333333,4.30388781131638,19,1.26242448026811,1
"40","G0 F Order1 - NR3 F Order2",6.26666666666667,4.23101884512894,19,1.48112473521155,0.999992090984172
"41","G0 F Order1 - NR4 F Order2",7.10000000000001,4.2888472258074,19,1.65545649592669,0.999890166933416
"42","G0 F Order1 - NR5 F Order2",5.26666666666667,4.2708107616006,19,1.23317724915839,1
"43","G0 F Order1 - NR6 F Order2",-0.566666666666659,4.37206710381187,19,-0.129610697459927,1
"44","G0 F Order1 - PR0 F Order2",15.1,3.68671552266096,19,4.09578659030933,0.190541183460627
"45","G0 F Order1 - PR1 F Order2",15.1,3.7735692071835,19,4.00151664669489,0.220361125529003
"46","G0 F Order1 - PR2 F Order2",13.2666666666667,3.96015239827255,19,3.35003942587,0.520876065558732
"47","G0 F Order1 - PR3 F Order2",14.1,4.0068727506331,19,3.51895377705023,0.428750723790123
"48","G0 F Order1 - PR4 F Order2",11.7666666666667,4.05662406816424,19,2.90060564374443,0.773069872967793
"49","G0 F Order1 - PR5 F Order2",7.1,4.22015492634325,19,1.68240268992971,0.999844442643032
"50","G0 F Order1 - PR6 F Order2",8.6,4.30490676115316,19,1.9977203867933,0.996204898013297
"51","G0 F Order1 - G0 M Order2",2.43333333333333,4.69493941817686,19,0.518288547859099,1
"52","G0 F Order1 - G1 M Order2",-0.233333333333329,4.17519127971668,19,-0.0558856631232384,1
"53","G0 F Order1 - G2 M Order2",4.26666666666667,4.15873631278761,19,1.02595268027626,1
"54","G0 F Order1 - NR0 M Order2",-6.4,4.48858851985619,19,-1.42583798262823,0.99999707258448
"55","G0 F Order1 - NR1 M Order2",-4.23333333333333,4.46330719434716,19,-0.948474561351032,1
"56","G0 F Order1 - NR2 M Order2",-2.9,4.30388781131638,19,-0.673809385173778,1
"57","G0 F Order1 - NR3 M Order2",-2.4,4.23101884512894,19,-0.567239260293784,1
"58","G0 F Order1 - NR4 M Order2",-3.39999999999999,4.2888472258074,19,-0.792753814950805,1
"59","G0 F Order1 - NR5 M Order2",0.433333333333329,4.2708107616006,19,0.10146395088012,1
"60","G0 F Order1 - NR6 M Order2",-1.56666666666666,4.37206710381187,19,-0.35833545768333,1
"61","G0 F Order1 - PR0 M Order2",12.9333333333333,3.68671552266096,19,3.5080909426932,0.434444425850305
"62","G0 F Order1 - PR1 M Order2",15.6,3.7735692071835,19,4.13401719790995,0.179419510793008
"63","G0 F Order1 - PR2 M Order2",14.9333333333333,3.96015239827255,19,3.77089865022552,0.308402176326542
"64","G0 F Order1 - PR3 M Order2",11.6,4.0068727506331,19,2.89502580239593,0.775919030123483
"65","G0 F Order1 - PR4 M Order2",6.93333333333334,4.05662406816424,19,1.70913873625734,0.999783242904756
"66","G0 F Order1 - PR5 M Order2",3.76666666666667,4.22015492634325,19,0.892542272122335,1
"67","G0 F Order1 - PR6 M Order2",-0.233333333333333,4.30490676115316,19,-0.0542017159207485,1
"68","G1 F Order1 - G2 F Order1",-1.2,3.54663171068382,19,-0.338349199434816,1
"69","G1 F Order1 - NR0 F Order1",6.80000000000001,4.24735211631906,19,1.60099747178324,0.999948015950106
"70","G1 F Order1 - NR1 F Order1",6.2,3.42150064542836,19,1.81207038738518,0.999307572477357
"71","G1 F Order1 - NR2 F Order1",7.2,3.26942239654309,19,2.20222385691518,0.984308311951184
"72","G1 F Order1 - NR3 F Order1",7,3.25279906455747,19,2.15199274872895,0.988510098860196
"73","G1 F Order1 - NR4 F Order1",2.00000000000001,3.09215192200706,19,0.646798750658359,1
"74","G1 F Order1 - NR5 F Order1",4.4,3.40927527412159,19,1.29059687066005,1
