Sex,Order,Mouse,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
M,1,FEDXA07,26,29,20,20,19,14,16,18,19,20,8,7,10,12,17,17,19
M,1,FEDXA08,27,24,22,8,13,14,13,14,17,15,12,12,10,16,15,11,16
M,1,FEDXA09,18,15,19,13,15,16,17,19,18,18,8,7,8,9,14,20,11
M,1,FEDXA10,17,29,22,13,19,17,20,23,16,20,8,11,16,15,16,14,17
M,1,FEDXA11,21,19,22,19,12,14,12,13,15,14,9,4,7,13,14,12,11
M,1,FEDXA12,16,19,20,13,17,12,18,15,13,15,9,13,11,15,20,20,16
M,2,FEDXA01,25,22,18,27,24,23,22,25,22,25,6,7,8,9,19,19,28
M,2,FEDXA02,25,11,18,26,16,12,15,16,20,20,8,4,6,9,9,17,16
M,2,FEDXA03,11,19,17,37,39,30,31,30,23,24,5,4,3,14,19,20,24
M,2,FEDXA04,13,15,16,33,26,28,25,29,21,27,8,4,5,5,16,22,29
M,2,FEDXA05,19,23,23,18,26,28,24,20,18,18,6,1,6,6,12,9,15
M,2,FEDXA06,10,29,0,15,12,14,15,18,11,13,7,4,0,5,1,8,7
F,1,FEDXB07,23,20,29,20,20,19,15,24,13,18,7,18,18,19,17,18,20
F,1,FEDXB08,12,27,20,17,19,17,18,21,22,22,7,17,22,21,18,20,15
F,1,FEDXB10,16,15,13,7,6,6,6,9,11,14,8,8,5,3,4,7,9
F,1,FEDXB11,26,13,21,5,3,2,4,9,9,5,4,7,2,2,2,7,6
F,1,FEDXB12,21,24,22,16,20,19,21,26,22,20,14,18,16,19,12,28,22
F,2,FEDXB01,14,26,27,12,15,7,7,8,6,17,4,6,2,7,8,9,4
F,2,FEDXB02,13,15,16,10,14,12,10,10,12,19,13,10,6,5,8,9,13
F,2,FEDXB03,2,15,20,12,8,10,6,4,10,13,5,2,8,4,6,13,8
F,2,FEDXB04,11,20,15,21,21,22,19,19,21,19,0,3,6,6,9,12,12
F,2,FEDXB05,25,14,15,28,20,14,21,13,7,14,4,2,9,7,11,20,19
F,2,FEDXB06,35,21,26,8,21,20,17,21,30,39,1,4,7,4,5,12,10
