"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",-4.75000000000002,2.98884107902561,21,-1.58924475219959,0.761688751016937
"PR0 Order2 - PR2 Order2",-17.4166666666667,3.48331848902849,21,-5.00002130770542,0.000779150019133299
"PR0 Order2 - PR3 Order2",-14.5,3.63251509909676,21,-3.99172463277729,0.00662687961070532
"PR0 Order2 - PR4 Order2",-15.4166666666667,3.73732023381226,21,-4.12505905359384,0.0053001268235924
"PR0 Order2 - PR5 Order2",-17.1666666666667,4.10505677201803,21,-4.18183416699194,0.00504783613078155
"PR0 Order2 - PR6 Order2",-11.25,3.74005415074502,21,-3.00797783843825,0.060286820564609
"PR0 Order2 - NR0 Order2",-0.0833333333333348,4.8799470157352,21,-0.0170766881412093,1
"PR0 Order2 - NR1 Order2",-1.33333333333334,4.22523056797772,21,-0.315564632954812,1
"PR0 Order2 - NR2 Order2",-1.08333333333333,3.42946254152357,21,-0.315890119870516,1
"PR0 Order2 - NR3 Order2",3.91666666666667,3.51517445071385,21,1.11421686791996,1
"PR0 Order2 - NR4 Order2",6.66666666666666,2.82621548851003,21,2.35886707640304,0.224772713252076
"PR0 Order2 - NR5 Order2",0.333333333333319,4.2691438515924,21,0.0780796677087807,1
"PR0 Order2 - NR6 Order2",7.5,3.86743722729545,21,1.93926870928034,0.462152540552706
