"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,1.54371715827651,0.403725193822066,11
"2","NR0",2,1.86452592672273,0.784924314821546,12
"3","NR1",1,1.40412165918357,0.368912988107867,11
"4","NR1",2,1.67524881820721,0.625778045510196,12
"5","NR2",1,1.61550206668394,0.474347510209565,11
"6","NR2",2,1.6442784580128,0.477925980165983,12
"7","NR3",1,1.4056844662443,0.470181260027762,11
"8","NR3",2,1.40212363981502,0.495937058742526,12
"9","NR4",1,1.45926384197039,0.492222099392087,11
"10","NR4",2,1.29773163531306,0.411203914636784,12
"11","NR5",1,1.35593233643642,0.533757006142999,11
"12","NR5",2,1.57141251167121,0.526242809942252,12
"13","NR6",1,1.260413798202,0.588654574006258,11
"14","NR6",2,1.31015513911845,0.47141539899857,12
"15","PR0",1,1.80608743828561,0.512011851898492,11
"16","PR0",2,1.81908690262943,0.388659566694504,12
"17","PR1",1,1.72813902099212,0.775650443487659,11
"18","PR1",2,1.77903873837943,0.26456762363212,12
"19","PR2",1,1.79609079129638,0.694876044357059,11
"20","PR2",2,2.2933319909505,0.483681172641925,12
"21","PR3",1,1.67327366457072,0.730488444019683,11
"22","PR3",2,2.17442852432567,0.413809303629963,12
"23","PR4",1,1.54366659236614,0.499783243734924,11
"24","PR4",2,2.21685535915642,0.511805588962809,12
"25","PR5",1,1.73245265578283,0.648746229507754,11
"26","PR5",2,2.28790918894497,0.457007546518029,12
"27","PR6",1,1.82625896231959,0.657495294087513,11
"28","PR6",2,2.04221776149714,0.551635035219847,12
