"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 - PR X0 Order1",-0.262370280009095,0.234656944367389,21,-1.11810149372062,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order1",0.13959549909294,0.153684046448858,21,0.908327847415147,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order1",-0.184421862715607,0.215799409007252,21,-0.854598553184219,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order1",-0.0717849084074271,0.145080568814286,21,-0.494793403376555,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order1",-0.252373633019869,0.199525027591481,21,-1.26487206174753,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order1",0.138032692032211,0.156549319895217,21,0.881720164128469,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order1",-0.129556506294206,0.204796084577333,21,-0.632612222843959,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order1",0.084453316306115,0.170383874840139,21,0.495664958819329,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order1",5.05659103661182e-05,0.190823312879332,21,0.00026498811703418,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order1",0.187784821840092,0.168245156906363,21,1.11613805290457,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order1",-0.188735497506324,0.196219210049241,21,-0.961860449132175,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order1",0.283303360074506,0.130781497651014,21,2.16623425456169,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order1",-0.282541804043084,0.206312314011036,21,-1.36948589519465,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X0 Order2",-0.320808768446222,0.264113515573243,21,-1.21466244447932,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X0 Order2",-0.275369744352921,0.231065261563422,21,-1.19174012783111,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order2",-0.131531659930704,0.242669827513271,21,-0.542019011092391,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order2",-0.235321580102918,0.251642881887176,21,-0.935141015466609,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order2",-0.100561299736288,0.235145953883492,21,-0.427654816404424,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order2",-0.749614832673987,0.256451210502223,21,-2.9230309781185,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order2",0.14159351846149,0.236438389869889,21,0.598860102792142,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order2",-0.630711366049164,0.255037688469349,21,-2.47301239998873,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order2",0.245985522963448,0.231062007060534,21,1.06458662803446,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order2",-0.673138200879913,0.240292632039125,21,-2.80132684538704,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order2",-0.0276953533946973,0.244516065101198,21,-0.113265986769561,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order2",-0.744192030668464,0.249424118072471,21,-2.9836410224461,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order2",0.23356201915806,0.24463359556249,21,0.954742207917222,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order2",-0.498500603220627,0.258519171439617,21,-1.92829259216879,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order1",0.401965779102035,0.199471331876846,21,2.01515563825587,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order1",0.077948417293488,0.122616565336102,21,0.635708699553155,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X2 Order1",0.190585371601668,0.156299054219782,21,1.2193635627102,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X2 Order1",0.0099966469892259,0.143895744508253,21,0.0694714567368777,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X3 Order1",0.400402972041306,0.150595211699425,21,2.65880281001547,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order1",0.132813773714889,0.1539914338499,21,0.862475076661385,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order1",0.34682359631521,0.130789577540447,21,2.65176784601169,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X4 Order1",0.262420845919461,0.174999430722597,21,1.49955256903345,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X5 Order1",0.450155101849187,0.189893633493652,21,2.37056447637164,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X5 Order1",0.0736347825027712,0.171446858793885,21,0.429490414818831,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X6 Order1",0.545673640083601,0.166130107296336,21,3.28461619006993,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X6 Order1",-0.0201715240339887,0.130482970026079,21,-0.154591239224223,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X0 Order2",-0.0584384884371272,0.22782327922158,21,-0.256507976870485,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X0 Order2",-0.0129994643438263,0.188516982121476,21,-0.0689564632190523,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order2",0.130838620078391,0.202573795521872,21,0.645881268805392,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order2",0.0270486999061771,0.213240796873627,21,0.126845802035747,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X2 Order2",0.161808980272807,0.193497072522024,21,0.836234771739971,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X2 Order2",-0.487244552664892,0.218894314258895,21,-2.22593517019637,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X3 Order2",0.403963798470585,0.195065654719332,21,2.070911965778,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order2",-0.368341086040069,0.217236553062796,21,-1.69557600158383,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order2",0.508355802972543,0.188512993063233,21,2.6966618836826,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X4 Order2",-0.410767920870818,0.199719920035801,21,-2.05671983444208,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X5 Order2",0.234674926614398,0.204781843773781,21,1.14597525976785,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X5 Order2",-0.481821750659369,0.210617872278318,21,-2.28765842825851,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X6 Order2",0.495932299167155,0.204922164551929,21,2.42010082341035,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X6 Order2",-0.236130323211532,0.221313486820488,21,-1.06694954114144,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X1 Order1",-0.324017361808547,0.208662063441447,21,-1.55283311429282,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X2 Order1",-0.211380407500368,0.0928452757433691,21,-2.27669534941808,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X2 Order1",-0.39196913211281,0.199063570374971,21,-1.969065115101,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X3 Order1",-0.0015628070607297,0.106218159956276,21,-0.0147131814500742,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X3 Order1",-0.269152005387147,0.202254077541118,21,-1.33076182522168,1,"NANA OrderNA - NANA OrderNA"
