"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-0.262370280009095,0.234656944367389,21,-1.11810149372062,1
"NR0 Order1 - PR1 Order1",-0.184421862715607,0.215799409007252,21,-0.854598553184219,1
"NR0 Order1 - PR2 Order1",-0.252373633019869,0.199525027591481,21,-1.26487206174753,1
"NR0 Order1 - PR3 Order1",-0.129556506294206,0.204796084577333,21,-0.632612222843959,1
"NR0 Order1 - PR4 Order1",5.05659103661182e-05,0.190823312879332,21,0.00026498811703418,1
"NR0 Order1 - PR5 Order1",-0.188735497506324,0.196219210049241,21,-0.961860449132175,1
"NR0 Order1 - PR6 Order1",-0.282541804043084,0.206312314011036,21,-1.36948589519465,1
"NR0 Order1 - NR1 Order1",0.13959549909294,0.153684046448858,21,0.908327847415147,1
"NR0 Order1 - NR2 Order1",-0.0717849084074271,0.145080568814286,21,-0.494793403376555,1
"NR0 Order1 - NR3 Order1",0.138032692032211,0.156549319895217,21,0.881720164128469,1
"NR0 Order1 - NR4 Order1",0.084453316306115,0.170383874840139,21,0.495664958819329,1
"NR0 Order1 - NR5 Order1",0.187784821840092,0.168245156906363,21,1.11613805290457,1
"NR0 Order1 - NR6 Order1",0.283303360074506,0.130781497651014,21,2.16623425456169,0.545308841460397
