"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,3.39980754793413,0.352574044787399,11
"2","NR0",2,3.41999310170354,0.263398147203678,12
"3","NR1",1,3.30550226742783,0.457875911261904,11
"4","NR1",2,3.49588041644099,0.280545494984558,12
"5","NR2",1,3.2604135319787,0.387415552044745,11
"6","NR2",2,3.5233806696665,0.321035193101723,12
"7","NR3",1,3.41094775771809,0.395694180123845,11
"8","NR3",2,3.40882713584431,0.334369003762341,12
"9","NR4",1,3.46676425062126,0.411940083987913,11
"10","NR4",2,3.60271376358775,0.329059006891017,12
"11","NR5",1,3.45246067635689,0.402941003403003,11
"12","NR5",2,3.46556883058192,0.334489124929827,12
"13","NR6",1,3.43295719591302,0.422966098091634,11
"14","NR6",2,3.67641135667451,0.316035591179157,12
"15","PR0",1,3.18834734113082,0.354356624707178,11
"16","PR0",2,2.84570885088839,0.148324549847765,12
"17","PR1",1,3.11068561489619,0.421995578161223,11
"18","PR1",2,2.76836441589945,0.192624467520798,12
"19","PR2",1,3.07972947969554,0.405581632013963,11
"20","PR2",2,2.72560231349772,0.16355760242322,12
"21","PR3",1,3.24689246293524,0.51197373760804,11
"22","PR3",2,2.89759916836263,0.186939787251193,12
"23","PR4",1,3.1657827173119,0.288483268570027,11
"24","PR4",2,3.05387096152138,0.233484219222221,12
"25","PR5",1,3.28221552713048,0.452257802174969,11
"26","PR5",2,3.11070196185637,0.273800642727108,12
"27","PR6",1,3.27648191168264,0.339685437760795,11
"28","PR6",2,3.28698228495461,0.365900881136819,12
