"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",0.211460206803313,0.0907084641410019,21,2.33120700262997,0.327636918963715
"NR0 Order1 - PR1 Order1",0.289121933037942,0.125543233338577,21,2.30296707635536,0.327636918963715
"NR0 Order1 - PR2 Order1",0.320078068238591,0.0979911479979017,21,3.26639777957744,0.0442540156683627
"NR0 Order1 - PR3 Order1",0.152915084998887,0.118122389774252,21,1.29454784390265,1
"NR0 Order1 - PR4 Order1",0.23402483062223,0.0645327498609685,21,3.62645061811903,0.0205570394197931
"NR0 Order1 - PR5 Order1",0.117592020803648,0.10309271566877,21,1.14064335235346,1
"NR0 Order1 - PR6 Order1",0.123325636251487,0.085396501867236,21,1.44415325633852,1
"NR0 Order1 - NR1 Order1",0.0943052805063029,0.0885053589392668,21,1.06553186876533,1
"NR0 Order1 - NR2 Order1",0.139394015955429,0.0990081001539895,21,1.40790516875514,1
"NR0 Order1 - NR3 Order1",-0.0111402097839623,0.0931690361044025,21,-0.119569872671849,1
"NR0 Order1 - NR4 Order1",-0.0669567026871282,0.105026728416496,21,-0.637520597819667,1
"NR0 Order1 - NR5 Order1",-0.0526531284227647,0.104676856102628,21,-0.503006398770156,1
"NR0 Order1 - NR6 Order1",-0.0331496479788844,0.103331065470642,21,-0.320810085794602,1
