MouseID,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Count_17,Count_18,Count_19,Count_20,Count_21,Count_22,Count_23,Count_24,Count_25
Mouse_1,45,31,48,67,58,30,18,10,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mouse_2,86,61,59,56,28,17,18,10,7,9,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Mouse_3,62,33,80,58,57,25,13,12,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mouse_4,68,47,61,70,62,28,19,8,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_5,163,89,55,49,42,20,14,10,8,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_6,144,74,73,69,52,25,12,7,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_7,75,58,65,57,48,27,30,10,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_8,28,15,33,45,39,30,25,17,14,8,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Mouse_9,209,143,147,43,27,8,12,4,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_10,296,177,78,38,16,12,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse_11,19,24,34,28,29,30,27,26,16,9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
