"","Current_Size","Next_Size","Mean_Time_Gap","SD_Time_Gap","Count"
"1","1","1",7.06596009974398,10.7439558033859,401
"2","1","2",8.52478991598875,10.3321280922002,238
"3","1","3",10.5190226875794,17.7016547438752,191
"4","1","4",18.1220899471085,29.8180201913625,126
"5","1","5",33.9327044025754,44.3980857782586,106
"6","1","6",41.2728260869637,36.7123446723754,46
"7","1","7",49.4884615384701,46.1312919691141,39
"8","2","1",10.9023709902245,19.5365238036038,239
"9","2","2",13.0294176706908,22.4352708214205,166
"10","2","3",12.4210451977683,15.5921401944075,118
"11","2","4",25.4386363635947,32.5161315250446,88
"12","2","5",37.9721212121151,44.1692883050366,55
"13","2","6",38.3641414141313,36.2281265715305,33
"14","2","7",51.869565217681,41.8715093984655,23
"15","3","1",13.1374784110294,20.4514890133933,193
"16","3","2",17.318767506944,23.798369572725,119
"17","3","3",23.3630434782561,35.4874763865882,138
"18","3","4",29.3074652777465,35.3289677764259,96
"19","3","5",32.9449999999999,30.2141289093165,70
"20","3","6",58.0482456139474,42.7028210750279,38
"21","3","7",49.0223684211491,39.5979049094677,38
"22","4","1",14.5641723355963,18.7877538073857,147
"23","4","2",18.6976495725982,24.6745393316017,78
"24","4","3",27.5326984126952,36.8109835403581,105
"25","4","4",25.6524344569738,29.597415401151,89
"26","4","5",36.1686868685859,40.222476549617,66
"27","4","6",57.3147435896154,44.1589000281901,26
"28","4","7",59.5126666668,48.3481721187704,25
"29","5","1",14.9844086021864,15.1911024697277,93
"30","5","2",16.638888888965,19.1574911612709,57
"31","5","3",28.325903614498,32.9058342012503,83
"32","5","4",35.7211640211587,39.6453737019996,63
"33","5","5",42.5450980391176,41.6234154682673,68
"34","5","6",41.1259259259352,33.6074125998599,36
"35","5","7",58.5266666664999,44.5639846193548,20
"36","6","1",15.0747474747676,17.1507673749113,33
"37","6","2",30.0709523809523,44.5147167305627,35
"38","6","3",19.4500000000001,18.1461385355122,33
"39","6","4",31.667730496383,42.9129765409095,47
"40","6","5",43.0401041666668,37.2505798129986,32
"41","6","6",55.7071428568254,31.608514399176,21
"42","6","7",49.735294117647,47.3278803645792,17
"43","7","1",17.823076923094,21.6946353271676,39
"44","7","2",23.2407407407408,32.4126252616673,27
"45","7","3",21.3963768115943,14.1215940351641,23
"46","7","4",27.4906862745098,33.3502995183842,34
"47","7","5",50.2587719298244,50.4950573208918,19
"48","7","6",52.4611111111113,49.0435057240377,21
"49","7","7",63.5666666666665,41.6962400605278,13
