"","Order","Sex","Diet_Phase","Current_Size","Next_Size","Mean_Time_Gap","SD_Time_Gap","Count"
"1",1,"F","NR","1","1",7.3015456989207,11.6828611752222,248
"2",1,"F","NR","1","2",8.05158730159182,8.28144216748486,147
"3",1,"F","NR","1","3",12.6701388888299,23.3254578080957,96
"4",1,"F","NR","1","4",15.3695035460922,20.6189720569539,47
"5",1,"F","NR","1","5",42.8851351351441,50.3176758182733,37
"6",1,"F","NR","1","6",39.0411111111111,33.6685194366815,15
"7",1,"F","NR","1","7",48.09375,52.5749154646122,16
"8",1,"F","NR","2","1",11.3708333333063,22.0577767984564,148
"9",1,"F","NR","2","2",14.1871069182421,26.1967380823168,106
"10",1,"F","NR","2","3",12.317435897441,17.2721364181597,65
"11",1,"F","NR","2","4",22.5277777777685,32.7896165330005,36
"12",1,"F","NR","2","5",50.2316666665,54.9739879743658,20
"13",1,"F","NR","2","6",47.1986111111112,47.6102163397292,12
"14",1,"F","NR","2","7",41.8718750002082,39.72408482936,16
"15",1,"F","NR","3","1",13.9164874551506,25.6410319819041,93
"16",1,"F","NR","3","2",15.9401639343771,24.7130984493866,61
"17",1,"F","NR","3","3",25.770547945201,38.8304996701576,73
"18",1,"F","NR","3","4",28.8966666666667,40.5848320508118,40
"19",1,"F","NR","3","5",37.1698717948718,28.5848534170074,26
"20",1,"F","NR","3","6",69.9066666665,50.450586211848,20
"21",1,"F","NR","3","7",38.1681159418985,39.1041250869336,23
"22",1,"F","NR","4","1",12.995390070922,16.1581311331668,47
"23",1,"F","NR","4","2",24.0524509802843,31.7842644008477,34
"24",1,"F","NR","4","3",34.5649999999999,49.2886879008333,40
"25",1,"F","NR","4","4",39.5011904761905,44.6432712197139,28
"26",1,"F","NR","4","5",38.0425925925927,38.4253279004308,18
"27",1,"F","NR","4","6",66.7023809521428,47.0164277786035,14
"28",1,"F","NR","4","7",54.8257575757576,47.3167191285589,11
"29",1,"F","NR","5","1",12.5916666666666,10.6088253791799,34
"30",1,"F","NR","5","2",13.9912698414445,9.5005915302142,21
"31",1,"F","NR","5","3",30.2283333333333,38.6559096585835,30
"32",1,"F","NR","5","4",40.9824999999999,50.6603384999527,20
"33",1,"F","NR","5","5",60.899074074074,55.0512317755675,18
"34",1,"F","NR","5","6",24.3592592592593,8.13730739280139,9
"35",1,"F","NR","5","7",55.7611111107407,47.1821485193853,9
"36",1,"F","NR","6","1",9.47307692312818,7.15348768358392,13
"37",1,"F","NR","6","2",30.4033333333333,54.2905602275806,20
"38",1,"F","NR","6","3",18.9866666666666,6.06694858057713,15
"39",1,"F","NR","6","4",24.2,14.4127894593656,11
"40",1,"F","NR","6","5",38.4966666666666,43.3277594705837,10
"41",1,"F","NR","6","6",50.3958333333333,42.9289351396262,8
"42",1,"F","NR","6","7",53.8400000000001,58.3452248196822,10
"43",1,"F","NR","7","1",17.5904761904921,24.9608146075511,21
"44",1,"F","NR","7","2",27.3115384615386,41.0895703991176,13
"45",1,"F","NR","7","3",24.0375000000001,15.9981408721024,12
"46",1,"F","NR","7","4",18.9755555555557,12.3255829358693,15
"47",1,"F","NR","7","5",40.6384615384615,38.4069994974726,13
"48",1,"F","NR","7","6",51.7307692307695,50.2176843971408,13
"49",1,"F","NR","7","7",56.7699999999999,46.3487075811658,5
"50",1,"F","PR","1","1",9.30005931199404,20.1864358778393,281
"51",1,"F","PR","1","2",11.353758169915,23.5340139087084,204
"52",1,"F","PR","1","3",18.3598484848561,37.8187423497913,132
"53",1,"F","PR","1","4",19.8378787879242,26.1286824659077,66
"54",1,"F","PR","1","5",28.3773148148149,32.2729389694622,36
"55",1,"F","PR","1","6",28.0758333333333,34.9109566888366,20
"56",1,"F","PR","1","7",30.7411764705688,37.4021139654694,17
"57",1,"F","PR","2","1",10.171393034806,16.0117877079426,201
"58",1,"F","PR","2","2",18.2009803921525,34.0355810250584,153
"59",1,"F","PR","2","3",27.2339662446836,42.8569286703832,79
"60",1,"F","PR","2","4",34.1525423728814,42.8459021334806,59
"61",1,"F","PR","2","5",37.3204761904761,41.3722887439208,35
"62",1,"F","PR","2","6",34.4477777777778,31.3743158191808,15
"63",1,"F","PR","2","7",68.1958333333332,48.0557907829825,8
"64",1,"F","PR","3","1",15.2393034825921,23.0565563956922,134
"65",1,"F","PR","3","2",15.8727450980432,23.6712806880346,85
"66",1,"F","PR","3","3",20.889156626506,29.2606274481041,83
"67",1,"F","PR","3","4",18.1990740740742,16.4932990702532,54
"68",1,"F","PR","3","5",28.6028571428763,30.8363081462837,35
"69",1,"F","PR","3","6",59.7357142857145,76.6354111581992,7
"70",1,"F","PR","3","7",71.7285714286189,82.5752287278909,7
"71",1,"F","PR","4","1",12.9256172839567,19.1049596535647,54
"72",1,"F","PR","4","2",16.9114197530864,16.2220489571986,54
