"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",23.5454545454546,15.6952825063944,21,1.50016124500225,1
"NR0 Order1 - PR1 Order1",-9.72727272727275,17.9743000535868,21,-0.54117671888601,1
"NR0 Order1 - PR2 Order1",-19,17.558149113406,21,-1.08211861496797,1
"NR0 Order1 - PR3 Order1",-18.7272727272728,11.8656223976622,21,-1.57827984910108,1
"NR0 Order1 - PR4 Order1",-25.5454545454545,10.1630950946126,21,-2.51355067601366,0.221960431086961
"NR0 Order1 - PR5 Order1",-38.5454545454545,10.1473225819322,21,-3.7985837381465,0.0126062590692918
"NR0 Order1 - PR6 Order1",-31.4545454545454,7.78044054979482,21,-4.04277177535595,0.00762565681059862
"NR0 Order1 - NR1 Order1",-6.72727272727271,13.3245260660147,21,-0.504878949836062,1
"NR0 Order1 - NR2 Order1",-18.4545454545454,10.735181861886,21,-1.71907152500752,1
"NR0 Order1 - NR3 Order1",-10.7272727272727,11.5491012409039,21,-0.928840478883281,1
"NR0 Order1 - NR4 Order1",-20.7272727272727,13.2787462384824,21,-1.56093597656111,1
"NR0 Order1 - NR5 Order1",-23.6363636363636,17.5367532573861,21,-1.34781868054216,1
"NR0 Order1 - NR6 Order1",-14.0909090909091,16.1582844013435,21,-0.872054776417819,1
