Mouse ID,Sex,Order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2,1.4484,1.15446,0.95424,0.8855999999999999,0.8423999999999999,0.7992,0.7595999999999999,0.8675999999999999,0.8028,0.7884,0.161,0.155,0.176,0.184,0.215,0.231,0.24
FEDXA02,M,2,1.29504,0.91164,0.82644,0.8099999999999999,0.6156,0.702,0.6192,0.6552,0.63,0.6516,0.154,0.153,0.204,0.211,0.203,0.226,0.214
FEDXA03,M,2,1.03944,1.03518,0.87756,1.2672,1.2636,1.0044,1.0368,0.9036,0.7992,0.8208,0.147,0.149,0.171,0.247,0.293,0.28,0.318
FEDXA04,M,2,1.20132,1.13742,0.85626,1.0548,0.9612,0.864,0.756,0.8603999999999999,0.8603999999999999,0.774,0.164,0.144,0.168,0.176,0.252,0.272,0.305
FEDXA05,M,2,0.96702,1.00536,0.96702,0.9612,0.9324,0.9144,0.9612,0.8568,0.8603999999999999,0.7884,0.154,0.167,0.204,0.22,0.253,0.249,0.279
FEDXA06,M,2,0.9372,1.43562,0.02982,0.8208,0.7595999999999999,0.6624,0.7343999999999999,0.6948,0.6372,0.6732,0.215,0.18,0.199,0.202,0.224,0.215,0.24
FEDXA07,M,1,1.20558,1.14594,0.82218,0.5112,0.6012,0.6048,0.6768,0.7128,0.7236,0.7056,0.177,0.189,0.181,0.165,0.182,0.205,0.189
FEDXA08,M,1,1.2993,0.99258,0.94998,0.4788,0.5364,0.5436,0.54,0.6264,0.522,0.594,0.168,0.208,0.208,0.17,0.162,0.182,0.182
FEDXA09,M,1,1.28652,0.81792,0.8136599999999999,0.5436,0.6768,0.7236,0.7595999999999999,0.8712,0.918,0.6335999999999999,0.163,0.167,0.178,0.192,0.197,0.193,0.211
FEDXA10,M,1,0.8477399999999999,1.13742,0.91164,0.5508,0.576,0.6948,0.6732,0.6912,0.6804,0.72,0.171,0.2,0.214,0.205,0.208,0.207,0.187
FEDXA11,M,1,1.30782,1.06074,0.96276,0.5364,0.3024,0.7595999999999999,0.8423999999999999,0.8099999999999999,0.9036,0.8316,0.204,0.164,0.197,0.208,0.195,0.183,0.188
FEDXA12,M,1,1.00962,0.85626,0.95424,0.6083999999999999,0.8603999999999999,0.9252,0.9396,0.8784,0.7812,0.8388,0.197,0.198,0.191,0.188,0.192,0.215,0.217
FEDXB01,F,2,0.87756,1.20132,1.06926,0.882,0.7704,0.6048,0.5688,0.5327999999999999,0.774,0.7956,0.098,0.154,0.219,0.232,0.244,0.255,0.185
FEDXB02,F,2,0.98832,0.99258,0.7881,0.6624,0.7163999999999999,0.5508,0.5327999999999999,0.4248,0.6912,0.7128,0.213,0.232,0.272,0.15,0.185,0.192,0.167
FEDXB03,F,2,0.36636,1.0011,0.84348,0.864,0.8603999999999999,0.8351999999999999,0.6768,0.6552,0.6048,0.6228,0.131,0.145,0.22,0.22,0.254,0.284,0.207
FEDXB04,F,2,0.66882,0.77532,0.82644,0.8388,0.882,0.7415999999999999,0.6839999999999999,0.5904,0.7163999999999999,0.6408,0.097,0.156,0.2,0.197,0.191,0.206,0.216
FEDXB05,F,2,1.28226,0.8946,0.74976,0.8532,0.7847999999999999,0.756,0.6732,0.5688,0.7488,0.8028,0.155,0.158,0.203,0.203,0.203,0.25,0.222
FEDXB06,F,2,1.4271,0.84348,0.96276,0.4967999999999999,1.1268,0.8532,0.8603999999999999,0.882,1.206,1.098,0.134,0.138,0.212,0.208,0.216,0.203,0.168
FEDXB07,F,1,1.278,0.87756,1.09482,0.5292,0.7884,0.954,0.918,1.0368,1.026,1.0476,0.207,0.19,0.216,0.196,0.224,0.21,0.19
FEDXB08,F,1,0.68586,1.065,0.7454999999999999,0.5364,0.756,0.6335999999999999,0.63,0.6552,0.7884,0.6768,0.178,0.183,0.192,0.173,0.172,0.211,0.181
FEDXB10,F,1,1.08204,0.89886,0.92442,0.7632,0.972,0.8675999999999999,0.6912,0.6192,0.7956,0.8712,0.164,0.177,0.226,0.212,0.235,0.235,0.225
FEDXB11,F,1,1.15872,0.97554,1.0437,0.5148,0.6732,0.4644,0.4931999999999999,0.504,0.6372,0.6587999999999999,0.16,0.165,0.178,0.185,0.201,0.19,0.171
FEDXB12,F,1,0.9585,0.99258,0.93294,0.5508,0.6984,0.6372,0.6335999999999999,0.6624,0.8064,0.7236,0.171,0.193,0.182,0.184,0.22,0.189,0.174
