"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,0.57888,0.103852356737823,5
"2","NR0","F",2,0.7662,0.154379428681415,6
"3","NR0","M",1,0.5382,0.0433048727050432,6
"4","NR0","M",2,0.9666,0.173499832852945,6
"5","NR1","F",1,0.7776,0.117841588583997,5
"6","NR1","F",2,0.8568,0.145539767761255,6
"7","NR1","M",1,0.5922,0.182499052052333,6
"8","NR1","M",2,0.8958,0.219457330704627,6
"9","NR2","F",1,0.71136,0.197370636113886,5
"10","NR2","F",2,0.7236,0.12214561801391,6
"11","NR2","M",1,0.7086,0.132613302500164,6
"12","NR2","M",2,0.8244,0.129559993825255,6
"13","NR3","F",1,0.6732,0.154988257619731,5
"14","NR3","F",2,0.666,0.114432442952163,6
"15","NR3","M",1,0.7386,0.140822441393409,6
"16","NR3","M",2,0.8112,0.156119953881623,6
"17","NR4","F",1,0.69552,0.201059274842023,5
"18","NR4","F",2,0.609,0.153858064462023,6
"19","NR4","M",1,0.765,0.103483563912343,6
"20","NR4","M",2,0.8064,0.103889787756064,6
"21","NR5","F",1,0.81072,0.13892455506497,5
"22","NR5","F",2,0.7902,0.211889895936545,6
"23","NR5","M",1,0.7548,0.148443443775736,6
"24","NR5","M",2,0.765,0.105222279009723,6
"25","NR6","F",1,0.7956,0.163730754594242,5
"26","NR6","F",2,0.7788,0.173483647644382,6
"27","NR6","M",1,0.7206,0.100114094911756,6
"28","NR6","M",2,0.7494,0.06944983801277,6
"29","PR0","F",1,0.176,0.0186413518823072,5
"30","PR0","F",2,0.138,0.0430348695827,6
"31","PR0","M",1,0.18,0.0166613324797268,6
"32","PR0","M",2,0.165833333333333,0.0248146462128048,6
"33","PR1","F",1,0.1816,0.0111713920350152,5
"34","PR1","F",2,0.163833333333333,0.0342369196433713,6
"35","PR1","M",1,0.187666666666667,0.01822818330681,6
"36","PR1","M",2,0.158,0.0132363136862194,6
"37","PR2","F",1,0.1988,0.0211943388667823,5
"38","PR2","F",2,0.221,0.026275463839864,6
"39","PR2","M",1,0.194833333333333,0.014386336109888,6
"40","PR2","M",2,0.187,0.0170880074906351,6
"41","PR3","F",1,0.19,0.0147478812037526,5
"42","PR3","F",2,0.201666666666667,0.0282465337106461,6
"43","PR3","M",1,0.188,0.017652195330893,6
"44","PR3","M",2,0.206666666666667,0.0256878700297761,6
"45","PR4","F",1,0.2104,0.0247244817943673,5
"46","PR4","F",2,0.2155,0.0282187880675269,6
"47","PR4","M",1,0.189333333333333,0.0157945138154571,6
"48","PR4","M",2,0.24,0.0327780414302014,6
"49","PR5","F",1,0.207,0.0188547076349648,5
"50","PR5","F",2,0.231666666666667,0.0365330900235207,6
"51","PR5","M",1,0.1975,0.0135904378148756,6
"52","PR5","M",2,0.2455,0.026174414988687,6
"53","PR6","F",1,0.1882,0.0218334605594258,5
"54","PR6","F",2,0.194166666666667,0.0241778135212154,6
"55","PR6","M",1,0.195666666666667,0.0145281336264046,6
"56","PR6","M",2,0.266,0.0411096095821889,6
