"holm_summary_day$test$pvalues","factor"
0.523635721545798,"Sex"
3.34861027795341e-11,"Order"
0.123322377271746,"Day"
1,"Day"
1,"Day"
1,"Day"
0.0242114683770147,"Day"
0.0521158922923406,"Day"
2.33271169269855e-07,"Day"
3.60957258749295e-07,"Day"
1.33884237696336e-06,"Day"
6.80863689872524e-07,"Day"
3.15441451403942e-06,"Day"
2.48284283710376e-06,"Day"
6.02229085489014e-07,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
0,"Day"
0,"Day"
3.24185123190546e-14,"Day"
0,"Day"
7.88258347483861e-14,"Day"
6.3948846218409e-14,"Day"
0,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1.98951966012828e-12,"Day"
3.40127925824163e-12,"Day"
1.67972302733688e-11,"Day"
7.49800221910846e-12,"Day"
4.76818584616012e-11,"Day"
3.50808271321057e-11,"Day"
6.4019900491985e-12,"Day"
1,"Day"
1,"Day"
1,"Day"
6.69180266754665e-11,"Day"
1.09504405543248e-10,"Day"
4.92242691052525e-10,"Day"
2.22869278587723e-10,"Day"
1.35913502674612e-09,"Day"
1.01941122210292e-09,"Day"
1.93518534530313e-10,"Day"
1,"Day"
1,"Day"
8.85158613073145e-12,"Day"
1.49524836956516e-11,"Day"
6.88489265598946e-11,"Day"
3.19388959724165e-11,"Day"
1.93518534530313e-10,"Day"
1.4353140898038e-10,"Day"
2.73201461453709e-11,"Day"
1,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
0,"Day"
1.64313007644523e-14,"Day"
0,"Day"
0,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
1,"Day"
