Mouse ID,Sex,Order,Day,Protein Intake (g)
FEDXA01,M,2.0,1,1.4484
FEDXA01,M,2.0,2,1.15446
FEDXA01,M,2.0,3,0.95424
FEDXA01,M,2.0,4,0.161
FEDXA01,M,2.0,5,0.155
FEDXA01,M,2.0,6,0.176
FEDXA01,M,2.0,7,0.184
FEDXA01,M,2.0,8,0.215
FEDXA01,M,2.0,9,0.231
FEDXA01,M,2.0,10,0.24
FEDXA01,M,2.0,11,0.8855999999999999
FEDXA01,M,2.0,12,0.8423999999999999
FEDXA01,M,2.0,13,0.7992
FEDXA01,M,2.0,14,0.7595999999999999
FEDXA01,M,2.0,15,0.8675999999999999
FEDXA01,M,2.0,16,0.8028
FEDXA01,M,2.0,17,0.7884
FEDXA02,M,2.0,1,1.29504
FEDXA02,M,2.0,2,0.91164
FEDXA02,M,2.0,3,0.82644
FEDXA02,M,2.0,4,0.154
FEDXA02,M,2.0,5,0.153
FEDXA02,M,2.0,6,0.20400000000000001
FEDXA02,M,2.0,7,0.211
FEDXA02,M,2.0,8,0.203
FEDXA02,M,2.0,9,0.226
FEDXA02,M,2.0,10,0.214
FEDXA02,M,2.0,11,0.8099999999999999
FEDXA02,M,2.0,12,0.6156
FEDXA02,M,2.0,13,0.702
FEDXA02,M,2.0,14,0.6192
FEDXA02,M,2.0,15,0.6552
FEDXA02,M,2.0,16,0.63
FEDXA02,M,2.0,17,0.6516
FEDXA03,M,2.0,1,1.03944
FEDXA03,M,2.0,2,1.03518
FEDXA03,M,2.0,3,0.87756
FEDXA03,M,2.0,4,0.147
FEDXA03,M,2.0,5,0.149
FEDXA03,M,2.0,6,0.171
FEDXA03,M,2.0,7,0.247
FEDXA03,M,2.0,8,0.293
FEDXA03,M,2.0,9,0.28
FEDXA03,M,2.0,10,0.318
FEDXA03,M,2.0,11,1.2671999999999999
FEDXA03,M,2.0,12,1.2636
FEDXA03,M,2.0,13,1.0044
FEDXA03,M,2.0,14,1.0368
FEDXA03,M,2.0,15,0.9036
FEDXA03,M,2.0,16,0.7992
FEDXA03,M,2.0,17,0.8208
FEDXA04,M,2.0,1,1.20132
FEDXA04,M,2.0,2,1.1374199999999999
FEDXA04,M,2.0,3,0.85626
FEDXA04,M,2.0,4,0.164
FEDXA04,M,2.0,5,0.14400000000000002
FEDXA04,M,2.0,6,0.168
FEDXA04,M,2.0,7,0.176
FEDXA04,M,2.0,8,0.252
FEDXA04,M,2.0,9,0.272
FEDXA04,M,2.0,10,0.305
FEDXA04,M,2.0,11,1.0548
FEDXA04,M,2.0,12,0.9611999999999999
FEDXA04,M,2.0,13,0.864
FEDXA04,M,2.0,14,0.756
FEDXA04,M,2.0,15,0.8603999999999999
FEDXA04,M,2.0,16,0.8603999999999999
FEDXA04,M,2.0,17,0.774
FEDXA05,M,2.0,1,0.96702
FEDXA05,M,2.0,2,1.00536
FEDXA05,M,2.0,3,0.96702
FEDXA05,M,2.0,4,0.154
FEDXA05,M,2.0,5,0.167
FEDXA05,M,2.0,6,0.20400000000000001
FEDXA05,M,2.0,7,0.22
FEDXA05,M,2.0,8,0.253
FEDXA05,M,2.0,9,0.249
FEDXA05,M,2.0,10,0.279
FEDXA05,M,2.0,11,0.9611999999999999
FEDXA05,M,2.0,12,0.9324
FEDXA05,M,2.0,13,0.9144
FEDXA05,M,2.0,14,0.9611999999999999
FEDXA05,M,2.0,15,0.8568
FEDXA05,M,2.0,16,0.8603999999999999
FEDXA05,M,2.0,17,0.7884
FEDXA06,M,2.0,1,0.9372
FEDXA06,M,2.0,2,1.43562
FEDXA06,M,2.0,3,0.02982
FEDXA06,M,2.0,4,0.215
FEDXA06,M,2.0,5,0.18
FEDXA06,M,2.0,6,0.199
FEDXA06,M,2.0,7,0.202
FEDXA06,M,2.0,8,0.224
FEDXA06,M,2.0,9,0.215
FEDXA06,M,2.0,10,0.24
FEDXA06,M,2.0,11,0.8208
FEDXA06,M,2.0,12,0.7595999999999999
FEDXA06,M,2.0,13,0.6624
FEDXA06,M,2.0,14,0.7343999999999999
FEDXA06,M,2.0,15,0.6948
FEDXA06,M,2.0,16,0.6372
FEDXA06,M,2.0,17,0.6732
FEDXA07,M,1.0,1,1.2055799999999999
FEDXA07,M,1.0,2,1.14594
FEDXA07,M,1.0,3,0.82218
FEDXA07,M,1.0,4,0.5112
FEDXA07,M,1.0,5,0.6012
FEDXA07,M,1.0,6,0.6048
FEDXA07,M,1.0,7,0.6768
FEDXA07,M,1.0,8,0.7128
FEDXA07,M,1.0,9,0.7236
FEDXA07,M,1.0,10,0.7056
FEDXA07,M,1.0,11,0.177
FEDXA07,M,1.0,12,0.189
FEDXA07,M,1.0,13,0.181
FEDXA07,M,1.0,14,0.165
FEDXA07,M,1.0,15,0.182
FEDXA07,M,1.0,16,0.20500000000000002
FEDXA07,M,1.0,17,0.189
FEDXA08,M,1.0,1,1.2993
FEDXA08,M,1.0,2,0.99258
FEDXA08,M,1.0,3,0.9499799999999999
FEDXA08,M,1.0,4,0.4788
FEDXA08,M,1.0,5,0.5364
FEDXA08,M,1.0,6,0.5436
FEDXA08,M,1.0,7,0.54
FEDXA08,M,1.0,8,0.6264
FEDXA08,M,1.0,9,0.522
FEDXA08,M,1.0,10,0.594
FEDXA08,M,1.0,11,0.168
FEDXA08,M,1.0,12,0.20800000000000002
FEDXA08,M,1.0,13,0.20800000000000002
FEDXA08,M,1.0,14,0.17
FEDXA08,M,1.0,15,0.162
FEDXA08,M,1.0,16,0.182
FEDXA08,M,1.0,17,0.182
FEDXA09,M,1.0,1,1.2865199999999999
FEDXA09,M,1.0,2,0.81792
FEDXA09,M,1.0,3,0.8136599999999999
FEDXA09,M,1.0,4,0.5436
FEDXA09,M,1.0,5,0.6768
FEDXA09,M,1.0,6,0.7236
FEDXA09,M,1.0,7,0.7595999999999999
FEDXA09,M,1.0,8,0.8712
FEDXA09,M,1.0,9,0.9179999999999999
FEDXA09,M,1.0,10,0.6335999999999999
FEDXA09,M,1.0,11,0.163
FEDXA09,M,1.0,12,0.167
FEDXA09,M,1.0,13,0.178
FEDXA09,M,1.0,14,0.192
FEDXA09,M,1.0,15,0.197
FEDXA09,M,1.0,16,0.193
FEDXA09,M,1.0,17,0.211
FEDXA10,M,1.0,1,0.8477399999999999
FEDXA10,M,1.0,2,1.1374199999999999
FEDXA10,M,1.0,3,0.91164
FEDXA10,M,1.0,4,0.5508
FEDXA10,M,1.0,5,0.576
FEDXA10,M,1.0,6,0.6948
FEDXA10,M,1.0,7,0.6732
FEDXA10,M,1.0,8,0.6912
FEDXA10,M,1.0,9,0.6804
FEDXA10,M,1.0,10,0.72
FEDXA10,M,1.0,11,0.171
FEDXA10,M,1.0,12,0.2
FEDXA10,M,1.0,13,0.214
FEDXA10,M,1.0,14,0.20500000000000002
FEDXA10,M,1.0,15,0.20800000000000002
FEDXA10,M,1.0,16,0.20700000000000002
FEDXA10,M,1.0,17,0.187
FEDXA11,M,1.0,1,1.30782
FEDXA11,M,1.0,2,1.06074
FEDXA11,M,1.0,3,0.96276
FEDXA11,M,1.0,4,0.5364
FEDXA11,M,1.0,5,0.3024
FEDXA11,M,1.0,6,0.7595999999999999
FEDXA11,M,1.0,7,0.8423999999999999
FEDXA11,M,1.0,8,0.8099999999999999
FEDXA11,M,1.0,9,0.9036
FEDXA11,M,1.0,10,0.8316
FEDXA11,M,1.0,11,0.20400000000000001
FEDXA11,M,1.0,12,0.164
