"","contrast","estimate","SE","df","t.ratio","p.value"
"1","G0 - G1",14.4833333333335,16.6028499720073,19,0.872340192060559,0.999920554193786
"2","G0 - G2",46.9083333333334,14.0644596100528,19,3.33523893799694,0.156734673113394
"3","G0 - NR0",41.5583333333334,17.052121787512,19,2.43713561580169,0.569560022596576
"4","G0 - NR1",36.8666666666667,15.53946517967,19,2.37245402209201,0.608840160064814
"5","G0 - NR2",44.9833333333335,14.5500128112321,19,3.0916353076066,0.235180125072237
"6","G0 - NR3",53.8083333333335,14.3547462198079,19,3.74846984470435,0.0739479188262078
"7","G0 - NR4",52.6666666666668,13.1716859742217,19,3.99847572814449,0.045666544919748
"8","G0 - NR5",41.7666666666668,11.9736241563946,19,3.48822262342024,0.119632827279162
"9","G0 - NR6",48.8,11.0163047024965,19,4.4297975880189,0.0192836104184889
"10","G0 - PR0",97.3583333333334,14.0555941132772,19,6.92666084042414,0.000122162271179782
"11","G0 - PR1",75.3083333333334,15.8397564303221,19,4.75438708067319,0.00992981611958454
"12","G0 - PR2",50.2833333333334,15.0775400816009,19,3.33498256752732,0.15680421353957
"13","G0 - PR3",50.7666666666667,15.4367136137516,19,3.28869654104627,0.169787976778765
"14","G0 - PR4",35.5916666666668,15.8467520469842,19,2.24599126440174,0.684947807840793
"15","G0 - PR5",22.8833333333334,15.7779819657737,19,1.45033334319769,0.981190064603192
"16","G0 - PR6",30.5583333333334,15.556415089557,19,1.96435574375019,0.836463882581564
"17","G1 - G2",32.4249999999999,14.7102955800566,19,2.20423850924926,0.709432864248504
"18","G1 - NR0",27.0749999999999,10.2946998158395,19,2.62999412166852,0.455616445311916
"19","G1 - NR1",22.3833333333332,11.7322084413925,19,1.90785336325619,0.861646584003001
"20","G1 - NR2",30.5,10.7749099397873,19,2.83065010941541,0.348673746457659
"21","G1 - NR3",39.325,10.8227764014179,19,3.63354083475734,0.0917250069428662
"22","G1 - NR4",38.1833333333333,10.7333929250825,19,3.55743366518373,0.105522665722833
"23","G1 - NR5",27.2833333333333,11.3680444321144,19,2.40000234835982,0.592098744953846
"24","G1 - NR6",34.3166666666665,10.5183538419213,19,3.26255107808755,0.177506327877894
"25","G1 - PR0",82.8749999999999,8.62278130629209,19,9.6111680275975,1.00974820005373e-06
"26","G1 - PR1",60.8249999999999,10.983911180657,19,5.53764492443408,0.00197600587461355
"27","G1 - PR2",35.7999999999999,11.2063715429168,19,3.19461119621972,0.198904748001314
"28","G1 - PR3",36.2833333333332,11.2337348306613,19,3.22985488622194,0.187559223262263
"29","G1 - PR4",21.1083333333333,11.1890880231355,19,1.88651061549324,0.87058760101682
"30","G1 - PR5",8.39999999999992,10.9578748820118,19,0.766571994154559,0.999984996061795
"31","G1 - PR6",16.0749999999999,11.2078268978393,19,1.43426554911363,0.982925469571072
"32","G2 - NR0",-5.34999999999997,10.7660233499621,19,-0.496933716943757,0.999999966243006
"33","G2 - NR1",-10.0416666666666,11.0217065534733,19,-0.911080930883805,0.999863719284152
"34","G2 - NR2",-1.9249999999999,9.42529665874042,19,-0.204237603302892,1
"35","G2 - NR3",6.90000000000009,10.3732333097374,19,0.665173508969766,0.999997803127852
"36","G2 - NR4",5.75833333333341,9.57223976521728,19,0.601565931753769,0.999999463229113
"37","G2 - NR5",-5.14166666666659,10.3315471362265,19,-0.497666670719419,0.999999965502136
"38","G2 - NR6",1.89166666666668,10.2777688675479,19,0.184054213618252,1
"39","G2 - PR0",50.45,14.2768245523382,19,3.53369895490785,0.110187046408972
"40","G2 - PR1",28.4,13.8627205818275,19,2.04865991724808,0.795129546399701
"41","G2 - PR2",3.37500000000006,12.6049606462986,19,0.26775172844281,1
"42","G2 - PR3",3.85833333333329,11.2872322489663,19,0.341831659722129,0.999999999880915
"43","G2 - PR4",-11.3166666666665,11.1650702577122,19,-1.01357773891746,0.999512690187499
"44","G2 - PR5",-24.0249999999999,11.2517479148953,19,-2.13522380537829,0.748703772766491
"45","G2 - PR6",-16.3499999999999,10.9589255059798,19,-1.49193458711609,0.976078133188787
"46","NR0 - NR1",-4.69166666666666,8.97355214827967,19,-0.522832718765233,0.999999928872956
"47","NR0 - NR2",3.42500000000007,7.45741786011424,19,0.45927425071868,0.999999989502296
"48","NR0 - NR3",12.2500000000001,8.3124365186865,19,1.47369546491716,0.978432896349341
"49","NR0 - NR4",11.1083333333334,9.47829179498485,19,1.1719762984308,0.997568462951844
"50","NR0 - NR5",0.208333333333371,11.6322463738417,19,0.0179099828732879,1
"51","NR0 - NR6",7.24166666666665,10.5191674467103,19,0.6884258381999,0.999996474120753
"52","NR0 - PR0",55.8,11.1449372897734,19,5.00675764691847,0.00590318050275374
"53","NR0 - PR1",33.75,11.2416782086737,19,3.00222078710274,0.270568116831745
"54","NR0 - PR2",8.72500000000002,10.4066427208441,19,0.83840679785462,0.999951920043162
"55","NR0 - PR3",9.20833333333326,7.47631127382735,19,1.23166799723405,0.995941957939718
"56","NR0 - PR4",-5.96666666666658,6.83811717442953,19,-0.872559874957737,0.99992030283403
"57","NR0 - PR5",-18.675,6.3470042318639,19,-2.94233299959779,0.296320415731978
"58","NR0 - PR6",-11,5.14984883102952,19,-2.13598502808886,0.748280349589093
"59","NR1 - NR2",8.11666666666673,5.17589512556786,19,1.56816675565393,0.964141951309968
"60","NR1 - NR3",16.9416666666667,5.18779670468329,19,3.26567666989969,0.176568769119153
"61","NR1 - NR4",15.8,5.91019970274404,19,2.67334452212575,0.43127341189703
"62","NR1 - NR5",4.90000000000003,6.89140546610382,19,0.711030576288285,0.999994522807681
"63","NR1 - NR6",11.9333333333333,7.18182709001527,19,1.66160131450727,0.944365654394243
"64","NR1 - PR0",60.4916666666667,11.5121422359025,19,5.25459687928575,0.00353937716133035
"65","NR1 - PR1",38.4416666666666,11.8262906828722,19,3.25052611148321,0.181151332221884
"66","NR1 - PR2",13.4166666666667,12.0860901271422,19,1.11009156191351,0.998641237568889
"67","NR1 - PR3",13.8999999999999,9.69179771675287,19,1.43420244687659,0.98293203530463
"68","NR1 - PR4",-1.27499999999992,8.88324425583198,19,-0.143528643734283,1
"69","NR1 - PR5",-13.9833333333333,10.4218436258372,19,-1.34173317460518,0.990663509093178
"70","NR1 - PR6",-6.30833333333331,8.44417750713057,19,-0.747063089093795,0.999989347193313
"71","NR2 - NR3",8.82499999999999,3.68053050857637,19,2.39775216628037,0.593466111811975
"72","NR2 - NR4",7.68333333333331,4.36156709725526,19,1.76159925137193,0.916238515461139
"73","NR2 - NR5",-3.2166666666667,6.83879061073988,19,-0.470356068749222,0.999999985031234
"74","NR2 - NR6",3.81666666666658,6.47402197450054,19,0.589535636687583,0.999999597312863
"75","NR2 - PR0",52.3749999999999,9.56472354035958,19,5.47585089929645,0.00224363666471095
"76","NR2 - PR1",30.3249999999999,10.4792521621151,19,2.89381336863253,0.318382199806683
"77","NR2 - PR2",5.29999999999995,9.67109774425568,19,0.548024654507083,0.999999858989921
"78","NR2 - PR3",5.78333333333319,7.6432718951479,19,0.75665675808348,0.999987374243515
"79","NR2 - PR4",-9.39166666666665,7.6329064559257,19,-1.230418153412,0.995983390839607
"80","NR2 - PR5",-22.1000000000001,7.9309948823941,19,-2.78653565255218,0.370848003971977
"81","NR2 - PR6",-14.425,6.19275804411754,19,-2.32933369869056,0.634996040718902
"82","NR3 - NR4",-1.14166666666668,3.89622371156051,19,-0.293018766678934,0.999999999989112
"83","NR3 - NR5",-12.0416666666667,6.32826869286718,19,-1.90283745066629,0.863776732994103
"84","NR3 - NR6",-5.00833333333341,5.68510577136248,19,-0.880956931102642,0.999910152319762
"85","NR3 - PR0",43.55,9.31192995429434,19,4.67679634766971,0.0116453347657434
"86","NR3 - PR1",21.4999999999999,10.525590161393,19,2.04264080876529,0.798217606111656
"87","NR3 - PR2",-3.52500000000003,9.56270109294348,19,-0.368619699156048,0.999999999621164
"88","NR3 - PR3",-3.0416666666668,7.33593579220595,19,-0.414625584632081,0.999999997737507
"89","NR3 - PR4",-18.2166666666666,7.75428432794391,19,-2.34923893634126,0.622935468653059
"90","NR3 - PR5",-30.925,8.29061176398055,19,-3.7301228040079,0.0765574084466464
"91","NR3 - PR6",-23.25,6.8716858040421,19,-3.38344922381693,0.144110176754257
"92","NR4 - NR5",-10.9,5.12861126512548,19,-2.12533168074561,0.754184209621629
