"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 Order1 - NR1 Order1",-2.27272727272727,2.60772120655544,21,-0.871537673204465,0.999999764418404
"2","NR0 Order1 - NR2 Order1",-4.36363636363637,2.28036235558732,21,-1.91357147821031,0.959898055269899
"3","NR0 Order1 - NR3 Order1",-4.27272727272728,2.71368065640963,21,-1.57451366380758,0.995227863203637
"4","NR0 Order1 - NR4 Order1",-2.90909090909092,2.5565684502058,21,-1.1378889185841,0.999963051204949
"5","NR0 Order1 - NR5 Order1",-4.72727272727273,3.20995598018516,21,-1.47269082705615,0.998001154139166
"6","NR0 Order1 - NR6 Order1",-1.54545454545455,2.59006087226762,21,-0.596686572891815,1
"7","NR0 Order1 - PR0 Order1",-2.54545454545455,2.98455181244787,21,-0.852876647957006,0.999999849091949
"8","NR0 Order1 - PR1 Order1",-6.54545454545455,4.48457060096168,21,-1.45954989404134,0.998230740821503
"9","NR0 Order1 - PR2 Order1",-7.27272727272727,3.68522369358805,21,-1.97348326110601,0.946933006200587
"10","NR0 Order1 - PR3 Order1",-8.54545454545455,3.07128670860251,21,-2.78236952659587,0.551867724763888
"11","NR0 Order1 - PR4 Order1",-7.90909090909091,3.30654326869827,21,-2.39195143277366,0.782931268806856
"12","NR0 Order1 - PR5 Order1",-7.36363636363636,3.27092803676533,21,-2.25123765514523,0.851915148120807
"13","NR0 Order1 - PR6 Order1",-7.0909090909091,3.27909933625651,21,-2.16245632223031,0.888602506908562
"14","NR0 Order1 - NR0 Order2",-1.38636363636364,3.14857531254277,21,-0.440314586359384,1
"15","NR0 Order1 - NR1 Order2",-3.0530303030303,4.08679413319457,21,-0.747047735591175,0.9999999910409
"16","NR0 Order1 - NR2 Order2",0.280303030303026,3.76202395500767,21,0.0745085713582211,1
"17","NR0 Order1 - NR3 Order2",1.03030303030303,4.01516240571367,21,0.256603077583333,1
"18","NR0 Order1 - NR4 Order2",-0.469696969696978,3.44645073238396,21,-0.136284254779433,1
"19","NR0 Order1 - NR5 Order2",0.613636363636364,3.83518191144143,21,0.160001892428026,1
"20","NR0 Order1 - NR6 Order2",1.69696969696969,3.29079342287671,21,0.515671900026545,1
"21","NR0 Order1 - PR0 Order2",-11.469696969697,3.63732250465123,21,-3.15333516756628,0.343034512489197
"22","NR0 Order1 - PR1 Order2",-23.8863636363636,4.99148970751185,21,-4.78541778828398,0.0164234218754619
"23","NR0 Order1 - PR2 Order2",-26.8863636363636,4.2051596602977,21,-6.39366059990699,0.000538132942440761
"24","NR0 Order1 - PR3 Order2",-25.1363636363637,4.16014838432019,21,-6.0421795845321,0.00113193340314988
"25","NR0 Order1 - PR4 Order2",-20.719696969697,4.26340635664266,21,-4.85989259208529,0.0140444379881618
"26","NR0 Order1 - PR5 Order2",-13.969696969697,4.02288182852858,21,-3.47255961401346,0.208403348720682
"27","NR0 Order1 - PR6 Order2",-9.80303030303031,4.25096028485219,21,-2.30607430936541,0.826496045068778
"28","NR1 Order1 - NR2 Order1",-2.0909090909091,1.59487240811403,21,-1.31101966544248,0.999626943909797
"29","NR1 Order1 - NR3 Order1",-2,1.89430299540064,21,-1.0557973063739,0.999990254056932
"30","NR1 Order1 - NR4 Order1",-0.636363636363644,2.07589976446049,21,-0.306548344606143,1
"31","NR1 Order1 - NR5 Order1",-2.45454545454546,2.65097706352125,21,-0.925902184640226,0.999999202652168
"32","NR1 Order1 - NR6 Order1",0.727272727272721,2.81341238644432,21,0.258501999485355,1
"33","NR1 Order1 - PR0 Order1",-0.272727272727278,3.18077183372504,21,-0.0857424823231925,1
"34","NR1 Order1 - PR1 Order1",-4.27272727272728,4.34240566361505,21,-0.983953965546885,0.999997392813806
"35","NR1 Order1 - PR2 Order1",-5,4.19010722500016,21,-1.19328688539702,0.999917155722062
"36","NR1 Order1 - PR3 Order1",-6.27272727272728,3.35045288975142,21,-1.87220279739336,0.967425498282291
"37","NR1 Order1 - PR4 Order1",-5.63636363636364,3.71565782585538,21,-1.51692214421442,0.997036232791608
"38","NR1 Order1 - PR5 Order1",-5.09090909090909,3.27116866044688,21,-1.55629673042099,0.995877738290352
"39","NR1 Order1 - PR6 Order1",-4.81818181818182,2.35753040831533,21,-2.04374111196507,0.928411954768019
"40","NR1 Order1 - NR0 Order2",0.886363636363634,4.16161145522226,21,0.212985677759841,1
"41","NR1 Order1 - NR1 Order2",-0.780303030303029,4.90992563004746,21,-0.158923594591286,1
"42","NR1 Order1 - NR2 Order2",2.5530303030303,4.64309246553791,21,0.549855580516535,1
