Mouse,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXA01,M,2,1.480932988,0.809382846,2.395018362,1.499726612,2.073922778,2.196358175,2.704503871,1.180756481,1.243471773,0.640306471,0.694929096,0.613399866,0.832205013,1.406654876,0.998751561,0.546226988,0.760604583
FEDXA02,M,2,1.372763014,1.11601953,0.43157418,0.590764383,1.059186976,1.480111008,1.360142626,1.063001637,0.676397712,0.895077076,0.745306005,0.759834314,0.728357907,0.610241097,0.728496086,0.520438035,0.669062074
FEDXA03,M,2,1.857131221,0.558772611,0.703006002,0.852037395,1.804791291,1.859883937,1.252143877,1.10452487,1.115175199,1.216749077,0.39031039,0.484959519,0.634271821,1.337999814,0.613244375,0.46198691,0.459620697
FEDXA04,M,2,3.22814083,0.955679172,1.017185786,1.302634753,1.706679633,1.500339362,1.213862004,1.557261815,0.831771622,0.784503632,0.76750334,1.197370481,0.434179581,0.681674732,0.532150776,0.892414477,1.123712413
FEDXA05,M,2,0.848533198,0.419466346,0.369055704,0.689014054,1.087455596,1.125852509,1.344403919,1.672148435,1.562151829,1.115600529,0.853952266,1.135102411,0.590890439,0.553872373,0.70371707,0.249121156,0.563490511
FEDXA06,M,2,1.201514954,0.921249343,0.821249343,1.313992943,1.422610677,1.642162883,2.147242851,2.794045015,1.898022308,1.556362558,1.216645116,0.746752405,0.453212141,0.851761885,0.657174151,0.566994072,0.776304941
FEDXA07,M,1,1.43241315,0.585824815,0.196308313,0.242403838,0.281381898,0.73035384,0.613402852,0.559733137,0.348576645,0.371817603,0.388361484,0.522496372,0.344217622,0.181678253,0.384609515,0.389994945,0.200382211
FEDXA08,M,1,0.903486895,0.279264603,0.863297851,0.515500823,0.441386827,0.516445395,0.740864599,0.451116513,0.595744681,0.646224645,0.756877396,0.793029176,0.858788869,0.395691361,0.444691495,0.518455578,0.543987428
FEDXA09,M,1,1.813221406,0.449314795,0.617593497,0.551710046,0.728909851,0.9375,1.15780446,0.974711648,0.803312424,0.802756943,1.840177202,0.235688472,0.206087205,0.354213044,0.502290538,0.298383755,0.849468427
FEDXA10,M,1,2.452538832,0.600600601,0.265287173,0.509666357,0.395452299,0.486650896,0.719280719,0.745110214,0.490014106,0.455600084,1.1239463,0.149096105,0.482092639,0.537259974,0.311068867,0.358877227,0.35532306
FEDXA11,M,1,1.968549603,1.179304365,0.449262928,1.38267228,1.479289941,1.613791514,1.637127898,1.922875954,1.76020999,1.756120714,0.691277423,0.817018837,1.069624641,1.505125211,1.255667946,1.302378962,1.553039057
FEDXA12,M,1,0.870901639,1.030448317,0.548696845,0.68070747,0.923324947,1.29508425,1.137946779,0.914224904,0.659662839,0.626390425,0.924411769,0.939892007,0.909889634,0.770528542,0.799308201,1.25794155,1.139648196
FEDXB01,F,2,1.293335728,0.721814849,0.299940012,1.873719137,1.089129749,1.501114108,1.729890028,1.415285576,1.623372771,1.175222395,0.660112558,0.779398853,0.331360947,0.738552437,0.722238941,0.688361198,0.60799607
FEDXB02,F,2,3.056027165,1.348870321,0.265392129,2.025791325,2.697622434,2.840764036,1.24229448,1.2745368,0.94045057,0.77685616,0.73149669,0.420933068,0.409359681,0.419359637,0.647016535,0.921658986,0.354093717
FEDXB03,F,2,0.885429477,1.485454921,0.313486448,0.993769225,1.402471789,1.879461901,2.059963045,1.481310034,1.181933305,1.407899883,1.163217648,0.850703945,0.829121059,0.803165694,1.030669577,0.610169492,1.561709204
FEDXB04,F,2,0.797836975,0.531443756,1.340817792,2.622650542,2.082841355,2.135257701,1.900191939,1.775606548,1.562215659,0.76433121,0.635013964,0.670807453,0.477309709,0.329863656,0.409315723,0.32212363,0.341949349
FEDXB05,F,2,1.187977666,1.095194635,0.379646718,1.361520103,2.173610144,1.186189367,1.54601227,1.182221212,0.958324706,0.991747416,0.337489453,0.467195386,0.331889002,0.432097942,1.177652639,1.200485911,0.980531476
FEDXB06,F,2,0.881206575,0.411769752,0.091587905,1.047221953,0.731637921,1.051807356,1.541227845,1.013026299,0.702396854,1.232073012,1.039190382,0.986215398,0.997489976,0.588550027,0.531172873,0.755865834,0.60634132
FEDXB07,F,1,1.523643406,0.347563036,0.523373379,0.494694251,0.908009945,0.855400375,0.715973701,0.929546293,1.263402474,0.756588626,0.437936226,1.219305673,0.690862859,0.66736699,0.359658325,0.799971931,0.55144755
FEDXB08,F,1,3.853603833,0.307876507,0.176578786,0.927181882,0.677850051,0.193057095,0.262511849,0.359514655,0.480705034,0.382541243,0.332541343,0.619656894,3.781512605,0.647132842,0.459669476,0.359691693,0.489691692
FEDXB10,F,1,1.3440791,1.081378758,0.801928822,1.350717569,1.049501487,1.294438323,1.471596032,1.231378932,1.929417115,1.975567856,0.754072475,1.303969864,1.326313538,1.766095612,1.375161152,1.74282678,0.891147157
FEDXB11,F,1,0.424979341,0.688482788,0.933640224,2.16266905,2.77408953,2.079789453,1.674223927,1.596545486,1.726473797,2.236869358,1.789506982,2.361766126,2.1632831,2.435130821,1.529005085,1.842834079,1.336382905
FEDXB12,F,1,0.833496589,0.101058305,0.111058305,0.411327838,0.588940997,0.245231608,0.121957417,0.428083646,0.153130672,0.275222344,0.122961318,0.32942899,0.254593287,0.942408377,0.335205934,0.435205936,0.455205334
