"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",-17,-162.122043808133,128.122043808133,0.999940235694442,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",38,-107.122043808133,183.122043808133,0.989511975824157,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",-52.4999999999998,-197.622043808133,92.6220438081332,0.938338620054286,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",56.4,-95.1750312817193,207.975031281719,0.929096873963083,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",24.6666666666667,-120.455377141466,169.7887104748,0.999290214503278,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",114.166666666667,-30.9553771414663,259.2887104748,0.217420704895073,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",101,-44.122043808133,246.122043808133,0.357086693732705,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",55.0000000000001,-83.3684396459147,193.368439645915,0.90270689463988,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",-35.4999999999998,-173.868439645915,102.868439645915,0.990701275286073,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",73.4,-71.722043808133,218.522043808133,0.734878060872604,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",41.6666666666667,-96.7017729792481,180.035106312581,0.976658021723008,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",131.166666666667,-7.20177297924806,269.535106312581,0.0740086781130097,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",118,-20.3684396459147,256.368439645915,0.143689920083961,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",-90.4999999999998,-228.868439645915,47.8684396459149,0.435230632952821,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",18.3999999999999,-126.722043808133,163.522043808133,0.999898112576028,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",-13.3333333333334,-151.701772979248,125.035106312581,0.999984165578447,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",76.1666666666666,-62.2017729792481,214.535106312581,0.646594240050838,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",63,-75.3684396459147,201.368439645915,0.823311020806177,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",108.9,-36.2220438081332,254.022043808133,0.267977853224905,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",77.1666666666665,-61.2017729792483,215.535106312581,0.631798803591472,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",166.666666666666,28.2982270207517,305.035106312581,0.00914860951377949,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",153.5,15.1315603540851,291.868439645915,0.0207288962337876,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",-31.7333333333333,-176.855377141466,113.3887104748,0.996473387541968,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",57.7666666666667,-87.3553771414663,202.8887104748,0.902058409326256,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",44.6000000000001,-100.522043808133,189.722043808133,0.973874163514898,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",89.5,-48.8684396459147,227.868439645915,0.449380514483503,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",76.3333333333334,-62.0351063125814,214.701772979248,0.644134953203019,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",-13.1666666666666,-151.535106312581,125.201772979248,0.999985470827893,"M.2.PR-F.2.PR",""
