mouse_id,sex,order,PR,NR
FEDXA01,M,2,2.647368421052632,3.090909090909091
FEDXA02,M,2,2.795221843003413,3.0347222222222223
FEDXA03,M,2,2.824104234527687,3.3423423423423424
FEDXA04,M,2,2.899193548387097,3.1511627906976742
FEDXA05,M,2,2.7944444444444443,3.185714285714285
FEDXA06,M,2,2.5538461538461537,2.9473684210526314
FEDXA07,M,1,3.042452830188679,3.246575342465753
FEDXA08,M,1,2.975,2.971590909090909
FEDXA09,M,1,2.882758620689655,3.146198830409357
FEDXA10,M,1,3.091891891891892,3.129213483146068
FEDXA11,M,1,2.6719367588932808,2.792746113989637
FEDXA12,M,1,2.8814814814814813,2.976851851851852
FEDXB01,F,2,2.650137741046832,2.903010033444816
FEDXB02,F,2,2.670103092783505,3.1067961165048543
FEDXB03,F,2,2.7711864406779663,3.0093167701863357
FEDXB04,F,2,2.6273062730627306,3.053435114503817
FEDXB05,F,2,2.792727272727273,3
FEDXB06,F,2,2.808306709265176,3.040178571428572
FEDXB07,F,1,2.978527607361963,2.9944444444444445
FEDXB08,F,1,3.1528662420382165,3.3225806451612905
FEDXB10,F,1,2.6313253012048192,2.6996997
FEDXB11,F,1,2.4061302681992336,2.525597269624573
FEDXB12,F,1,3.1574074074074074,3.046511627906977
