"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",-0.213266274422414,-1.05981872659788,0.633286177753054,0.991656082416547,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",-0.541948966290945,-1.38850141846641,0.304603485884522,0.462525832728521,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",0.144809630691806,-0.701742821483661,0.991362082867273,0.999260198988134,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",-0.469520236745604,-1.35371543585512,0.414674962363916,0.685827674330538,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",-0.0543958359948737,-0.900948288170341,0.792156616180593,0.999999028641398,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",-0.705644215372121,-1.55219666754759,0.140908236803347,0.162792804297661,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",-0.512304305499075,-1.35885675767454,0.334248146676392,0.533617473457259,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",-0.328682691868531,-1.13583878485196,0.478473401114895,0.891210719019034,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",0.358075905114219,-0.449080187869207,1.16523199809765,0.841421296885298,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",-0.25625396232319,-1.10280641449866,0.590298489852277,0.975972620129981,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",0.15887043842754,-0.648285654555886,0.966026531410966,0.998177537360157,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",-0.492377940949707,-1.29953403393313,0.31477815203372,0.523635676529648,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",-0.299038031076662,-1.10619412406009,0.508118061906765,0.930592926813985,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",0.686758596982751,-0.120397496000676,1.49391468996618,0.145548771155678,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",0.072428729545341,-0.774123722630126,0.918981181720808,0.999992992135775,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",0.487553130296071,-0.319602962687355,1.2947092232795,0.535941480445316,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",-0.163695249081176,-0.970851342064602,0.643460843902251,0.997797884076977,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",0.0296446607918694,-0.777511432191557,0.836800753775296,0.99999998015756,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",-0.61432986743741,-1.46088231961288,0.232222584738058,0.306533869178615,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",-0.19920546668668,-1.00636155967011,0.607950626296747,0.992620370884218,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",-0.850453846063926,-1.65760993904735,-0.0432977530805,0.0327526561540482,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",-0.657113936190881,-1.46427002917431,0.150042156792545,0.184028590547592,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",0.41512440075073,-0.431428051424737,1.2616768529262,0.763440030417561,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",-0.236123978626517,-1.08267643080198,0.61042847354895,0.984858993067559,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",-0.0427840687534715,-0.889336520928939,0.803768383421996,0.999999816584127,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",-0.651248379377247,-1.45840447236067,0.15590771360618,0.19248208624751,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",-0.457908469504201,-1.26506456248763,0.349247623479225,0.611979910313508,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",0.193339909873045,-0.613816183110381,1.00049600285647,0.993836074550139,"M.2.PR-F.2.PR",""
