mouse_id,sex,order,PR,NR
FEDXA01,M,2,6.367346939,7.278106509
FEDXA02,M,2,5.736111111111111,6.248
FEDXA03,M,2,6.043010752688172,7.134259259
FEDXA04,M,2,6.362637362637362,7.168421052631579
FEDXA05,M,2,6.175438596491228,6.558441558441558
FEDXA06,M,2,6,6.24
FEDXA07,M,1,6.150537634408602,6.21875
FEDXA08,M,1,6.967741935483871,7.221052631578948
FEDXA09,M,1,6.269230769230769,6.222222222222222
FEDXA10,M,1,6.510204081632653,6.124031007751938
FEDXA11,M,1,6.732394366197183,6.578431372549019
FEDXA12,M,1,6.801886792,6.114285714285714
FEDXB01,F,2,5.75,5.835616438356165
FEDXB02,F,2,6.242424242424242,5.909090909090909
FEDXB03,F,2,5.826086956521739,5.578125
FEDXB04,F,2,6.061224489795919,6.798611111111111
FEDXB05,F,2,5.849315068493151,5.756302521008403
FEDXB06,F,2,5.795454545454546,6.628930817610063
FEDXB07,F,1,5.613445378,6.430769230769231
FEDXB08,F,1,6.336065573770492,6.978571428571429
FEDXB10,F,1,5.869565217391305,6.5
FEDXB11,F,1,5.677419355,5.974358974358975
FEDXB12,F,1,7.287878787878788,7.248275862068965
