  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = avg_nr_intake ~ order * hour, data = nr_data)

$order
        diff       lwr      upr     p adj
2-1 1.110615 0.5660423 1.655188 0.0001584

$hour
               diff          lwr         upr     p adj
1-0    -2.851190476  -6.46757797  0.76519702 0.3123002
2-0    -1.541666667  -5.15805416  2.07472082 0.9908934
3-0    -0.603571429  -4.21995892  3.01281606 1.0000000
4-0    -1.225000000  -4.84138749  2.39138749 0.9995903
5-0    -2.352380952  -5.96876844  1.26400654 0.6655880
6-0    -3.597619048  -7.21400654  0.01876844 0.0526877
7-0    -4.295238095  -7.91162559 -0.67885060 0.0063151
8-0    -3.316666667  -6.93305416  0.29972082 0.1108839
9-0    -3.604761905  -7.22114940  0.01162559 0.0516501
10-0   -2.475000000  -6.09138749  1.14138749 0.5742499
11-0   -0.597619048  -4.21400654  3.01876844 1.0000000
12-0    2.990476190  -0.62591130  6.60686368 0.2359519
13-0    7.941666667   4.32527918 11.55805416 0.0000000
14-0   10.758333333   7.14194584 14.37472082 0.0000000
15-0   10.165476190   6.54908870 13.78186368 0.0000000
16-0    9.572619048   5.95623156 13.18900654 0.0000000
17-0    7.866666667   4.25027918 11.48305416 0.0000000
18-0    5.528571429   1.91218394  9.14495892 0.0000859
19-0    1.765476190  -1.85091130  5.38186368 0.9604731
20-0    0.119047619  -3.49733987  3.73543511 1.0000000
21-0   -0.389285714  -4.00567321  3.22710178 1.0000000
22-0    0.496428571  -3.11995892  4.11281606 1.0000000
23-0    3.301190476  -0.31519702  6.91757797 0.1152538
2-1     1.309523810  -2.30686368  4.92591130 0.9989157
3-1     2.247619048  -1.36876844  5.86400654 0.7396381
4-1     1.626190476  -1.99019702  5.24257797 0.9832065
5-1     0.498809524  -3.11757797  4.11519702 1.0000000
6-1    -0.746428571  -4.36281606  2.86995892 0.9999999
7-1    -1.444047619  -5.06043511  2.17233987 0.9959401
8-1    -0.465476190  -4.08186368  3.15091130 1.0000000
9-1    -0.753571429  -4.36995892  2.86281606 0.9999999
10-1    0.376190476  -3.24019702  3.99257797 1.0000000
11-1    2.253571429  -1.36281606  5.86995892 0.7355912
12-1    5.841666667   2.22527918  9.45805416 0.0000273
13-1   10.792857143   7.17646965 14.40924463 0.0000000
14-1   13.609523810   9.99313632 17.22591130 0.0000000
15-1   13.016666667   9.40027918 16.63305416 0.0000000
16-1   12.423809524   8.80742203 16.04019702 0.0000000
17-1   10.717857143   7.10146965 14.33424463 0.0000000
18-1    8.379761905   4.76337441 11.99614940 0.0000000
19-1    4.616666667   1.00027918  8.23305416 0.0021636
20-1    2.970238095  -0.64614940  6.58662559 0.2461750
21-1    2.461904762  -1.15448273  6.07829225 0.5840960
22-1    3.347619048  -0.26876844  6.96400654 0.1025551
23-1    6.152380952   2.53599346  9.76876844 0.0000087
3-2     0.938095238  -2.67829225  4.55448273 0.9999950
4-2     0.316666667  -3.29972082  3.93305416 1.0000000
5-2    -0.810714286  -4.42710178  2.80567321 0.9999997
6-2    -2.055952381  -5.67233987  1.56043511 0.8550191
7-2    -2.753571429  -6.36995892  0.86281606 0.3737561
8-2    -1.775000000  -5.39138749  1.84138749 0.9583505
9-2    -2.063095238  -5.67948273  1.55329225 0.8513209
10-2   -0.933333333  -4.54972082  2.68305416 0.9999954
11-2    0.944047619  -2.67233987  4.56043511 0.9999944
12-2    4.532142857   0.91575537  8.14853035 0.0028801
13-2    9.483333333   5.86694584 13.09972082 0.0000000
14-2   12.300000000   8.68361251 15.91638749 0.0000000
15-2   11.707142857   8.09075537 15.32353035 0.0000000
16-2   11.114285714   7.49789822 14.73067321 0.0000000
17-2    9.408333333   5.79194584 13.02472082 0.0000000
18-2    7.070238095   3.45385060 10.68662559 0.0000003
19-2    3.307142857  -0.30924463  6.92353035 0.1135566
20-2    1.660714286  -1.95567321  5.27710178 0.9788870
21-2    1.152380952  -2.46400654  4.76876844 0.9998399
22-2    2.038095238  -1.57829225  5.65448273 0.8640373
23-2    4.842857143   1.22646965  8.45924463 0.0009931
4-3    -0.621428571  -4.23781606  2.99495892 1.0000000
5-3    -1.748809524  -5.36519702  1.86757797 0.9639959
6-3    -2.994047619  -6.61043511  0.62233987 0.2341790
7-3    -3.691666667  -7.30805416 -0.07527918 0.0404060
8-3    -2.713095238  -6.32948273  0.90329225 0.4009391
9-3    -3.001190476  -6.61757797  0.61519702 0.2306610
10-3   -1.871428571  -5.48781606  1.74495892 0.9320476
11-3    0.005952381  -3.61043511  3.62233987 1.0000000
12-3    3.594047619  -0.02233987  7.21043511 0.0532134
13-3    8.545238095   4.92885060 12.16162559 0.0000000
14-3   11.361904762   7.74551727 14.97829225 0.0000000
15-3   10.769047619   7.15266013 14.38543511 0.0000000
16-3   10.176190476   6.55980298 13.79257797 0.0000000
17-3    8.470238095   4.85385060 12.08662559 0.0000000
18-3    6.132142857   2.51575537  9.74853035 0.0000093
19-3    2.369047619  -1.24733987  5.98543511 0.6533650
20-3    0.722619048  -2.89376844  4.33900654 1.0000000
