"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.0872871554557076,1,0.561780072680833,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.139963719957541,1,0.821094190204285,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.163339328658557,1,0.94686003867931,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.721739793730462,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,1,0.091692198855646,0.155959739209806,0.0655769978237016,0.000163244631368755,0.000308005392367009,0.000386862665002063,0.00293976323187637,0.0131202212224497,0.10327575228612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3.60160829395084e-05,6.17354214090127e-07,2.14464558644479e-06,5.21431157073463e-09,1.18914068065744e-08,2.96498942702196e-09,7.86167705185527e-13,1.74435876764029e-12,2.34194884884388e-12,3.46833085036202e-11,2.64749256989542e-10,6.23207680587486e-09,0.0275130730247056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",9.96462347163788e-09,1.10841191516937e-10,4.30747247678575e-10,6.44552732818759e-13,1.58321462048392e-12,3.53481498216085e-13,7.02406762781963e-17,1.59254994723246e-16,2.15962381375384e-16,3.41591964618337e-15,2.86659373612723e-14,7.86167705185527e-13,2.83768035478821e-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1.52531405344414e-09,1.57350745303845e-11,6.16773241389574e-11,8.74283984884632e-14,2.15207467742622e-13,4.75877399455933e-14,9.19282231697426e-18,2.08395514776072e-17,2.81595276439043e-17,4.41704225243732e-16,3.77050659683333e-15,1.06779698610198e-13,5.17006095600835e-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"16",3.25088724366276e-09,3.46833085036202e-11,1.33917422908169e-10,1.95161494948834e-13,4.77396718424916e-13,1.06779698610198e-13,2.08395514776072e-17,4.69060205819308e-17,6.36140100925209e-17,1.00079935993516e-15,8.49475256197562e-15,2.3730188943021e-13,1.03401204770554e-05,1,1,1,NA,NA,NA,NA,NA,NA,NA
"17",4.76831779346723e-07,6.23207680587486e-09,2.27967725864076e-08,4.19721974561078e-11,1.00828206385521e-10,2.33709507251194e-11,5.10879798744891e-15,1.15053394261532e-14,1.55802559617784e-14,2.3730188943021e-13,1.92179862196897e-12,5.09943034617813e-11,0.000781472893703625,1,1,1,1,NA,NA,NA,NA,NA,NA
"18",0.000980791875275156,2.40601124165794e-05,7.45399747945689e-05,2.535461257276e-07,5.66508361093185e-07,1.46390347342678e-07,5.09943034617813e-11,1.10841191516937e-10,1.47181497105046e-10,2.02255684519518e-09,1.42507251185336e-08,3.0322817723263e-07,0.328458786030707,1,1,0.622497163212422,0.905708471866042,1,NA,NA,NA,NA,NA
"19",1,0.345391387116095,0.721739793730462,0.0149975738111974,0.0275130730247056,0.00995218897304683,1.58429195025111e-05,3.0729286699798e-05,3.87723288626144e-05,0.000331744886771708,0.00164879507133312,0.0171281924208652,1,0.155959739209806,0.000285905521331177,5.86844934354293e-05,0.000110864912183651,0.00651299477299346,1,NA,NA,NA,NA
"20",1,1,1,1,1,1,0.0401170077224418,0.0655769978237016,0.0773765307503111,0.360292568502482,1,1,1,0.00010266548481069,3.31091626592625e-08,5.21431157073463e-09,1.08607220574753e-08,1.51503835055526e-06,0.00256269336479828,1,NA,NA,NA
"21",1,1,1,1,1,1,0.0872871554557076,0.139963719957541,0.163339328658557,0.721739793730462,1,1,1,3.60160829395084e-05,9.96462347163788e-09,1.52531405344414e-09,3.25088724366276e-09,4.76831779346723e-07,0.000980791875275156,1,1,NA,NA
"22",1,1,1,1,1,1,0.0377781127645375,0.0622979456265132,0.0735860292899506,0.345391387116095,0.98955538927968,1,1,0.000110864912183651,3.62068649515418e-08,5.68785348971764e-09,1.18914068065744e-08,1.64872389012406e-06,0.00274508106779274,1,1,1,NA
"23",1,0.784693256047553,1,0.0425892883201201,0.0735860292899506,0.0290639677788337,5.86844934354293e-05,0.000110864912183651,0.000139442061526253,0.00113111944273489,0.00527036011451194,0.048283372630059,1,0.0622979456265132,8.05501827869588e-05,1.58429195025111e-05,3.0729286699798e-05,0.00205739176257421,0.652420018732606,1,1,1,1
