"Sex","Order","Phase","Hour","mean_meals","sd_meals","mean_snacks","sd_snacks","mean_mega_meals","sd_mega_meals"
"F","1","NR","0",1.42857142857143,0.707106781186547,1,0.788954358370519,0.342857142857143,0.278479838423113
"F","1","NR","1",0.342857142857143,0.259512887494071,0.114285714285714,0.15649215928719,0.228571428571429,0.191662969499982
"F","1","NR","2",1.31428571428571,0.341066753894666,0.828571428571429,0.955115122882673,0.171428571428571,0.186262925862933
"F","1","NR","3",1,0.484452141651805,0.885714285714286,0.83543951526934,0.2,0.216653584115759
"F","1","NR","4",0.828571428571429,0.724216677464947,0.828571428571429,1.30696720131231,0.428571428571429,0.202030508910442
"F","1","NR","5",0.6,0.325764407171182,0.342857142857143,0.162882203585591,0.228571428571429,0.216653584115759
"F","1","NR","6",0.657142857142857,0.411567436882512,0.342857142857143,0.435655733770769,0.342857142857143,0.162882203585591
"F","1","NR","7",0.228571428571429,0.216653584115759,0.114285714285714,0.186262925862933,0.314285714285714,0.186262925862933
"F","1","NR","8",0.6,0.519025774988141,0.228571428571429,0.312984318574381,0.285714285714286,0.267261241912424
"F","1","NR","9",0.571428571428571,0.364215679542342,0.2,0.216653584115759,0.342857142857143,0.216653584115759
"F","1","NR","10",0.542857142857143,0.383325938999964,0.0857142857142857,0.0782460796435952,0.571428571428571,0.303045763365663
"F","1","NR","11",0.828571428571429,0.665475125648692,0.228571428571429,0.239045721866879,0.714285714285714,0.349927106111883
"F","1","NR","12",1.22857142857143,0.385978745317323,0.257142857142857,0.355711417085392,0.914285714285714,0.216653584115759
"F","1","NR","13",2.14285714285714,1.53861851632414,2.05714285714286,2.16794833886788,0.828571428571429,0.7586238884201
"F","1","NR","14",2.08571428571429,1.63694588692928,2.08571428571429,2.77672542424213,1.37142857142857,1.1320921574948
"F","1","NR","15",2.31428571428571,1.41925533794512,1.71428571428571,1.77855708542696,1,0.801783725737273
"F","1","NR","16",1.97142857142857,1.28333112465575,1.42857142857143,1.48804761828569,1.17142857142857,0.765319727770221
"F","1","NR","17",2,1.57790871674104,1.37142857142857,1.42356264781178,0.914285714285714,0.718558647997674
"F","1","NR","18",1.14285714285714,0.936776932043143,0.771428571428571,0.643650304346789,0.857142857142857,0.801783725737273
"F","1","NR","19",1.2,1.22307741674309,0.685714285714286,0.592469752952221,0.714285714285714,0.484452141651805
"F","1","NR","20",1.17142857142857,0.955115122882673,0.171428571428571,0.234738238930785,0.542857142857143,0.444926042925641
"F","1","NR","21",0.914285714285714,0.704214716792356,0.485714285714286,0.549582401762038,0.428571428571429,0.285714285714286
"F","1","NR","22",1.4,1.29125789011162,0.485714285714286,0.458480186739463,0.771428571428571,0.480221037542046
"F","1","NR","23",1.28571428571429,0.845154254728517,0.857142857142857,0.755928946018454,0.742857142857143,0.341066753894666
"F","1","PR","0",2,1.75254916376933,1.28571428571429,1.04490991702341,0.514285714285714,0.501019369050005
"F","1","PR","1",0.571428571428571,0.524890659167824,0.342857142857143,0.328881840949181,0.171428571428571,0.15649215928719
