  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = Meals ~ Sex * Order * Phase * Hour, data = data)

$`Sex:Order:Phase`
                     diff          lwr         upr     p adj
M:1:NR-F:1:NR -0.11269841 -0.382374551  0.15697773 0.9098872
F:2:NR-F:1:NR  0.22658730 -0.043088836  0.49626344 0.1750776
M:2:NR-F:1:NR -0.30813492 -0.577811059 -0.03845878 0.0126321
F:1:PR-F:1:NR  0.32619048  0.044522936  0.60785802 0.0107356
M:1:PR-F:1:NR  0.14722222 -0.122453916  0.41689836 0.7141198
F:2:PR-F:1:NR  0.67400794  0.404331799  0.94368407 0.0000000
M:2:PR-F:1:NR  0.59861111  0.328934973  0.86828725 0.0000000
F:2:NR-M:1:NR  0.33928571  0.082159606  0.59641182 0.0016922
M:2:NR-M:1:NR -0.19543651 -0.452562617  0.06168960 0.2896138
F:1:PR-M:1:NR  0.43888889  0.169212751  0.70856503 0.0000250
M:1:PR-M:1:NR  0.25992063  0.002794526  0.51704674 0.0453939
F:2:PR-M:1:NR  0.78670635  0.529580241  1.04383246 0.0000000
M:2:PR-M:1:NR  0.71130952  0.454183415  0.96843563 0.0000000
M:2:NR-F:2:NR -0.53472222 -0.791848331 -0.27759611 0.0000000
F:1:PR-F:2:NR  0.09960317 -0.170072963  0.36927931 0.9520205
M:1:PR-F:2:NR -0.07936508 -0.336491188  0.17776103 0.9823034
F:2:PR-F:2:NR  0.44742063  0.190294526  0.70454674 0.0000043
M:2:PR-F:2:NR  0.37202381  0.114897701  0.62914992 0.0003289
F:1:PR-M:2:NR  0.63432540  0.364649259  0.90400153 0.0000000
M:1:PR-M:2:NR  0.45535714  0.198231034  0.71248325 0.0000026
F:2:PR-M:2:NR  0.98214286  0.725016748  1.23926897 0.0000000
M:2:PR-M:2:NR  0.90674603  0.649619923  1.16387214 0.0000000
M:1:PR-F:1:PR -0.17896825 -0.448644392  0.09070788 0.4714240
F:2:PR-F:1:PR  0.34781746  0.078141322  0.61749360 0.0024266
M:2:PR-F:1:PR  0.27242063  0.002744497  0.54209677 0.0456757
F:2:PR-M:1:PR  0.52678571  0.269659606  0.78391182 0.0000000
M:2:PR-M:1:PR  0.45138889  0.194262780  0.70851500 0.0000034
M:2:PR-F:2:PR -0.07539683 -0.332522934  0.18172928 0.9868849

