"sex","order","phase","hour","mean_pellet_intake","sd_pellet_intake","n"
"F","1","NR","0",7.17142857142857,2.19321774606003,5
"F","1","NR","1",2.31428571428571,1.32248992126093,5
"F","1","NR","2",5.6,2.11505777409391,5
"F","1","NR","3",4.54285714285714,0.566046078747398,5
"F","1","NR","4",5.48571428571429,2.95648715987921,5
"F","1","NR","5",3.57142857142857,1.55182578445717,5
"F","1","NR","6",4.54285714285714,2.23012766176179,5
"F","1","NR","7",2.8,0.982499935088537,5
"F","1","NR","8",3.71428571428571,1.98720396332051,5
"F","1","NR","9",3.94285714285714,0.667006715995929,5
"F","1","NR","10",5.62857142857143,3.00271985549972,5
"F","1","NR","11",7.25714285714286,1.33783254496493,5
"F","1","NR","12",10.6571428571429,1.55379719213471,5
"F","1","NR","13",12.9142857142857,2.11071126419895,5
"F","1","NR","14",16.6571428571429,2.20064925484666,5
"F","1","NR","15",14.8571428571429,1.12485826771597,5
"F","1","NR","16",15.3428571428571,2.54670655665593,5
"F","1","NR","17",13.6857142857143,3.28478247656787,5
"F","1","NR","18",10.7142857142857,3.82126167859864,5
"F","1","NR","19",9.25714285714286,1.56947931051112,5
"F","1","NR","20",7.31428571428571,2.92491060390165,5
"F","1","NR","21",5.97142857142857,1.58886431010278,5
"F","1","NR","22",9.65714285714286,2.44239761759812,5
"F","1","NR","23",9.54285714285714,2.8915782005327,5
"F","1","PR","0",10.3142857142857,4.36638364352573,5
"F","1","PR","1",2.88571428571429,1.62694154028662,5
"F","1","PR","2",6.17142857142857,1.85549377332751,5
"F","1","PR","3",6.34285714285714,1.16758952809729,5
"F","1","PR","4",3,0.614451804788759,5
"F","1","PR","5",4.34285714285714,2.15378167654107,5
"F","1","PR","6",3.54285714285714,1.31475147026783,5
"F","1","PR","7",1.48571428571429,0.901246302605,5
"F","1","PR","8",2.82857142857143,0.810643483377778,5
"F","1","PR","9",3.88571428571429,1.42642696187047,5
"F","1","PR","10",4.08571428571429,1.76877681706071,5
"F","1","PR","11",5.91428571428571,1.0860901604999,5
"F","1","PR","12",9.8,2.93917939401529,5
"F","1","PR","13",13.6857142857143,3.41425582772335,5
"F","1","PR","14",15.8571428571429,2.79394388794399,5
"F","1","PR","15",17.7714285714286,2.82590061497468,5
"F","1","PR","16",15.1714285714286,3.33870315774107,5
"F","1","PR","17",13.2,3.98159028837597,5
"F","1","PR","18",14.2571428571429,4.09504429220272,5
"F","1","PR","19",10.6857142857143,2.65806435634072,5
"F","1","PR","20",9.8,3.1616322315138,5
"F","1","PR","21",7.22857142857143,3.32982808896207,5
"F","1","PR","22",6.71428571428571,1.60991823851209,5
"F","1","PR","23",11.1714285714286,4.2945147738548,5
"F","2","NR","0",8.04761904761905,1.91804889526463,6
"F","2","NR","1",2.88095238095238,1.45241998386273,6
"F","2","NR","2",5.73809523809524,2.05519087284114,6
"F","2","NR","3",6.40476190476191,3.21148025716754,6
"F","2","NR","4",5.52380952380952,2.54537061439505,6
"F","2","NR","5",4.71428571428571,2.89545738517902,6
"F","2","NR","6",3.38095238095238,2.3398354497641,6
"F","2","NR","7",2.5952380952381,1.01183473147028,6
"F","2","NR","8",3.97619047619048,2.0650970559129,6
"F","2","NR","9",3.78571428571429,0.749149177264394,6
"F","2","NR","10",3.76190476190476,2.58514858321121,6
"F","2","NR","11",5.71428571428571,3.56742632891625,6
"F","2","NR","12",11.0238095238095,4.26797917737463,6
"F","2","NR","13",17.952380952381,2.60402618668714,6
"F","2","NR","14",17.2619047619048,1.15499506728045,6
"F","2","NR","15",17.5,3.98030867431876,6
"F","2","NR","16",17.1904761904762,3.22574676266919,6
"F","2","NR","17",14.8571428571429,3.70548407699965,6
"F","2","NR","18",12.7857142857143,3.19022742455897,6
"F","2","NR","19",8.97619047619048,3.90751935158269,6
"F","2","NR","20",5.42857142857143,2.32817700428153,6
"F","2","NR","21",6.14285714285714,2.28035085019828,6
"F","2","NR","22",8.85714285714286,2.67871428190496,6
"F","2","NR","23",11.4761904761905,3.26223495026773,6
"F","2","PR","0",7.47619047619048,1.41325118487997,6
"F","2","PR","1",1.97619047619048,1.38037754866947,6
"F","2","PR","2",7,2.41255220943823,6
"F","2","PR","3",4.61904761904762,1.95389024124436,6
"F","2","PR","4",4.52380952380952,1.76973805663879,6
"F","2","PR","5",2.97619047619048,1.11909827646233,6
"F","2","PR","6",2.83333333333333,1.72713438888782,6
"F","2","PR","7",1.88095238095238,0.628679644364358,6
"F","2","PR","8",2.4047619047619,1.01987060670546,6
"F","2","PR","9",3.5,1.42499552451857,6
"F","2","PR","10",2.97619047619048,1.08577694054803,6
"F","2","PR","11",5.02380952380952,0.987334761857795,6
"F","2","PR","12",10.2142857142857,2.31013737554232,6
"F","2","PR","13",16,2.07610309995257,6
"F","2","PR","14",16.7619047619048,1.87718127089781,6
"F","2","PR","15",16.6904761904762,0.863862548905415,6
"F","2","PR","16",16.452380952381,1.15499506728045,6
"F","2","PR","17",13.9285714285714,3.66645021006111,6
"F","2","PR","18",13.9761904761905,2.46181725919839,6
"F","2","PR","19",10.047619047619,2.42380484609896,6
"F","2","PR","20",7.21428571428571,2.71916854038517,6
"F","2","PR","21",7.5,2.84389787123955,6
"F","2","PR","22",7.5,2.36081964320765,6
"F","2","PR","23",11.6428571428571,1.28650769170508,6
"M","1","NR","0",6.59523809523809,3.0777896477255,6
"M","1","NR","1",6.19047619047619,1.07158728983125,6
"M","1","NR","2",4.07142857142857,0.911379309013519,6
"M","1","NR","3",7.23809523809524,1.82201204473419,6
"M","1","NR","4",4.66666666666667,1.48644670591441,6
"M","1","NR","5",3.69047619047619,1.62735961598163,6
"M","1","NR","6",3.21428571428571,1.15263672879682,6
"M","1","NR","7",2.19047619047619,1.38995423993585,6
"M","1","NR","8",4.33333333333333,0.845958780617236,6
"M","1","NR","9",3.85714285714286,1.34922502321344,6
"M","1","NR","10",5.21428571428571,1.26732886378382,6
"M","1","NR","11",6.52380952380952,1.28941267017724,6
"M","1","NR","12",9.66666666666667,1.02883594482334,6
"M","1","NR","13",11.7619047619048,2.09502163384021,6
"M","1","NR","14",16.0952380952381,1.2410221812771,6
"M","1","NR","15",16.8809523809524,3.0417726661243,6
"M","1","NR","16",14.6428571428571,1.22807298859071,6
"M","1","NR","17",13.0238095238095,2.96980266872337,6
"M","1","NR","18",12.3095238095238,1.90255824908371,6
"M","1","NR","19",8.14285714285714,1.81377945692616,6
"M","1","NR","20",7.26190476190476,2.33065930352672,6
"M","1","NR","21",7.23809523809524,1.61792678290148,6
"M","1","NR","22",4.95238095238095,1.50011337440022,6
"M","1","NR","23",10.6666666666667,1.97673543834204,6
