  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = pellet_intake ~ sex * order * phase * hour, data = data)

$`sex:order:phase`
                     diff         lwr         upr     p adj
M:1:NR-F:1:NR -0.11309524 -0.99361004  0.76741956 0.9999360
F:2:NR-F:1:NR  0.53472222 -0.34579258  1.41523702 0.5893768
M:2:NR-F:1:NR  1.57341270  0.69289790  2.45392750 0.0000020
F:1:PR-F:1:NR  0.29166667 -0.62800105  1.21133438 0.9793168
M:1:PR-F:1:NR -0.08035714 -0.96087194  0.80015766 0.9999938
F:2:PR-F:1:NR  0.08234127 -0.79817353  0.96285607 0.9999927
M:2:PR-F:1:NR  0.69642857 -0.18408623  1.57694337 0.2410813
F:2:NR-M:1:NR  0.64781746 -0.19172046  1.48735538 0.2708035
M:2:NR-M:1:NR  1.68650794  0.84697001  2.52604586 0.0000000
F:1:PR-M:1:NR  0.40476190 -0.47575290  1.28527671 0.8589733
M:1:PR-M:1:NR  0.03273810 -0.80679983  0.87227602 1.0000000
F:2:PR-M:1:NR  0.19543651 -0.64410141  1.03497443 0.9967965
M:2:PR-M:1:NR  0.80952381 -0.03001411  1.64906173 0.0680325
M:2:NR-F:2:NR  1.03869048  0.19915255  1.87822840 0.0044868
F:1:PR-F:2:NR -0.24305556 -1.12357036  0.63745924 0.9908489
M:1:PR-F:2:NR -0.61507937 -1.45461729  0.22445856 0.3371611
F:2:PR-F:2:NR -0.45238095 -1.29191887  0.38715697 0.7276692
M:2:PR-F:2:NR  0.16170635 -0.67783157  1.00124427 0.9990482
F:1:PR-M:2:NR -1.28174603 -2.16226083 -0.40123123 0.0002920
M:1:PR-M:2:NR -1.65376984 -2.49330776 -0.81423192 0.0000001
F:2:PR-M:2:NR -1.49107143 -2.33060935 -0.65153351 0.0000024
M:2:PR-M:2:NR -0.87698413 -1.71652205 -0.03744621 0.0333341
M:1:PR-F:1:PR -0.37202381 -1.25253861  0.50849099 0.9049526
F:2:PR-F:1:PR -0.20932540 -1.08984020  0.67118940 0.9963453
M:2:PR-F:1:PR  0.40476190 -0.47575290  1.28527671 0.8589733
F:2:PR-M:1:PR  0.16269841 -0.67683951  1.00223633 0.9990095
M:2:PR-M:1:PR  0.77678571 -0.06275221  1.61632364 0.0935173
M:2:PR-F:2:PR  0.61408730 -0.22545062  1.45362522 0.3392950

