
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
Female_Order_2.0  1.00000          -                -             
Male_Order_1.0    1.00000          1.00000          -             
Male_Order_2.0    1.00000          1.00000          1.00000       
Female_Order_1.1  0.00054          1.00000          1.00000       
Female_Order_2.1  3.8e-06          0.05548          1.00000       
Male_Order_1.1    1.00000          1.00000          1.00000       
Male_Order_2.1    1.00000          1.00000          1.00000       
Female_Order_1.2  1.00000          1.00000          1.00000       
Female_Order_2.2  1.00000          1.00000          1.00000       
Male_Order_1.2    1.00000          1.00000          1.00000       
Male_Order_2.2    1.00000          1.00000          1.00000       
Female_Order_1.3  1.00000          1.00000          1.00000       
Female_Order_2.3  0.06976          1.00000          1.00000       
Male_Order_1.3    0.35473          1.00000          1.00000       
Male_Order_2.3    0.46368          1.00000          1.00000       
Female_Order_1.4  0.00081          1.00000          1.00000       
Female_Order_2.4  0.05177          1.00000          1.00000       
Male_Order_1.4    0.05177          1.00000          1.00000       
Male_Order_2.4    0.82589          1.00000          1.00000       
Female_Order_1.5  0.06520          1.00000          1.00000       
Female_Order_2.5  0.00023          1.00000          1.00000       
Male_Order_1.5    0.23590          1.00000          1.00000       
Male_Order_2.5    0.31018          1.00000          1.00000       
Female_Order_1.6  0.00521          1.00000          1.00000       
Female_Order_2.6  0.00013          0.76342          1.00000       
Male_Order_1.6    0.00080          1.00000          1.00000       
Male_Order_2.6    0.00039          1.00000          1.00000       
Female_Order_1.7  2.3e-06          0.02728          1.00000       
Female_Order_2.7  2.5e-06          0.04055          1.00000       
Male_Order_1.7    0.00073          1.00000          1.00000       
Male_Order_2.7    0.00080          1.00000          1.00000       
Female_Order_1.8  0.00044          1.00000          1.00000       
Female_Order_2.8  2.3e-05          0.21712          1.00000       
Male_Order_1.8    0.00105          1.00000          1.00000       
Male_Order_2.8    0.00105          1.00000          1.00000       
Female_Order_1.9  0.01594          1.00000          1.00000       
Female_Order_2.9  0.00162          1.00000          1.00000       
Male_Order_1.9    0.03283          1.00000          1.00000       
Male_Order_2.9    0.01012          1.00000          1.00000       
Female_Order_1.10 0.02980          1.00000          1.00000       
Female_Order_2.10 0.00023          1.00000          1.00000       
Male_Order_1.10   0.16655          1.00000          1.00000       
Male_Order_2.10   0.05177          1.00000          1.00000       
Female_Order_1.11 1.00000          1.00000          1.00000       
Female_Order_2.11 0.23590          1.00000          1.00000       
