"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1",0.240812698659579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.585945884847469,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.140448108074037,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,0.000284499413508108,0.19357558792895,0.634998821217866,0.128938297862596,0.0244383903544006,0.0010365679052312,0.000134400667510803,0.00448447173624807,0.00282662193100586,0.00269253266699617,0.185714689927839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2.15910355167033e-06,1.46543908448479e-13,1.7924897999078e-09,1.45812512940781e-08,9.03861858398034e-10,6.44942117516948e-11,7.85416105049092e-13,5.55673848881513e-14,5.7192784161061e-12,3.03609771035475e-12,2.8125884711692e-12,1.66604036490158e-09,0.00593375228631086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1.58914211761178e-05,1.49020114288835e-12,1.55933262633688e-08,1.20784706261409e-07,8.0080535768587e-09,6.20161717034087e-10,7.84440750754678e-12,5.75163289364358e-13,5.52804022130038e-11,2.96769347426604e-11,2.75190553257571e-11,1.45812512940781e-08,0.0284167285460542,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",8.12437944043268e-06,6.73394586818436e-13,7.48346136330545e-09,5.87638294351987e-08,3.83873244946637e-09,2.85198006018181e-10,3.55078832342851e-12,2.57330976094418e-13,2.55168621903161e-11,1.35554032791106e-11,1.25652315142186e-11,6.96310238651516e-09,0.0170303474887519,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"16",1.94174020924264e-05,1.88960160088574e-12,1.93097172135859e-08,1.50063579761224e-07,1.00195420890757e-08,7.7692456064261e-10,9.92946580960219e-12,7.27264398281133e-13,6.95198721276793e-11,3.73556256744851e-11,3.4643918466598e-11,1.80615850335158e-08,0.033197678009687,1,1,1,NA,NA,NA,NA,NA,NA,NA
"17",0.00787014566135912,3.83873244946637e-09,2.05890005374436e-05,0.000126544760570616,1.1322169720826e-05,1.06191966757055e-06,1.80615850335158e-08,1.54841151169479e-09,1.12678983284689e-07,6.27515379391394e-08,5.87638294351987e-08,1.94174020924264e-05,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"18",0.520628555092966,2.15910355167033e-06,0.00448447173624807,0.020987894525849,0.00269253266699617,0.000340935199854047,9.24562402340989e-06,9.23940049502429e-07,4.81037514492245e-05,2.84960824095669e-05,2.6760410393677e-05,0.00425278414579442,1,0.240812698659579,0.8172772234346,0.540305025875338,0.921595691770811,1,NA,NA,NA,NA,NA
"19",1,0.0387325690273298,1,1,1,1,0.107020387056059,0.020987894525849,0.322690887632971,0.231243899198216,0.222010401369123,1,1,3.03407150822095e-05,0.000195426121355372,0.000104483547085715,0.000235911303510587,0.0598935171043584,1,NA,NA,NA,NA
"20",1,1,1,1,1,1,1,1,1,1,1,1,0.107020387056059,6.67683902044391e-10,6.02713144939121e-09,2.83475302887172e-09,7.48346136330545e-09,8.66736652485736e-06,0.00213002165863341,1,NA,NA,NA
"21",1,1,1,1,1,1,1,1,1,1,1,1,0.403110339160657,6.47846467120735e-09,5.47793232638116e-08,2.5993530214825e-08,6.73033792288784e-08,6.25041641504725e-05,0.0115819939971732,1,1,NA,NA
"22",1,0.049219306537122,1,1,1,1,0.134583310551701,0.0270816574632847,0.403110339160657,0.284670077839233,0.2735686427161,1,1,2.19336926567347e-05,0.000142725619400549,7.58926931431906e-05,0.000172577452583897,0.0469903443692013,1,1,1,1,NA
"23",1,8.61863722340861e-05,0.0800253223417937,0.284670077839233,0.0515445981823505,0.00877302330277696,0.000321584191952876,3.95333810284641e-05,0.00148912674835896,0.000921087114741048,0.000870430914267258,0.076527335856974,1,0.0170303474887519,0.0731685321829582,0.0448541810033262,0.0836674395437339,1,1,1,0.0428073909213373,0.178137593646052,1
