  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = `Mega Meals` ~ Sex * Order * Phase * Hour, data = data)

$`Sex:Order:Phase`
                      diff         lwr           upr     p adj
M:1:NR-F:1:NR  0.059523810 -0.07651896  0.1955665838 0.8876774
F:2:NR-F:1:NR  0.030753968 -0.10528881  0.1667967425 0.9973378
M:2:NR-F:1:NR  0.337301587  0.20125881  0.4733443615 0.0000000
F:1:PR-F:1:NR -0.077380952 -0.21947300  0.0647110911 0.7167013
M:1:PR-F:1:NR -0.075396825 -0.21143960  0.0606459488 0.6979605
F:2:PR-F:1:NR -0.290674603 -0.42671738 -0.1546318289 0.0000000
M:2:PR-F:1:NR -0.174603175 -0.31064595 -0.0385604004 0.0026165
F:2:NR-M:1:NR -0.028769841 -0.15848154  0.1009418545 0.9976405
M:2:NR-M:1:NR  0.277777778  0.14806608  0.4074894735 0.0000000
F:1:PR-M:1:NR -0.136904762 -0.27294754 -0.0008619877 0.0472687
M:1:PR-M:1:NR -0.134920635 -0.26463233 -0.0052089391 0.0347448
F:2:PR-M:1:NR -0.350198413 -0.47991011 -0.2204867169 0.0000000
M:2:PR-M:1:NR -0.234126984 -0.36383868 -0.1044152884 0.0000015
M:2:NR-F:2:NR  0.306547619  0.17683592  0.4362593148 0.0000000
F:1:PR-F:2:NR -0.108134921 -0.24417769  0.0279078536 0.2352985
M:1:PR-F:2:NR -0.106150794 -0.23586249  0.0235609021 0.2025846
F:2:PR-F:2:NR -0.321428571 -0.45114027 -0.1917168757 0.0000000
M:2:PR-F:2:NR -0.205357143 -0.33506884 -0.0756454471 0.0000482
F:1:PR-M:2:NR -0.414682540 -0.55072531 -0.2786397654 0.0000000
M:1:PR-M:2:NR -0.412698413 -0.54241011 -0.2829867169 0.0000000
F:2:PR-M:2:NR -0.627976190 -0.75768789 -0.4982644947 0.0000000
M:2:PR-M:2:NR -0.511904762 -0.64161646 -0.3821930661 0.0000000
M:1:PR-F:1:PR  0.001984127 -0.13405865  0.1380269012 1.0000000
F:2:PR-F:1:PR -0.213293651 -0.34933643 -0.0772508766 0.0000604
M:2:PR-F:1:PR -0.097222222 -0.23326500  0.0388205520 0.3703718
F:2:PR-M:1:PR -0.215277778 -0.34498947 -0.0855660820 0.0000153
M:2:PR-M:1:PR -0.099206349 -0.22891804  0.0305053466 0.2818053
M:2:PR-F:2:PR  0.116071429 -0.01364027  0.2457831243 0.1182852

