Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,G0 F Order1 - G1 F Order1,16.6,35.49838642,19,0.467626889,1.0,,"t(19) = 0.468, p = 1.000e+00"
2,G0 F Order1 - G2 F Order1,19.8,30.07107954,19,0.658439946,1.0,,"t(19) = 0.658, p = 1.000e+00"
3,G0 F Order1 - NR0 F Order1,66.4,36.45896997,19,1.821225341,0.999238533,,"t(19) = 1.821, p = 9.992e-01"
4,G0 F Order1 - NR1 F Order1,60.8,33.2247741,19,1.829959771,0.999167235,,"t(19) = 1.830, p = 9.992e-01"
5,G0 F Order1 - NR2 F Order1,43.6,31.10923595,19,1.401513045,0.999998162,,"t(19) = 1.402, p = 1.000e+00"
6,G0 F Order1 - NR3 F Order1,52.4,30.69173842,19,1.707299837,0.999788044,,"t(19) = 1.707, p = 9.998e-01"
7,G0 F Order1 - NR4 F Order1,32.0,28.16224921,19,1.136272879,1.0,,"t(19) = 1.136, p = 1.000e+00"
8,G0 F Order1 - NR5 F Order1,35.4,25.6006853,19,1.382775484,0.999998732,,"t(19) = 1.383, p = 1.000e+00"
9,G0 F Order1 - NR6 F Order1,54.2,23.55385021,19,2.301109989,0.972720932,,"t(19) = 2.301, p = 9.727e-01"
10,G0 F Order1 - PR0 F Order1,81.6,30.05212431,19,2.71528226,0.859248348,,"t(19) = 2.715, p = 8.592e-01"
11,G0 F Order1 - PR1 F Order1,26.4,33.8668238,19,0.779523942,1.0,,"t(19) = 0.780, p = 1.000e+00"
12,G0 F Order1 - PR2 F Order1,44.8,32.2371367,19,1.389701586,0.999998544,,"t(19) = 1.390, p = 1.000e+00"
13,G0 F Order1 - PR3 F Order1,55.4,33.00508201,19,1.678529385,0.999851907,,"t(19) = 1.679, p = 9.999e-01"
14,G0 F Order1 - PR4 F Order1,49.2,33.88178106,19,1.452107843,0.999995255,,"t(19) = 1.452, p = 1.000e+00"
15,G0 F Order1 - PR5 F Order1,17.2,33.73474444,19,0.509860095,1.0,,"t(19) = 0.510, p = 1.000e+00"
16,G0 F Order1 - PR6 F Order1,21.4,33.26101453,19,0.643395889,1.0,,"t(19) = 0.643, p = 1.000e+00"
17,G0 F Order1 - G0 M Order1,-29.76666667,37.89665927,19,-0.785469412,1.0,,"t(19) = -0.785, p = 1.000e+00"
18,G0 F Order1 - G1 M Order1,7.233333333,31.23413843,19,0.231584212,1.0,,"t(19) = 0.232, p = 1.000e+00"
19,G0 F Order1 - G2 M Order1,30.56666667,34.26501122,19,0.892066443,1.0,,"t(19) = 0.892, p = 1.000e+00"
20,G0 F Order1 - NR0 M Order1,62.4,31.4683318,19,1.982945915,0.996631972,,"t(19) = 1.983, p = 9.966e-01"
21,G0 F Order1 - NR1 M Order1,54.73333333,32.20224012,19,1.699674716,0.999806969,,"t(19) = 1.700, p = 9.998e-01"
22,G0 F Order1 - NR2 M Order1,47.56666667,30.2571542,19,1.57207999,0.999965947,,"t(19) = 1.572, p = 1.000e+00"
23,G0 F Order1 - NR3 M Order1,54.4,30.5197913,19,1.782449935,0.999495376,,"t(19) = 1.782, p = 9.995e-01"
24,G0 F Order1 - NR4 M Order1,53.06666667,30.53502543,19,1.737894956,0.99969473,,"t(19) = 1.738, p = 9.997e-01"
25,G0 F Order1 - NR5 M Order1,44.9,31.51737755,19,1.424610913,0.999997139,,"t(19) = 1.425, p = 1.000e+00"
26,G0 F Order1 - NR6 M Order1,46.73333333,30.45519286,19,1.534494743,0.999980906,,"t(19) = 1.534, p = 1.000e+00"
27,G0 F Order1 - PR0 M Order1,92.9,30.44897563,19,3.051005759,0.692011356,,"t(19) = 3.051, p = 6.920e-01"
28,G0 F Order1 - PR1 M Order1,77.9,31.50816844,19,2.472374748,0.939625933,,"t(19) = 2.472, p = 9.396e-01"
29,G0 F Order1 - PR2 M Order1,45.56666667,31.48696101,19,1.447159879,0.999995661,,"t(19) = 1.447, p = 1.000e+00"
30,G0 F Order1 - PR3 M Order1,37.23333333,31.29603136,19,1.189714213,1.0,,"t(19) = 1.190, p = 1.000e+00"
31,G0 F Order1 - PR4 M Order1,29.9,31.79769384,19,0.940319765,1.0,,"t(19) = 0.940, p = 1.000e+00"
32,G0 F Order1 - PR5 M Order1,32.73333333,31.60332631,19,1.035755952,1.0,,"t(19) = 1.036, p = 1.000e+00"
