Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,grain F order1 - pr F order1,-179.2,33.101433689203,19,-5.41366279426294,0.0014190183441623,**,"t(19) = -5.414, p = 1.419e-03"
2,grain F order1 - nr F order1,-122.8,31.3889521295228,19,-3.9122045072827,0.0326178063068908,*,"t(19) = -3.912, p = 3.262e-02"
3,grain F order1 - grain M order1,-0.633333333333337,17.75099700684,19,-0.0356787471199108,1.0,,"t(19) = -0.036, p = 1.000e+00"
4,grain F order1 - pr M order1,-147.466666666667,34.4967232955342,19,-4.27480214289677,0.0154934967952129,*,"t(19) = -4.275, p = 1.549e-02"
5,grain F order1 - nr M order1,-105.8,31.8913808957624,19,-3.31751078279769,0.103900439426267,,"t(19) = -3.318, p = 1.039e-01"
6,grain F order1 - grain F order2,-6.46666666666668,17.75099700684,19,-0.364298786382245,0.999999764666131,,"t(19) = -0.364, p = 1.000e+00"
7,grain F order1 - pr F order2,-236.966666666667,34.4967232955342,19,-6.86925145430677,7.34824261496847e-05,***,"t(19) = -6.869, p = 7.348e-05"
8,grain F order1 - nr F order2,-160.8,31.8913808957624,19,-5.04211468689857,0.0030960621137778,**,"t(19) = -5.042, p = 3.096e-03"
9,grain F order1 - grain M order2,-16.9666666666667,17.75099700684,19,-0.955814857054447,0.99708341752129,,"t(19) = -0.956, p = 9.971e-01"
10,grain F order1 - pr M order2,-223.8,34.4967232955342,19,-6.48757269154813,0.0001566027697746,***,"t(19) = -6.488, p = 1.566e-04"
11,grain F order1 - nr M order2,-70.3,31.8913808957624,19,-2.20435735378712,0.565087471882478,,"t(19) = -2.204, p = 5.651e-01"
12,pr F order1 - nr F order1,56.4,22.3472279375145,19,2.52380295926193,0.381789180331397,,"t(19) = 2.524, p = 3.818e-01"
13,pr F order1 - grain M order1,178.566666666667,36.9460298652916,19,4.83317604943579,0.0048074763475968,**,"t(19) = 4.833, p = 4.807e-03"
14,pr F order1 - pr M order1,31.7333333333333,47.3279531165128,19,0.670498748492496,0.999883177433576,,"t(19) = 0.670, p = 9.999e-01"
15,pr F order1 - nr M order1,73.4,45.4639571914805,19,1.6144657116155,0.88364319789799,,"t(19) = 1.614, p = 8.836e-01"
16,pr F order1 - grain F order2,172.733333333333,36.9460298652916,19,4.67528808814192,0.0067026042045852,**,"t(19) = 4.675, p = 6.703e-03"
17,pr F order1 - pr F order2,-57.7666666666667,47.3279531165128,19,-1.22056127220325,0.980152665620081,,"t(19) = -1.221, p = 9.802e-01"
18,pr F order1 - nr F order2,18.4,45.4639571914805,19,0.404716200186992,0.999999288407614,,"t(19) = 0.405, p = 1.000e+00"
19,pr F order1 - grain M order2,162.233333333333,36.9460298652916,19,4.39108975781295,0.0121614502053328,*,"t(19) = 4.391, p = 1.216e-02"
20,pr F order1 - pr M order2,-44.6000000000001,47.3279531165128,19,-0.942360636011513,0.997412947962015,,"t(19) = -0.942, p = 9.974e-01"
21,pr F order1 - nr M order2,108.9,45.4639571914805,19,2.39530403262844,0.452099989723087,,"t(19) = 2.395, p = 4.521e-01"
22,nr F order1 - grain M order1,122.166666666667,34.0213555223619,19,3.5908818091145,0.0617833865128378,,"t(19) = 3.591, p = 6.178e-02"
23,nr F order1 - pr M order1,-24.6666666666667,45.0819105071065,19,-0.547152203382737,0.999984218825059,,"t(19) = -0.547, p = 1.000e+00"
24,nr F order1 - nr M order1,17.0,43.1209335738537,19,0.394240073000366,0.999999459403265,,"t(19) = 0.394, p = 1.000e+00"
25,nr F order1 - grain F order2,116.333333333333,34.0213555223619,19,3.41942087689212,0.0858608385067534,,"t(19) = 3.419, p = 8.586e-02"
26,nr F order1 - pr F order2,-114.166666666667,45.0819105071065,19,-2.53242742781875,0.377290937161735,,"t(19) = -2.532, p = 3.773e-01"
27,nr F order1 - nr F order2,-38.0,43.1209335738537,19,-0.881242516118465,0.998549077334326,,"t(19) = -0.881, p = 9.985e-01"
28,nr F order1 - grain M order2,105.833333333333,34.0213555223619,19,3.11079119889183,0.150941762588205,,"t(19) = 3.111, p = 1.509e-01"
29,nr F order1 - pr M order2,-101.0,45.0819105071065,19,-2.24036645439148,0.543283763070657,,"t(19) = -2.240, p = 5.433e-01"
30,nr F order1 - nr M order2,52.5,43.1209335738537,19,1.21750610779525,0.980507929362962,,"t(19) = 1.218, p = 9.805e-01"
31,grain M order1 - pr M order1,-146.833333333333,30.2173365288965,19,-4.85924142231789,0.0045506676629302,**,"t(19) = -4.859, p = 4.551e-03"
