Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,grain_number_of_mega_meals F order1 - pr_number_of_mega_meals F order1,-27.8,12.1985618939571,19,-2.2789571624645,0.520103911130419,,"t(19) = -2.279, p = 5.201e-01"
2,grain_number_of_mega_meals F order1 - nr_number_of_mega_meals F order1,-40.6,15.9041095869711,19,-2.55279931127111,0.366785518188062,,"t(19) = -2.553, p = 3.668e-01"
3,grain_number_of_mega_meals F order1 - grain_number_of_mega_meals M order1,-4.46666666666667,7.33087678152926,19,-0.609295013376953,0.999953978708017,,"t(19) = -0.609, p = 1.000e+00"
4,grain_number_of_mega_meals F order1 - pr_number_of_mega_meals M order1,-27.6333333333334,12.3535017645991,19,-2.23688261514003,0.545386949300487,,"t(19) = -2.237, p = 5.454e-01"
5,grain_number_of_mega_meals F order1 - nr_number_of_mega_meals M order1,-50.4666666666667,16.4115723683728,19,-3.07506590678187,0.160676078111206,,"t(19) = -3.075, p = 1.607e-01"
6,grain_number_of_mega_meals F order1 - grain_number_of_mega_meals F order2,5.53333333333333,7.33087678152926,19,0.754798300153539,0.999641894617796,,"t(19) = 0.755, p = 9.996e-01"
7,grain_number_of_mega_meals F order1 - pr_number_of_mega_meals F order2,9.19999999999995,12.3535017645991,19,0.744728108297519,0.99968398498037,,"t(19) = 0.745, p = 9.997e-01"
8,grain_number_of_mega_meals F order1 - nr_number_of_mega_meals F order2,-45.6333333333334,16.4115723683728,19,-2.7805582737017,0.261700861146132,,"t(19) = -2.781, p = 2.617e-01"
9,grain_number_of_mega_meals F order1 - grain_number_of_mega_meals M order2,8.86666666666668,7.33087678152927,19,1.20949607133037,0.981416674792465,,"t(19) = 1.209, p = 9.814e-01"
10,grain_number_of_mega_meals F order1 - pr_number_of_mega_meals M order2,-11.6333333333334,12.3535017645991,19,-0.941703296361728,0.997428227018045,,"t(19) = -0.942, p = 9.974e-01"
11,grain_number_of_mega_meals F order1 - nr_number_of_mega_meals M order2,-96.8000000000001,16.4115723683728,19,-5.89827701010208,0.0005186584414069,***,"t(19) = -5.898, p = 5.187e-04"
12,pr_number_of_mega_meals F order1 - nr_number_of_mega_meals F order1,-12.8,11.7497144422188,19,-1.08938817729964,0.991553076371256,,"t(19) = -1.089, p = 9.916e-01"
13,pr_number_of_mega_meals F order1 - grain_number_of_mega_meals M order1,23.3333333333334,13.1294499557427,19,1.77717523673775,0.811338243643145,,"t(19) = 1.777, p = 8.113e-01"
14,pr_number_of_mega_meals F order1 - pr_number_of_mega_meals M order1,0.166666666666659,16.4696602151453,19,0.0101196177996067,1.0,,"t(19) = 0.010, p = 1.000e+00"
15,pr_number_of_mega_meals F order1 - nr_number_of_mega_meals M order1,-22.6666666666667,19.6972183152019,19,-1.15075470576335,0.987137806333315,,"t(19) = -1.151, p = 9.871e-01"
16,pr_number_of_mega_meals F order1 - grain_number_of_mega_meals F order2,33.3333333333334,13.1294499557427,19,2.53882176676821,0.373975232699911,,"t(19) = 2.539, p = 3.740e-01"
17,pr_number_of_mega_meals F order1 - pr_number_of_mega_meals F order2,37.0,16.4696602151453,19,2.2465551515128,0.539551558961501,,"t(19) = 2.247, p = 5.396e-01"
18,pr_number_of_mega_meals F order1 - nr_number_of_mega_meals F order2,-17.8333333333333,19.6972183152019,19,-0.905373187622637,0.998164427743055,,"t(19) = -0.905, p = 9.982e-01"
19,pr_number_of_mega_meals F order1 - grain_number_of_mega_meals M order2,36.6666666666667,13.1294499557427,19,2.79270394344503,0.256761906507164,,"t(19) = 2.793, p = 2.568e-01"
20,pr_number_of_mega_meals F order1 - pr_number_of_mega_meals M order2,16.1666666666666,16.4696602151453,19,0.981602926561896,0.996355481702534,,"t(19) = 0.982, p = 9.964e-01"
21,pr_number_of_mega_meals F order1 - nr_number_of_mega_meals M order2,-69.0,19.6972183152019,19,-3.5030327072502,0.0732185242936617,,"t(19) = -3.503, p = 7.322e-02"
22,nr_number_of_mega_meals F order1 - grain_number_of_mega_meals M order1,36.1333333333334,17.6765182727146,19,2.04414312682315,0.662364708464502,,"t(19) = 2.044, p = 6.624e-01"
23,nr_number_of_mega_meals F order1 - pr_number_of_mega_meals M order1,12.9666666666667,20.2811870882254,19,0.63934456155156,0.999926279337628,,"t(19) = 0.639, p = 9.999e-01"
24,nr_number_of_mega_meals F order1 - nr_number_of_mega_meals M order1,-9.86666666666668,22.9794963274217,19,-0.429368273615843,0.999998681195245,,"t(19) = -0.429, p = 1.000e+00"
25,nr_number_of_mega_meals F order1 - grain_number_of_mega_meals F order2,46.1333333333334,17.6765182727146,19,2.60986539439413,0.338284581108779,,"t(19) = 2.610, p = 3.383e-01"
26,nr_number_of_mega_meals F order1 - pr_number_of_mega_meals F order2,49.8,20.2811870882254,19,2.4554775705862,0.418443354566572,,"t(19) = 2.455, p = 4.184e-01"
27,nr_number_of_mega_meals F order1 - nr_number_of_mega_meals F order2,-5.03333333333334,22.9794963274217,19,-0.219035842283758,0.999999998994852,,"t(19) = -0.219, p = 1.000e+00"
28,nr_number_of_mega_meals F order1 - grain_number_of_mega_meals M order2,49.4666666666667,17.6765182727146,19,2.79843948358446,0.254453315905069,,"t(19) = 2.798, p = 2.545e-01"
29,nr_number_of_mega_meals F order1 - pr_number_of_mega_meals M order2,28.9666666666666,20.2811870882254,19,1.4282530179648,0.942903690173568,,"t(19) = 1.428, p = 9.429e-01"
30,nr_number_of_mega_meals F order1 - nr_number_of_mega_meals M order2,-56.2,22.9794963274217,19,-2.44565847741997,0.423852277829899,,"t(19) = -2.446, p = 4.239e-01"
31,grain_number_of_mega_meals M order1 - pr_number_of_mega_meals M order1,-23.1666666666667,11.1357125307387,19,-2.08039374244962,0.640500629318503,,"t(19) = -2.080, p = 6.405e-01"
32,grain_number_of_mega_meals M order1 - nr_number_of_mega_meals M order1,-46.0000000000001,14.5183992963637,19,-3.16839336492978,0.136291196267843,,"t(19) = -3.168, p = 1.363e-01"
33,grain_number_of_mega_meals M order1 - grain_number_of_mega_meals F order2,10.0,6.98971675755729,19,1.43067313696052,0.942299189844642,,"t(19) = 1.431, p = 9.423e-01"
34,grain_number_of_mega_meals M order1 - pr_number_of_mega_meals F order2,13.6666666666666,12.1541512172947,19,1.12444435010976,0.989208640639416,,"t(19) = 1.124, p = 9.892e-01"
35,grain_number_of_mega_meals M order1 - nr_number_of_mega_meals F order2,-41.1666666666667,16.2620445690956,19,-2.53145700663617,0.377795583719158,,"t(19) = -2.531, p = 3.778e-01"
36,grain_number_of_mega_meals M order1 - grain_number_of_mega_meals M order2,13.3333333333333,6.98971675755729,19,1.90756418261403,0.742063677425836,,"t(19) = 1.908, p = 7.421e-01"
37,grain_number_of_mega_meals M order1 - pr_number_of_mega_meals M order2,-7.16666666666674,12.1541512172947,19,-0.589647647008783,0.999966704411404,,"t(19) = -0.590, p = 1.000e+00"
38,grain_number_of_mega_meals M order1 - nr_number_of_mega_meals M order2,-92.3333333333334,16.2620445690956,19,-5.67784284079529,0.0008181481500231,***,"t(19) = -5.678, p = 8.181e-04"
39,pr_number_of_mega_meals M order1 - nr_number_of_mega_meals M order1,-22.8333333333333,10.7259727404124,19,-2.12878905120687,0.611096618426219,,"t(19) = -2.129, p = 6.111e-01"
40,pr_number_of_mega_meals M order1 - grain_number_of_mega_meals F order2,33.1666666666667,12.1541512172947,19,2.72883445941272,0.283498564014747,,"t(19) = 2.729, p = 2.835e-01"
41,pr_number_of_mega_meals M order1 - pr_number_of_mega_meals F order2,36.8333333333333,15.7032048727275,19,2.34559337612053,0.480743478427334,,"t(19) = 2.346, p = 4.807e-01"
42,pr_number_of_mega_meals M order1 - nr_number_of_mega_meals F order2,-18.0,19.0609901376933,19,-0.944337092143227,0.997366556650201,,"t(19) = -0.944, p = 9.974e-01"
43,pr_number_of_mega_meals M order1 - grain_number_of_mega_meals M order2,36.5000000000001,12.1541512172947,19,3.00308917895168,0.181866518804095,,"t(19) = 3.003, p = 1.819e-01"
44,pr_number_of_mega_meals M order1 - pr_number_of_mega_meals M order2,16.0,15.7032048727275,19,1.0189002900795,0.995046950936765,,"t(19) = 1.019, p = 9.950e-01"
45,pr_number_of_mega_meals M order1 - nr_number_of_mega_meals M order2,-69.1666666666667,19.0609901376933,19,-3.62870271518,0.0573866081134752,,"t(19) = -3.629, p = 5.739e-02"
46,nr_number_of_mega_meals M order1 - grain_number_of_mega_meals F order2,56.0000000000001,16.2620445690956,19,3.44360143412855,0.0820158732518899,,"t(19) = 3.444, p = 8.202e-02"
47,nr_number_of_mega_meals M order1 - pr_number_of_mega_meals F order2,59.6666666666667,19.0609901376933,19,3.13030258321551,0.145837205228219,,"t(19) = 3.130, p = 1.458e-01"
48,nr_number_of_mega_meals M order1 - nr_number_of_mega_meals F order2,4.83333333333334,21.9100900679031,19,0.220598515038232,0.999999998914337,,"t(19) = 0.221, p = 1.000e+00"
49,nr_number_of_mega_meals M order1 - grain_number_of_mega_meals M order2,59.3333333333334,16.2620445690956,19,3.64857770996954,0.0551939843042886,,"t(19) = 3.649, p = 5.519e-02"
50,nr_number_of_mega_meals M order1 - pr_number_of_mega_meals M order2,38.8333333333333,19.0609901376933,19,2.03731983767937,0.666457328280178,,"t(19) = 2.037, p = 6.665e-01"
51,nr_number_of_mega_meals M order1 - nr_number_of_mega_meals M order2,-46.3333333333333,21.9100900679031,19,-2.11470300622857,0.619671197392803,,"t(19) = -2.115, p = 6.197e-01"
52,grain_number_of_mega_meals F order2 - pr_number_of_mega_meals F order2,3.66666666666662,11.1357125307387,19,0.329270952042382,0.999999919444862,,"t(19) = 0.329, p = 1.000e+00"
53,grain_number_of_mega_meals F order2 - nr_number_of_mega_meals F order2,-51.1666666666667,14.5183992963637,19,-3.52426363417914,0.0702900665009148,,"t(19) = -3.524, p = 7.029e-02"
54,grain_number_of_mega_meals F order2 - grain_number_of_mega_meals M order2,3.33333333333335,6.98971675755729,19,0.476891045653509,0.999996096593544,,"t(19) = 0.477, p = 1.000e+00"
55,grain_number_of_mega_meals F order2 - pr_number_of_mega_meals M order2,-17.1666666666667,12.1541512172947,19,-1.41241180562568,0.946755954902739,,"t(19) = -1.412, p = 9.468e-01"
56,grain_number_of_mega_meals F order2 - nr_number_of_mega_meals M order2,-102.333333333333,16.2620445690956,19,-6.29277166831825,0.0002317986450418,***,"t(19) = -6.293, p = 2.318e-04"
57,pr_number_of_mega_meals F order2 - nr_number_of_mega_meals F order2,-54.8333333333333,10.7259727404124,19,-5.11220144413913,0.0026714769172158,**,"t(19) = -5.112, p = 2.671e-03"
58,pr_number_of_mega_meals F order2 - grain_number_of_mega_meals M order2,-0.333333333333271,12.1541512172947,19,-0.0274254719538915,1.0,,"t(19) = -0.027, p = 1.000e+00"
59,pr_number_of_mega_meals F order2 - pr_number_of_mega_meals M order2,-20.8333333333334,15.7032048727275,19,-1.32669308604102,0.964560740517838,,"t(19) = -1.327, p = 9.646e-01"
60,pr_number_of_mega_meals F order2 - nr_number_of_mega_meals M order2,-106.0,19.0609901376933,19,-5.5610962092879,0.0010430109724298,**,"t(19) = -5.561, p = 1.043e-03"
61,nr_number_of_mega_meals F order2 - grain_number_of_mega_meals M order2,54.5000000000001,16.2620445690956,19,3.35136211000011,0.0975660000678077,,"t(19) = 3.351, p = 9.757e-02"
62,nr_number_of_mega_meals F order2 - pr_number_of_mega_meals M order2,34.0,19.0609901376933,19,1.78374784071498,0.808059534042767,,"t(19) = 1.784, p = 8.081e-01"
63,nr_number_of_mega_meals F order2 - nr_number_of_mega_meals M order2,-51.1666666666667,21.9100900679031,19,-2.3353015212668,0.486756753520435,,"t(19) = -2.335, p = 4.868e-01"
64,grain_number_of_mega_meals M order2 - pr_number_of_mega_meals M order2,-20.5000000000001,11.1357125307387,19,-1.84092395914607,0.778524830306804,,"t(19) = -1.841, p = 7.785e-01"
65,grain_number_of_mega_meals M order2 - nr_number_of_mega_meals M order2,-105.666666666667,14.5183992963637,19,-7.27812099045464,3.32722124967155e-05,***,"t(19) = -7.278, p = 3.327e-05"
66,pr_number_of_mega_meals M order2 - nr_number_of_mega_meals M order2,-85.1666666666667,10.7259727404124,19,-7.9402277749395,9.6176354846822e-06,***,"t(19) = -7.940, p = 9.618e-06"
