"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",-27.8,12.1985618939571,19,-2.2789571624645,1
"2","grain F order1 - nr F order1",-40.6,15.9041095869711,19,-2.55279931127111,0.855502102942801
"3","grain F order1 - grain M order1",-4.46666666666667,7.33087678152926,19,-0.609295013376953,1
"4","grain F order1 - pr M order1",-27.6333333333334,12.3535017645991,19,-2.23688261514003,1
"5","grain F order1 - nr M order1",-50.4666666666667,16.4115723683728,19,-3.07506590678187,0.317819382187219
"6","grain F order1 - grain F order2",5.53333333333333,7.33087678152926,19,0.754798300153539,1
"7","grain F order1 - pr F order2",9.19999999999995,12.3535017645991,19,0.744728108297519,1
"8","grain F order1 - nr F order2",-45.6333333333334,16.4115723683728,19,-2.7805582737017,0.561665697351505
"9","grain F order1 - grain M order2",8.86666666666668,7.33087678152927,19,1.20949607133037,1
"10","grain F order1 - pr M order2",-11.6333333333334,12.3535017645991,19,-0.941703296361728,1
"11","grain F order1 - nr M order2",-96.8000000000001,16.4115723683728,19,-5.89827701010208,0.000702486829816189
"12","pr F order1 - nr F order1",-12.8,11.7497144422188,19,-1.08938817729964,1
"13","pr F order1 - grain M order1",23.3333333333334,13.1294499557427,19,1.77717523673775,1
"14","pr F order1 - pr M order1",0.166666666666659,16.4696602151453,19,0.0101196177996067,1
"15","pr F order1 - nr M order1",-22.6666666666667,19.6972183152019,19,-1.15075470576335,1
"16","pr F order1 - grain F order2",33.3333333333334,13.1294499557427,19,2.53882176676821,0.861205858477507
"17","pr F order1 - pr F order2",37,16.4696602151453,19,2.2465551515128,1
"18","pr F order1 - nr F order2",-17.8333333333333,19.6972183152019,19,-0.905373187622637,1
"19","pr F order1 - grain M order2",36.6666666666667,13.1294499557427,19,2.79270394344503,0.561665697351505
"20","pr F order1 - pr M order2",16.1666666666666,16.4696602151453,19,0.981602926561896,1
"21","pr F order1 - nr M order2",-69,19.6972183152019,19,-3.5030327072502,0.133219371455935
"22","nr F order1 - grain M order1",36.1333333333334,17.6765182727146,19,2.04414312682315,1
"23","nr F order1 - pr M order1",12.9666666666667,20.2811870882254,19,0.63934456155156,1
"24","nr F order1 - nr M order1",-9.86666666666668,22.9794963274217,19,-0.429368273615843,1
"25","nr F order1 - grain F order2",46.1333333333334,17.6765182727146,19,2.60986539439413,0.774841622832006
"26","nr F order1 - pr F order2",49.8,20.2811870882254,19,2.4554775705862,0.978802679181754
"27","nr F order1 - nr F order2",-5.03333333333334,22.9794963274217,19,-0.219035842283758,1
"28","nr F order1 - grain M order2",49.4666666666667,17.6765182727146,19,2.79843948358446,0.561665697351505
"29","nr F order1 - pr M order2",28.9666666666666,20.2811870882254,19,1.4282530179648,1
"30","nr F order1 - nr M order2",-56.2,22.9794963274217,19,-2.44565847741997,0.978802679181754
"31","grain M order1 - pr M order1",-23.1666666666667,11.1357125307387,19,-2.08039374244962,1
"32","grain M order1 - nr M order1",-46.0000000000001,14.5183992963637,19,-3.16839336492978,0.268181002455543
"33","grain M order1 - grain F order2",10,6.98971675755729,19,1.43067313696052,1
"34","grain M order1 - pr F order2",13.6666666666666,12.1541512172947,19,1.12444435010976,1
"35","grain M order1 - nr F order2",-41.1666666666667,16.2620445690956,19,-2.53145700663617,0.861205858477507
