"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",-35.7176306996133,4.98552841912111,19,-7.16426177867618,4.80634463887332e-05
"2","grain F order1 - nr F order1",-27.7018906546597,4.78407688529512,19,-5.79043592292743,0.000730500685919318
"3","grain F order1 - grain M order1",-1.47545362915901,2.69036916658828,19,-0.548420509528091,1
"4","grain F order1 - pr M order1",-28.7769982918023,5.35820732983176,19,-5.37063919337102,0.00167890946237635
"5","grain F order1 - nr M order1",-23.4603417920346,4.91267404268967,19,-4.77547290705046,0.00486659661661607
"6","grain F order1 - grain F order2",-0.488510268380149,2.69036916658828,19,-0.181577411177233,1
"7","grain F order1 - pr F order2",-45.4105630098358,5.35820732983176,19,-8.47495444176134,4.36615240619757e-06
"8","grain F order1 - nr F order2",-28.0805699965424,4.91267404268967,19,-5.71594405664424,0.000841085670779805
"9","grain F order1 - grain M order2",-3.419251142396,2.69036916658828,19,-1.27092266178921,1
"10","grain F order1 - pr M order2",-46.270931974311,5.35820732983176,19,-8.63552474289266,3.33371232244259e-06
"11","grain F order1 - nr M order2",-24.3872799375032,4.91267404268967,19,-4.96415592111037,0.00353129281968134
"12","pr F order1 - nr F order1",8.01574004495361,3.71065878973119,19,2.16019324308024,1
"13","pr F order1 - grain M order1",34.2421770704543,5.74498439483081,19,5.96036032774336,0.000517727953701041
"14","pr F order1 - pr M order1",6.94063240781095,7.38086344771284,19,0.940355075931082,1
"15","pr F order1 - nr M order1",12.2572889075787,7.06407288283732,19,1.73515889641494,1
"16","pr F order1 - grain F order2",35.2291204312331,5.74498439483081,19,6.13215250209059,0.000373464940493234
"17","pr F order1 - pr F order2",-9.69293231022255,7.38086344771284,19,-1.31325181381403,1
"18","pr F order1 - nr F order2",7.63706070307085,7.06407288283732,19,1.08111295420318,1
"19","pr F order1 - grain M order2",32.2983795572173,5.74498439483081,19,5.62201345338353,0.0010103581484438
"20","pr F order1 - pr M order2",-10.5533012746977,7.38086344771284,19,-1.42981933610598,1
"21","pr F order1 - nr M order2",11.3303507621101,7.06407288283732,19,1.60394024099582,1
"22","nr F order1 - grain M order1",26.2264370255007,5.24534291054021,19,4.99994709074218,0.00333938399715428
"23","nr F order1 - pr M order1",-1.07510763714266,6.99899434105274,19,-0.153608873611541,1
"24","nr F order1 - nr M order1",4.24154886262507,6.66407549824748,19,0.63647971331365,1
"25","nr F order1 - grain F order2",27.2133803862795,5.24534291054021,19,5.18810320896196,0.00240669635395153
"26","nr F order1 - pr F order2",-17.7086723551762,6.99899434105274,19,-2.53017383530453,0.550749368221276
"27","nr F order1 - nr F order2",-0.378679341882764,6.66407549824748,19,-0.0568239873606397,1
"28","nr F order1 - grain M order2",24.2826395122637,5.24534291054021,19,4.62937122060583,0.00621849057313218
"29","nr F order1 - pr M order2",-18.5690413196513,6.99899434105274,19,-2.65310134782281,0.43948964257935
"30","nr F order1 - nr M order2",3.31461071715651,6.66407549824748,19,0.497384928791425,1
"31","grain M order1 - pr M order1",-27.3015446626433,4.55114396039284,19,-5.99883126094011,0.000486083203776478
"32","grain M order1 - nr M order1",-21.9848881628756,4.36724471152533,19,-5.03404082323499,0.00316844331739694
"33","grain M order1 - grain F order2",0.986943360778858,2.56516635160177,19,0.384748287440533,1
"34","grain M order1 - pr F order2",-43.9351093806768,5.29644956063246,19,-8.29520018603376,5.84619414573309e-06
"35","grain M order1 - nr F order2",-26.6051163673834,4.84524079985483,19,-5.49097918274372,0.00131682737296659
"36","grain M order1 - grain M order2",-1.94379751323699,2.56516635160177,19,-0.757766650113442,1
"37","grain M order1 - pr M order2",-44.7954783451519,5.29644956063246,19,-8.4576427722655,4.43138165753235e-06
"38","grain M order1 - nr M order2",-22.9118263083442,4.84524079985483,19,-4.72872809727653,0.00511612417006511
"39","pr M order1 - nr M order1",5.31665649976773,3.38735253723432,19,1.56956101891557,1
"40","pr M order1 - grain F order2",28.2884880234222,5.29644956063246,19,5.34102849457594,0.00175448717112071
"41","pr M order1 - pr F order2",-16.6335647180335,7.03737717372443,19,-2.36360284626189,0.722684021584889
"42","pr M order1 - nr F order2",0.696428295259895,6.70437602954307,19,0.103876675799666,1
"43","pr M order1 - grain M order2",25.3577471494063,5.29644956063246,19,4.78768783863927,0.0048625771453107
"44","pr M order1 - pr M order2",-17.4939336825086,7.03737717372443,19,-2.48585989505096,0.582337656781572
"45","pr M order1 - nr M order2",4.38971835429916,6.70437602954307,19,0.654754198594427,1
"46","nr M order1 - grain F order2",22.9718315236544,4.84524079985483,19,4.7411124591254,0.00511612417006511
"47","nr M order1 - pr F order2",-21.9502212178012,6.70437602954307,19,-3.27401403517297,0.123758478426221
"48","nr M order1 - nr F order2",-4.62022820450784,6.35394667948716,19,-0.727143055736305,1
"49","nr M order1 - grain M order2",20.0410906496386,4.84524079985483,19,4.13624244438771,0.0185237186647178
"50","nr M order1 - pr M order2",-22.8105901822764,6.70437602954307,19,-3.40234349651044,0.0956346461351629
"51","nr M order1 - nr M order2",-0.926938145468568,6.35394667948716,19,-0.145883840741229,1
"52","grain F order2 - pr F order2",-44.9220527414557,4.55114396039284,19,-9.87049698546081,4.28341051022813e-07
"53","grain F order2 - nr F order2",-27.5920597281623,4.36724471152533,19,-6.31795595409293,0.000257691394646962
"54","grain F order2 - grain M order2",-2.93074087401585,2.56516635160177,19,-1.14251493755397,1
"55","grain F order2 - pr M order2",-45.7824217059308,5.29644956063246,19,-8.64398332917643,3.33371232244259e-06
"56","grain F order2 - nr M order2",-23.898769669123,4.84524079985483,19,-4.9324214536126,0.00369867669553844
"57","pr F order2 - nr F order2",17.3299930132934,3.38735253723432,19,5.11608780686372,0.00276229141874715
"58","pr F order2 - grain M order2",41.9913118674398,5.29644956063246,19,7.92820008700801,1.13020096211769e-05
"59","pr F order2 - pr M order2",-0.860368964475128,7.03737717372443,19,-0.122257048789072,1
"60","pr F order2 - nr M order2",21.0232830723327,6.70437602954307,19,3.13575536033373,0.163292038665245
"61","nr F order2 - grain M order2",24.6613188541464,4.84524079985483,19,5.0898025243421,0.00286346432683181
"62","nr F order2 - pr M order2",-18.1903619777685,6.70437602954307,19,-2.71320729887644,0.399923040285891
"63","nr F order2 - nr M order2",3.69329005903927,6.35394667948716,19,0.581259214995075,1
"64","grain M order2 - pr M order2",-42.851680831915,4.55114396039284,19,-9.41558456617491,8.94330704160157e-07
"65","grain M order2 - nr M order2",-20.9680287951072,4.36724471152533,19,-4.80120308801834,0.00484107033871727
"66","pr M order2 - nr M order2",21.8836520368078,3.38735253723432,19,6.46039991298785,0.000195239403301331
