,contrast,estimate,SE,df,t.ratio,p.value
1,G0 F Order1 - G1 F Order1,16.6,35.49838642,19,0.467626889,1
2,G0 F Order1 - G2 F Order1,19.8,30.07107954,19,0.658439946,1
3,G0 F Order1 - NR0 F Order1,66.4,36.45896997,19,1.821225341,0.999238533
4,G0 F Order1 - NR1 F Order1,60.8,33.2247741,19,1.829959771,0.999167235
5,G0 F Order1 - NR2 F Order1,43.6,31.10923595,19,1.401513045,0.999998162
6,G0 F Order1 - NR3 F Order1,52.4,30.69173842,19,1.707299837,0.999788044
7,G0 F Order1 - NR4 F Order1,32,28.16224921,19,1.136272879,1
8,G0 F Order1 - NR5 F Order1,35.4,25.6006853,19,1.382775484,0.999998732
9,G0 F Order1 - NR6 F Order1,54.2,23.55385021,19,2.301109989,0.972720932
10,G0 F Order1 - PR0 F Order1,81.6,30.05212431,19,2.71528226,0.859248348
11,G0 F Order1 - PR1 F Order1,26.4,33.8668238,19,0.779523942,1
12,G0 F Order1 - PR2 F Order1,44.8,32.2371367,19,1.389701586,0.999998544
13,G0 F Order1 - PR3 F Order1,55.4,33.00508201,19,1.678529385,0.999851907
14,G0 F Order1 - PR4 F Order1,49.2,33.88178106,19,1.452107843,0.999995255
15,G0 F Order1 - PR5 F Order1,17.2,33.73474444,19,0.509860095,1
16,G0 F Order1 - PR6 F Order1,21.4,33.26101453,19,0.643395889,1
17,G0 F Order1 - G0 M Order1,-29.76666667,37.89665927,19,-0.785469412,1
18,G0 F Order1 - G1 M Order1,7.233333333,31.23413843,19,0.231584212,1
19,G0 F Order1 - G2 M Order1,30.56666667,34.26501122,19,0.892066443,1
20,G0 F Order1 - NR0 M Order1,62.4,31.4683318,19,1.982945915,0.996631972
21,G0 F Order1 - NR1 M Order1,54.73333333,32.20224012,19,1.699674716,0.999806969
22,G0 F Order1 - NR2 M Order1,47.56666667,30.2571542,19,1.57207999,0.999965947
23,G0 F Order1 - NR3 M Order1,54.4,30.5197913,19,1.782449935,0.999495376
24,G0 F Order1 - NR4 M Order1,53.06666667,30.53502543,19,1.737894956,0.99969473
25,G0 F Order1 - NR5 M Order1,44.9,31.51737755,19,1.424610913,0.999997139
26,G0 F Order1 - NR6 M Order1,46.73333333,30.45519286,19,1.534494743,0.999980906
27,G0 F Order1 - PR0 M Order1,92.9,30.44897563,19,3.051005759,0.692011356
28,G0 F Order1 - PR1 M Order1,77.9,31.50816844,19,2.472374748,0.939625933
29,G0 F Order1 - PR2 M Order1,45.56666667,31.48696101,19,1.447159879,0.999995661
30,G0 F Order1 - PR3 M Order1,37.23333333,31.29603136,19,1.189714213,1
31,G0 F Order1 - PR4 M Order1,29.9,31.79769384,19,0.940319765,1
32,G0 F Order1 - PR5 M Order1,32.73333333,31.60332631,19,1.035755952,1
33,G0 F Order1 - PR6 M Order1,42.23333333,31.4582021,19,1.342522157,0.99999945
34,G0 F Order1 - G0 F Order2,22.9,37.89665927,19,0.6042749,1
35,G0 F Order1 - G1 F Order2,19.06666667,31.23413843,19,0.610443176,1
36,G0 F Order1 - G2 F Order2,37.4,34.26501122,19,1.091492419,1
37,G0 F Order1 - NR0 F Order2,29.56666667,31.4683318,19,0.939568924,1
38,G0 F Order1 - NR1 F Order2,4.4,32.20224012,19,0.136636457,1
39,G0 F Order1 - NR2 F Order2,41.4,30.2571542,19,1.368271442,0.999999056
40,G0 F Order1 - NR3 F Order2,57.4,30.5197913,19,1.880746806,0.998629066
41,G0 F Order1 - NR4 F Order2,73.23333333,30.53502543,19,2.398338705,0.956173498
42,G0 F Order1 - NR5 F Order2,22.9,31.51737755,19,0.726583294,1
43,G0 F Order1 - NR6 F Order2,26.06666667,30.45519286,19,0.855902203,1
44,G0 F Order1 - PR0 F Order2,104.4,30.44897563,19,3.428686773,0.477102738
45,G0 F Order1 - PR1 F Order2,78.56666667,31.50816844,19,2.493533282,0.934227665
46,G0 F Order1 - PR2 F Order2,21.4,31.48696101,19,0.67964641,1
47,G0 F Order1 - PR3 F Order2,40.73333333,31.29603136,19,1.30154948,1
48,G0 F Order1 - PR4 F Order2,26.9,31.79769384,19,0.8459733,1
49,G0 F Order1 - PR5 F Order2,10.73333333,31.60332631,19,0.339626697,1
50,G0 F Order1 - PR6 F Order2,48.23333333,31.4582021,19,1.533251429,0.999981279
51,G0 F Order1 - G0 M Order2,-27.1,37.89665927,19,-0.715102611,1
52,G0 F Order1 - G1 M Order2,-18.93333333,31.23413843,19,-0.606174343,1
53,G0 F Order1 - G2 M Order2,65.9,34.26501122,19,1.923244664,0.997975421
54,G0 F Order1 - NR0 M Order2,-26.1,31.4683318,19,-0.829405263,1
55,G0 F Order1 - NR1 M Order2,-6.433333333,32.20224012,19,-0.199779062,1
56,G0 F Order1 - NR2 M Order2,13.4,30.2571542,19,0.442870467,1
57,G0 F Order1 - NR3 M Order2,17.06666667,30.5197913,19,0.559199979,1
58,G0 F Order1 - NR4 M Order2,18.4,30.53502543,19,0.602586693,1
59,G0 F Order1 - NR5 M Order2,29.9,31.51737755,19,0.948682991,1
60,G0 F Order1 - NR6 M Order2,34.23333333,30.45519286,19,1.124055707,1
61,G0 F Order1 - PR0 M Order2,76.56666667,30.44897563,19,2.514589246,0.928552978
62,G0 F Order1 - PR1 M Order2,84.4,31.50816844,19,2.678670459,0.873905167
63,G0 F Order1 - PR2 M Order2,55.4,31.48696101,19,1.759458462,0.999609051
64,G0 F Order1 - PR3 M Order2,35.73333333,31.29603136,19,1.141784814,1
65,G0 F Order1 - PR4 M Order2,2.4,31.79769384,19,0.075477172,1
66,G0 F Order1 - PR5 M Order2,-3.1,31.60332631,19,-0.09809094,1
67,G0 F Order1 - PR6 M Order2,-23.6,31.4582021,19,-0.750201805,1
68,G1 F Order1 - G2 F Order1,3.2,31.45193492,19,0.101742548,1
69,G1 F Order1 - NR0 F Order1,49.8,22.01099406,19,2.262505721,0.977817763
70,G1 F Order1 - NR1 F Order1,44.2,25.08451679,19,1.762043111,0.999597499
71,G1 F Order1 - NR2 F Order1,27,23.0377265,19,1.171990648,1
72,G1 F Order1 - NR3 F Order1,35.8,23.1400693,19,1.547099948,0.999976731
73,G1 F Order1 - NR4 F Order1,15.4,22.94895938,19,0.671054393,1
74,G1 F Order1 - NR5 F Order1,18.8,24.30590138,19,0.773474709,1
75,G1 F Order1 - NR6 F Order1,37.6,22.48918649,19,1.671914634,0.999863925
76,G1 F Order1 - PR0 F Order1,65,18.43628193,19,3.525656652,0.425255839
77,G1 F Order1 - PR1 F Order1,9.8,23.48458995,19,0.417294916,1
78,G1 F Order1 - PR2 F Order1,28.2,23.96023021,19,1.176950295,1
79,G1 F Order1 - PR3 F Order1,38.8,24.01873538,19,1.615405615,0.999936257
80,G1 F Order1 - PR4 F Order1,32.6,23.92327649,19,1.362689597,0.999999159
81,G1 F Order1 - PR5 F Order1,0.6,23.428922,19,0.025609373,1
82,G1 F Order1 - PR6 F Order1,4.8,23.96334189,19,0.200305952,1
83,G1 F Order1 - G0 M Order1,-46.36666667,29.7229596,19,-1.559961299,0.999971639
84,G1 F Order1 - G1 M Order1,-9.366666667,20.56377756,19,-0.455493483,1
85,G1 F Order1 - G2 M Order1,13.96666667,24.92766612,19,0.560287778,1
86,G1 F Order1 - NR0 M Order1,45.8,20.91777833,19,2.189525067,0.985467241
87,G1 F Order1 - NR1 M Order1,38.13333333,22.00640391,19,1.73282893,0.999712298
88,G1 F Order1 - NR2 M Order1,30.96666667,19.04712377,19,1.625792274,0.999926363
89,G1 F Order1 - NR3 M Order1,37.8,19.46163417,19,1.942282938,0.997607295
90,G1 F Order1 - NR4 M Order1,36.46666667,19.48551569,19,1.871475574,0.998744906
91,G1 F Order1 - NR5 M Order1,28.3,20.9914895,19,1.348165407,0.99999938
92,G1 F Order1 - NR6 M Order1,30.13333333,19.36017344,19,1.556459885,0.999973116
93,G1 F Order1 - PR0 M Order1,76.3,19.35039175,19,3.943072626,0.240616791
94,G1 F Order1 - PR1 M Order1,61.3,20.97766007,19,2.922156226,0.761942172
95,G1 F Order1 - PR2 M Order1,28.96666667,20.94579331,19,1.382934809,0.999998728
96,G1 F Order1 - PR3 M Order1,20.63333333,20.65766499,19,0.998822149,1
97,G1 F Order1 - PR4 M Order1,13.3,21.41006486,19,0.621203163,1
98,G1 F Order1 - PR5 M Order1,16.13333333,21.12031671,19,0.763877434,1
99,G1 F Order1 - PR6 M Order1,25.63333333,20.90253629,19,1.22632646,1
100,G1 F Order1 - G0 F Order2,6.3,29.7229596,19,0.211957358,1
101,G1 F Order1 - G1 F Order2,2.466666667,20.56377756,19,0.11995202,1
102,G1 F Order1 - G2 F Order2,20.8,24.92766612,19,0.834414257,1
103,G1 F Order1 - NR0 F Order2,12.96666667,20.91777833,19,0.619887373,1
104,G1 F Order1 - NR1 F Order2,-12.2,22.00640391,19,-0.554384081,1
105,G1 F Order1 - NR2 F Order2,24.8,19.04712377,19,1.302033855,1
106,G1 F Order1 - NR3 F Order2,40.8,19.46163417,19,2.096432378,0.992074581
107,G1 F Order1 - NR4 F Order2,56.63333333,19.48551569,19,2.906432359,0.770080372
108,G1 F Order1 - NR5 F Order2,6.3,20.9914895,19,0.300121628,1
109,G1 F Order1 - NR6 F Order2,9.466666667,19.36017344,19,0.488976336,1
110,G1 F Order1 - PR0 F Order2,87.8,19.35039175,19,4.537375839,0.091893829
111,G1 F Order1 - PR1 F Order2,61.96666667,20.97766007,19,2.953936066,0.74519677
112,G1 F Order1 - PR2 F Order2,4.8,20.94579331,19,0.22916296,1
113,G1 F Order1 - PR3 F Order2,24.13333333,20.65766499,19,1.168250785,1
114,G1 F Order1 - PR4 F Order2,10.3,21.41006486,19,0.481082148,1
115,G1 F Order1 - PR5 F Order2,-5.866666667,21.12031671,19,-0.277773612,1
116,G1 F Order1 - PR6 F Order2,31.63333333,20.90253629,19,1.513372966,0.999986411
117,G1 F Order1 - G0 M Order2,-43.7,29.7229596,19,-1.470243899,0.999993452
118,G1 F Order1 - G1 M Order2,-35.53333333,20.56377756,19,-1.727957484,0.999728351
119,G1 F Order1 - G2 M Order2,49.3,24.92766612,19,1.977722253,0.996773134
120,G1 F Order1 - NR0 M Order2,-42.7,20.91777833,19,-2.041325772,0.994678524
121,G1 F Order1 - NR1 M Order2,-23.03333333,22.00640391,19,-1.046665027,1
122,G1 F Order1 - NR2 M Order2,-3.2,19.04712377,19,-0.168004368,1
123,G1 F Order1 - NR3 M Order2,0.466666667,19.46163417,19,0.023978802,1
124,G1 F Order1 - NR4 M Order2,1.8,19.48551569,19,0.092376308,1
125,G1 F Order1 - NR5 M Order2,13.3,20.9914895,19,0.633590103,1
126,G1 F Order1 - NR6 M Order2,17.63333333,19.36017344,19,0.910804512,1
127,G1 F Order1 - PR0 M Order2,59.96666667,19.35039175,19,3.098989801,0.664882194
128,G1 F Order1 - PR1 M Order2,67.8,20.97766007,19,3.23200966,0.58837722
129,G1 F Order1 - PR2 M Order2,38.8,20.94579331,19,1.852400596,0.998957312
130,G1 F Order1 - PR3 M Order2,19.13333333,20.65766499,19,0.926209876,1
131,G1 F Order1 - PR4 M Order2,-14.2,21.41006486,19,-0.663239467,1
132,G1 F Order1 - PR5 M Order2,-19.7,21.12031671,19,-0.932751164,1
133,G1 F Order1 - PR6 M Order2,-40.2,20.90253629,19,-1.923211587,0.997976017
134,G2 F Order1 - NR0 F Order1,46.6,23.01872617,19,2.024438697,0.995319894
135,G2 F Order1 - NR1 F Order1,41,23.56539985,19,1.739838927,0.999687744
136,G2 F Order1 - NR2 F Order1,23.8,20.15213192,19,1.181016485,1
137,G2 F Order1 - NR3 F Order1,32.6,22.17890574,19,1.469865123,0.999993495
138,G2 F Order1 - NR4 F Order1,12.2,20.4663095,19,0.596101608,1
139,G2 F Order1 - NR5 F Order1,15.6,22.08977695,19,0.706209032,1
140,G2 F Order1 - NR6 F Order1,34.4,21.97479417,19,1.565429907,0.999969186
141,G2 F Order1 - PR0 F Order1,61.8,30.52513488,19,2.024561078,0.995315484
142,G2 F Order1 - PR1 F Order1,6.6,29.63974335,19,0.222673993,1
143,G2 F Order1 - PR2 F Order1,25,26.95053949,19,0.927625215,1
144,G2 F Order1 - PR3 F Order1,35.6,24.13311767,19,1.475151304,0.999992867
145,G2 F Order1 - PR4 F Order1,29.4,23.87192434,19,1.231572268,1
146,G2 F Order1 - PR5 F Order1,-2.6,24.05724897,19,-0.108075533,1
147,G2 F Order1 - PR6 F Order1,1.6,23.43116833,19,0.068285114,1
