"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",1.11277503596932,0.306570208078151,19,3.62975594708032,0.110575883748838
"2","grain F order1 - nr F order1",0.643254799223715,0.355889785514962,19,1.8074550757138,1
"3","grain F order1 - grain M order1",0.149728670180344,0.458157110161075,19,0.326806387720806,1
"4","grain F order1 - pr M order1",0.697650635218588,0.374078073290799,19,1.8649867100771,1
"5","grain F order1 - nr M order1",0.856521073646128,0.39046446929844,19,2.1935954254303,1
"6","grain F order1 - grain F order2",0.565321955873447,0.458157110161075,19,1.2339041419104,1
"7","grain F order1 - pr F order2",1.34889901459584,0.374078073290799,19,3.60592911188151,0.11297240692044
"8","grain F order1 - nr F order2",1.18520376551466,0.39046446929844,19,3.03536905072094,0.381166668114755
"9","grain F order1 - grain M order2",-0.170596367311618,0.458157110161075,19,-0.372353420973083,1
"10","grain F order1 - pr M order2",1.15555910472279,0.374078073290799,19,3.08908537342814,0.344293955028935
"11","grain F order1 - nr M order2",0.498445168488701,0.39046446929844,19,1.27654423815891,1
"12","pr F order1 - nr F order1",-0.469520236745603,0.172972174193079,19,-2.71442640376078,0.687708929822324
"13","pr F order1 - grain M order1",-0.963046365788974,0.354879836539241,19,-2.71372522930726,0.687708929822324
"14","pr F order1 - pr M order1",-0.41512440075073,0.236571692532998,19,-1.75475094380883,1
"15","pr F order1 - nr M order1",-0.25625396232319,0.261714085550403,19,-0.979137067782463,1
"16","pr F order1 - grain F order2",-0.547453080095871,0.354879836539241,19,-1.54264351966172,1
"17","pr F order1 - pr F order2",0.236123978626517,0.236571692532998,19,0.998107491637368,1
"18","pr F order1 - nr F order2",0.0724287295453418,0.261714085550403,19,0.276747540710387,1
"19","pr F order1 - grain M order2",-1.28337140328094,0.354879836539241,19,-3.61635480842267,0.1121622765347
"20","pr F order1 - pr M order2",0.0427840687534703,0.236571692532998,19,0.18085033038136,1
"21","pr F order1 - nr M order2",-0.614329867480617,0.261714085550403,19,-2.34733207495745,1
"22","nr F order1 - grain M order1",-0.493526129043371,0.375464265441048,19,-1.31444234370384,1
"23","nr F order1 - pr M order1",0.0543958359948731,0.266458030370628,19,0.204144104492597,1
"24","nr F order1 - nr M order1",0.213266274422413,0.289012073824868,19,0.737914757677721,1
"25","nr F order1 - grain F order2",-0.0779328433502681,0.375464265441048,19,-0.207563942892734,1
"26","nr F order1 - pr F order2",0.70564421537212,0.266458030370628,19,2.64823775207904,0.761315457559695
"27","nr F order1 - nr F order2",0.541948966290945,0.289012073824868,19,1.87517759766448,1
"28","nr F order1 - grain M order2",-0.813851166535333,0.375464265441048,19,-2.1675862164388,1
"29","nr F order1 - pr M order2",0.512304305499073,0.266458030370628,19,1.92264539667461,1
"30","nr F order1 - nr M order2",-0.144809630735014,0.289012073824868,19,-0.501050453770192,1
"31","grain M order1 - pr M order1",0.547921965038244,0.27985903070576,19,1.95784986339899,1
"32","grain M order1 - nr M order1",0.706792403465784,0.324881439187034,19,2.17553949906903,1
"33","grain M order1 - grain F order2",0.415593285693103,0.436835664535456,19,0.951372150749314,1
"34","grain M order1 - pr F order2",1.19917034441549,0.347637548512733,19,3.44948452647246,0.158477529414442
"35","grain M order1 - nr F order2",1.03547509533432,0.365212215025044,19,2.83526961239045,0.560610133231423
"36","grain M order1 - grain M order2",-0.320325037491962,0.436835664535456,19,-0.733284993643101,1
"37","grain M order1 - pr M order2",1.00583043454244,0.347637548512733,19,2.8933308235707,0.512278221270758
"38","grain M order1 - nr M order2",0.348716498308357,0.365212215025044,19,0.954832516443745,1
"39","pr M order1 - nr M order1",0.15887043842754,0.157901269377104,19,1.00613781671458,1
"40","pr M order1 - grain F order2",-0.132328679345141,0.347637548512733,19,-0.38065128439454,1
"41","pr M order1 - pr F order2",0.651248379377247,0.225562258504724,19,2.88722228485581,0.512278221270758
"42","pr M order1 - nr F order2",0.487553130296072,0.25180633298094,19,1.93622266971727,1
"43","pr M order1 - grain M order2",-0.868247002530206,0.347637548512733,19,-2.49756393187315,1
"44","pr M order1 - pr M order2",0.4579084695042,0.225562258504725,19,2.03007574290009,1
"45","pr M order1 - nr M order2",-0.199205466729887,0.251806332980941,19,-0.791105864461977,1
"46","nr M order1 - grain F order2",-0.291199117772681,0.365212215025044,19,-0.797342218558358,1
"47","nr M order1 - pr F order2",0.492377940949707,0.25180633298094,19,1.95538346919565,1
"48","nr M order1 - nr F order2",0.328682691868532,0.275562200232297,19,1.19277132927323,1
"49","nr M order1 - grain M order2",-1.02711744095775,0.365212215025044,19,-2.8123852343967,0.578209384340495
"50","nr M order1 - pr M order2",0.29903803107666,0.251806332980941,19,1.18757152584917,1
"51","nr M order1 - nr M order2",-0.358075905157427,0.275562200232297,19,-1.29943767634157,1
"52","grain F order2 - pr F order2",0.783577058722388,0.27985903070576,19,2.79989913759914,0.582735109312105
"53","grain F order2 - nr F order2",0.619881809641213,0.324881439187034,19,1.90802469723224,1
"54","grain F order2 - grain M order2",-0.735918323185065,0.436835664535456,19,-1.68465714439242,1
"55","grain F order2 - pr M order2",0.590237148849341,0.347637548512733,19,1.69785212033194,1
"56","grain F order2 - nr M order2",-0.0668767873847463,0.365212215025044,19,-0.183117608429828,1
"57","pr F order2 - nr F order2",-0.163695249081176,0.157901269377104,19,-1.03669368667477,1
"58","pr F order2 - grain M order2",-1.51949538190745,0.347637548512733,19,-4.37091847071231,0.0213697154474494
"59","pr F order2 - pr M order2",-0.193339909873047,0.225562258504724,19,-0.857146541955721,1
"60","pr F order2 - nr M order2",-0.850453846107135,0.251806332980941,19,-3.37741245837334,0.183389297191467
"61","nr F order2 - grain M order2",-1.35580013282628,0.365212215025044,19,-3.71236250335522,0.0930831571414465
"62","nr F order2 - pr M order2",-0.0296446607918715,0.251806332980941,19,-0.117728019152383,1
"63","nr F order2 - nr M order2",-0.686758597025959,0.275562200232297,19,-2.4922090056148,1
"64","grain M order2 - pr M order2",1.32615547203441,0.27985903070576,19,4.73865527472905,0.00943165319720925
"65","grain M order2 - nr M order2",0.669041535800319,0.324881439187034,19,2.05934059352388,1
"66","pr M order2 - nr M order2",-0.657113936234087,0.157901269377104,19,-4.16154942152333,0.033908467246579
