"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",-0.362146600489151,0.194778549934615,19,-1.85927352170308,1
"2","grain F order1 - nr F order1",-0.182492789906776,0.195345160337739,19,-0.934206865382576,1
"3","grain F order1 - grain M order1",-0.115130188746003,0.158991604804388,19,-0.724127471306745,1
"4","grain F order1 - pr M order1",-0.179564551872725,0.214636878459561,19,-0.836596922026875,1
"5","grain F order1 - nr M order1",-0.000670019034717154,0.193133053693208,19,-0.00346920955219546,1
"6","grain F order1 - grain F order2",-0.0825457488956107,0.158991604804388,19,-0.519183066283085,1
"7","grain F order1 - pr F order2",-0.761385565992215,0.214636878459561,19,-3.54731941433664,0.13553205058137
"8","grain F order1 - nr F order2",0.0454086946427088,0.193133053693208,19,0.235116122146759,1
"9","grain F order1 - grain M order2",-0.348935940421694,0.158991604804388,19,-2.19468154215438,1
"10","grain F order1 - pr M order2",-0.747941314021605,0.214636878459561,19,-3.48468221952138,0.153763452884248
"11","grain F order1 - nr M order2",0.011545757309215,0.193133053693208,19,0.0597813636165844,1
"12","pr F order1 - nr F order1",0.179653810582375,0.1188765233883,19,1.51126400286414,1
"13","pr F order1 - grain M order1",0.247016411743148,0.224114081293841,19,1.10219050189568,1
"14","pr F order1 - pr M order1",0.182582048616426,0.266491614559956,19,0.685132434346627,1
"15","pr F order1 - nr M order1",0.361476581454434,0.249497830581292,19,1.44881653123896,1
"16","pr F order1 - grain F order2",0.27960085159354,0.224114081293841,19,1.24758270421638,1
"17","pr F order1 - pr F order2",-0.399238965503065,0.266491614559956,19,-1.49812956089559,1
"18","pr F order1 - nr F order2",0.40755529513186,0.249497830581292,19,1.63350236025026,1
"19","pr F order1 - grain M order2",0.0132106600674568,0.224114081293841,19,0.0589461402478145,1
"20","pr F order1 - pr M order2",-0.385794713532454,0.266491614559956,19,-1.44768049895115,1
"21","pr F order1 - nr M order2",0.373692357798366,0.249497830581292,19,1.49777798439257,1
"22","nr F order1 - grain M order1",0.0673626011607727,0.199260597296558,19,0.338062828651052,1
"23","nr F order1 - pr M order1",0.00292823803405026,0.245958217654078,19,0.0119054287430583,1
"24","nr F order1 - nr M order1",0.181822770872058,0.227435335129724,19,0.799448206974307,1
"25","nr F order1 - grain F order2",0.0999470410111648,0.199260597296558,19,0.501589588544766,1
"26","nr F order1 - pr F order2",-0.57889277608544,0.245958217654078,19,-2.35362242256776,1
"27","nr F order1 - nr F order2",0.227901484549484,0.227435335129724,19,1.00204959101669,1
"28","nr F order1 - grain M order2",-0.166443150514918,0.199260597296558,19,-0.835303882318501,1
"29","nr F order1 - pr M order2",-0.56544852411483,0.245958217654078,19,-2.29896170783808,1
"30","nr F order1 - nr M order2",0.194038547215991,0.227435335129724,19,0.85315919404219,1
"31","grain M order1 - pr M order1",-0.0644343631267224,0.177807675862225,19,-0.36238234831127,1
"32","grain M order1 - nr M order1",0.114460169711286,0.178324918027405,19,0.641863015990258,1
"33","grain M order1 - grain F order2",0.0325844398503922,0.151592547185104,19,0.214947505371782,1
"34","grain M order1 - pr F order2",-0.646255377246213,0.209215103562476,19,-3.08895183111494,0.338354338875158
"35","grain M order1 - nr F order2",0.160538883388712,0.187089140231753,19,0.858087664467575,1
"36","grain M order1 - grain M order2",-0.233805751675691,0.151592547185104,19,-1.54233012121763,1
"37","grain M order1 - pr M order2",-0.632811125275602,0.209215103562476,19,-3.02469140372856,0.383335126726029
"38","grain M order1 - nr M order2",0.126675946055218,0.187089140231753,19,0.677088717700559,1
"39","pr M order1 - nr M order1",0.178894532838008,0.108518922362604,19,1.64851003809503,1
"40","pr M order1 - grain F order2",0.0970188029771146,0.209215103562476,19,0.463727528869074,1
"41","pr M order1 - pr F order2",-0.58182101411949,0.254089784830574,19,-2.28982449848366,1
"42","pr M order1 - nr F order2",0.224973246515434,0.236205430905486,19,0.952447391463466,1
"43","pr M order1 - grain M order2",-0.169371388548969,0.209215103562476,19,-0.809556220678832,1
"44","pr M order1 - pr M order2",-0.56837676214888,0.254089784830574,19,-2.23691307593444,1
"45","pr M order1 - nr M order2",0.19111030918194,0.236205430905486,19,0.809085161375524,1
"46","nr M order1 - grain F order2",-0.0818757298608936,0.187089140231753,19,-0.437629515852559,1
"47","nr M order1 - pr F order2",-0.760715546957498,0.236205430905486,19,-3.22056755444326,0.265597651052752
"48","nr M order1 - nr F order2",0.046078713677426,0.216851083518725,19,0.212490124235173,1
"49","nr M order1 - grain M order2",-0.348265921386977,0.187089140231753,19,-1.86149725716612,1
"50","nr M order1 - pr M order2",-0.747271294986888,0.236205430905486,19,-3.16364993015718,0.291498642955557
"51","nr M order1 - nr M order2",0.0122157763439321,0.216851083518726,19,0.0563325584807477,1
"52","grain F order2 - pr F order2",-0.678839817096605,0.177807675862225,19,-3.81783190070267,0.0743372308492197
"53","grain F order2 - nr F order2",0.12795444353832,0.178324918027405,19,0.717535412065382,1
"54","grain F order2 - grain M order2",-0.266390191526083,0.151592547185104,19,-1.75727762658942,1
"55","grain F order2 - pr M order2",-0.665395565125995,0.209215103562476,19,-3.1804375200249,0.285673856441359
"56","grain F order2 - nr M order2",0.0940915062048257,0.187089140231753,19,0.502923398377221,1
"57","pr F order2 - nr F order2",0.806794260634924,0.108518922362604,19,7.43459521224426,3.22807397056744e-05
"58","pr F order2 - grain M order2",0.412449625570521,0.209215103562476,19,1.97141419786337,1
"59","pr F order2 - pr M order2",0.0134442519706101,0.254089784830574,19,0.0529114225492171,1
"60","pr F order2 - nr M order2",0.77293132330143,0.236205430905486,19,3.2722843007395,0.240466559205137
"61","nr F order2 - grain M order2",-0.394344635064403,0.187089140231753,19,-2.1077900864578,1
"62","nr F order2 - pr M order2",-0.793350008664314,0.236205430905486,19,-3.35872890654136,0.201190092147395
"63","nr F order2 - nr M order2",-0.0338629373334938,0.216851083518726,19,-0.156157565754426,1
"64","grain M order2 - pr M order2",-0.399005373599911,0.177807675862225,19,-2.24402783324766,1
"65","grain M order2 - nr M order2",0.360481697730909,0.178324918027405,19,2.02148808881275,1
