Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,grain F order1 - pr F order1,0.378631103471193,0.10005115358982,19,3.78437519094949,0.0421786144192799,*,"t(19) = 3.784, p = 4.218e-02"
2,grain F order1 - nr F order1,0.310513772447956,0.115398711250357,19,2.69079064301072,0.300319127830865,,"t(19) = 2.691, p = 3.003e-01"
3,grain F order1 - grain M order1,-0.0557836474308179,0.111033445711691,19,-0.502404001544413,0.999993347103127,,"t(19) = -0.502, p = 1.000e+00"
4,grain F order1 - pr M order1,0.380722694331693,0.105740419467314,19,3.60054079839716,0.0606318425123786,,"t(19) = 3.601, p = 6.063e-02"
5,grain F order1 - nr M order1,0.250405596563075,0.12355501979862,19,2.02667278894218,0.672826283599318,,"t(19) = 2.027, p = 6.728e-01"
6,grain F order1 - grain F order2,0.0686593779723076,0.111033445711691,19,0.618366632974611,0.999946787083923,,"t(19) = 0.618, p = 9.999e-01"
7,grain F order1 - pr F order2,0.603571242795626,0.105740419467314,19,5.70804660919846,0.0007684488551205,***,"t(19) = 5.708, p = 7.684e-04"
8,grain F order1 - nr F order2,0.274329811586882,0.12355501979862,19,2.22030486526575,0.555414599773019,,"t(19) = 2.220, p = 5.554e-01"
9,grain F order1 - grain M order2,0.118514237087248,0.111033445711691,19,1.06737421618871,0.992806218686614,,"t(19) = 1.067, p = 9.928e-01"
10,grain F order1 - pr M order2,0.481670377655539,0.105740419467314,19,4.55521531011545,0.0086255840887425,**,"t(19) = 4.555, p = 8.626e-03"
11,grain F order1 - nr M order2,-0.0341698511783071,0.12355501979862,19,-0.276555750094168,0.999999987538554,,"t(19) = -0.277, p = 1.000e+00"
12,pr F order1 - nr F order1,-0.068117331023237,0.0696806233756871,19,-0.977564891404293,0.99647835533447,,"t(19) = -0.978, p = 9.965e-01"
13,pr F order1 - grain M order1,-0.434414750902011,0.104649693538137,19,-4.15113256632422,0.0200133048820357,*,"t(19) = -4.151, p = 2.001e-02"
