,,Effect,sum_sq,df,F,PR(>F),p_value,Sex,Order,mean,std,count
G0,0,C(Sex),9331.672438672393,1.0,2.3824788954274085,0.13919505088254375,,F,1,242.4,53.04997643731805,5
G0,1,C(Order),866.7027417027406,1.0,0.22127876908307154,0.6434221476932683,,F,2,219.5,91.705506922976,6
G0,2,C(Sex):C(Order),584.839682539684,1.0,0.14931602132591523,0.7034831706439154,,M,1,272.1666666666667,44.472088624964165,6
G0,3,Residual,74419.03333333333,19.0,,,,M,2,269.5,47.37826505899092,6
G1,0,C(Sex),3400.036075036046,1.0,2.948147178784741,0.10223369225029766,,F,1,225.8,17.73978579352073,5
G1,1,C(Order),899.437590187592,1.0,0.7798959585969637,0.38821048712170425,,F,2,223.33333333333334,35.21174046630849,6
G1,2,C(Sex):C(Order),1171.2396825396881,1.0,1.0155736261485138,0.3262338289954162,,M,1,235.16666666666666,32.81717030255148,6
G1,3,Residual,21912.3,19.0,,,,M,2,261.3333333333333,42.589513576309685,6
G2,0,C(Sex),2303.6540404040566,1.0,0.9826213479774185,0.3340095710481441,,F,1,222.6,31.603797240205168,5
G2,1,C(Order),4140.888888888885,1.0,1.7662920518703533,0.19958172782671868,,F,2,205.0,28.17090697865442,6
G2,2,C(Sex):C(Order),449.24444444444106,1.0,0.19162477256955474,0.6665035560079301,,M,1,211.83333333333334,15.917495615412202,6
G2,3,Residual,44543.53333333333,19.0,,,,M,2,176.5,84.03987148966851,6
NR0,0,C(Sex),5526.4776334776,1.0,4.451860895550011,0.0483518763366019,*,F,1,176.0,18.641351882307248,5
NR0,1,C(Order),23383.3336940837,1.0,18.836473389431323,0.0003526538611834755,***,F,2,212.83333333333334,42.8831746337263,6
NR0,2,C(Sex):C(Order),3813.49206349208,1.0,3.0719632501738094,0.09577505926893957,,M,1,180.0,16.661332479726827,6
NR0,3,Residual,23586.333333333332,19.0,,,,M,2,268.5,48.194398014707076,6
NR1,0,C(Sex),420.0003607503501,1.0,0.2759971519835688,0.6054142587891456,,F,1,181.6,11.171392035015156,5
NR1,1,C(Order),19866.97005772007,1.0,13.05529153517282,0.0018519304895796248,**,F,2,238.0,40.42771326701524,6
NR1,2,C(Sex):C(Order),32.458730158731925,1.0,0.021329784252585825,0.8854225011697202,,M,1,187.66666666666666,18.228183306809996,6
NR1,3,Residual,28913.36666666667,19.0,,,,M,2,248.83333333333334,60.96036964017415,6
NR2,0,C(Sex),935.1010101009961,1.0,1.179457757552002,0.2910536273346039,,F,1,198.8,21.194338866782328,5
NR2,1,C(Order),2055.472222222221,1.0,2.5925997638167546,0.12385282305288652,,F,2,201.0,33.9293383371972,6
NR2,2,C(Sex):C(Order),1459.8111111111157,1.0,1.84128294265734,0.19070398650140827,,M,1,194.83333333333334,14.386336109887974,6
NR2,3,Residual,15063.633333333335,19.0,,,,M,2,229.0,35.988887173681825,6
NR3,0,C(Sex),2331.083694083673,1.0,2.6233320940329588,0.12178244851375915,,F,1,190.0,14.747881203752629,5
NR3,1,C(Order),1689.356421356421,1.0,1.9011513527604338,0.18396741305867012,,F,2,185.0,31.786789708934123,6
NR3,2,C(Sex):C(Order),2560.158730158737,1.0,2.8811263103464557,0.10594347001863788,,M,1,188.0,17.652195330892983,6
NR3,3,Residual,16883.333333333336,19.0,,,,M,2,225.33333333333334,43.36665385600631,6
NR4,0,C(Sex),2000.7305194805108,1.0,2.237510121240327,0.15112374162320666,,F,1,210.4,24.724481794367296,5
NR4,1,C(Order),12.480519480519485,1.0,0.013957546198300714,0.907195155337565,,F,2,169.16666666666666,42.73835123945081,6
NR4,2,C(Sex):C(Order),8229.728571428583,1.0,9.20368874985391,0.006830926373747427,**,M,1,189.33333333333334,15.794513815457142,6
NR4,3,Residual,16989.36666666667,19.0,,,,M,2,224.0,28.85827437668441,6
NR5,0,C(Sex),384.20779220779866,1.0,0.3049459261001389,0.5872360645571222,,F,1,207.0,18.854707634964804,5
NR5,1,C(Order),1092.207792207796,1.0,0.8668858972762756,0.3634992346790472,,F,2,219.5,58.858304426818144,6
NR5,2,C(Sex):C(Order),8.928571428572338,1.0,0.007086611823751464,0.9337923767406852,,M,1,197.5,13.590437814875575,6
NR5,3,Residual,23938.5,19.0,,,,M,2,212.5,29.228410836034175,6
NR6,0,C(Sex),2.9873737373743823,1.0,0.0034537583596571347,0.9537500578558491,,F,1,188.2,21.833460559425752,5
NR6,1,C(Order),2278.1994949494997,1.0,2.633868823377965,0.12108213146049057,,F,2,216.33333333333334,48.18990212343938,6
NR6,2,C(Sex):C(Order),349.14444444443984,1.0,0.40365238826383576,0.5327868499276551,,M,1,195.66666666666666,14.528133626404548,6
NR6,3,Residual,16434.300000000003,19.0,,,,M,2,208.16666666666666,19.291621670213907,6
PR0,0,C(Sex),484.58910533910046,1.0,0.5617179004162561,0.4627483743230798,,F,1,160.8,28.84787687161743,5
PR0,1,C(Order),30.33910533910524,1.0,0.03516797708372817,0.8532322805486177,,F,2,138.0,43.034869582700026,6
PR0,2,C(Sex):C(Order),2187.7396825396886,1.0,2.5359475225378407,0.12778064451830404,,M,1,149.5,12.02913130695646,6
PR0,3,Residual,16391.13333333333,19.0,,,,M,2,165.83333333333334,24.814646212804778,6
PR1,0,C(Sex),4356.286075036102,1.0,3.467169893699231,0.0781386727177902,,F,1,216.0,32.73377460666582,5
PR1,1,C(Order),4569.437590187597,1.0,3.636817273003519,0.07175008881436379,,F,2,163.83333333333334,34.236919643371344,6
PR1,2,C(Sex):C(Order),2979.206349206357,1.0,2.3711515688281044,0.14008514371671185,,M,1,164.5,50.694181125647944,6
PR1,3,Residual,23872.333333333332,19.0,,,,M,2,158.0,13.236313686219441,6
PR2,0,C(Sex),1891.8109668109794,1.0,1.5153607865675545,0.23334434629711676,,F,1,197.6,54.82517669830167,5
PR2,1,C(Order),205.63672438672612,1.0,0.1647172121742857,0.6893843334891441,,F,2,221.0,26.27546383986399,6
PR2,2,C(Sex):C(Order),1577.792063492053,1.0,1.263828291683781,0.2749308402434883,,M,1,196.83333333333334,36.83702847226777,6
PR2,3,Residual,23720.033333333333,19.0,,,,M,2,187.0,17.08800749063506,6
PR3,0,C(Sex),727.4170274170168,1.0,0.6182890160790623,0.44138114290154207,,F,1,187.0,43.05229378325852,5
PR3,1,C(Order),345.75793650793713,1.0,0.29388689885927505,0.5940421071692528,,F,2,201.66666666666666,28.2465337106461,6
PR3,2,C(Sex):C(Order),247.65873015872813,1.0,0.21050465801846846,0.6515772954988215,,M,1,205.16666666666666,39.11734483150239,6
PR3,3,Residual,22353.5,19.0,,,,M,2,206.66666666666666,25.68787002977605,6
PR4,0,C(Sex),2778.003246753226,1.0,2.0330663393259054,0.17013350247329084,,F,1,193.2,55.84979856722851,5
