,component,diet_phase,sex,order,mean_value,sd_value,n,,,,,,,,time_phase,sex,order,mean_value,sd_value,n
1,meal_frequency,grain,F,1,1.065667647,0.522208186,5,,,,,,,1,grain_number_of_mega_meals,F,1,62.2,11.0317723,5
2,meal_frequency,grain,F,2,1.223580842,0.37855698,6,,,,,,,2,grain_number_of_mega_meals,F,2,56.66666667,15.89549202,6
3,meal_frequency,grain,M,1,1.086127386,0.314058823,6,,,,,,,3,grain_number_of_mega_meals,M,1,66.66666667,8.959166628,6
4,meal_frequency,grain,M,2,1.375570505,0.448389382,6,,,,,,,4,grain_number_of_mega_meals,M,2,53.33333333,11.25462868,6
5,meal_frequency,nr,F,1,1.169616348,0.671360056,5,,,,,,,5,nr_number_of_mega_meals,F,1,102.8,49.5146443,5
6,meal_frequency,nr,F,2,1.410374218,0.412870572,6,,,,,,,6,nr_number_of_mega_meals,F,2,107.8333333,38.93284817,6
7,meal_frequency,nr,M,1,1.071228103,0.137776497,6,,,,,,,7,nr_number_of_mega_meals,M,1,112.6666667,14.17979784,6
8,meal_frequency,nr,M,2,0.868395399,0.370440851,6,,,,,,,8,nr_number_of_mega_meals,M,2,159,42.36035883,6
9,meal_frequency,pr,F,1,1.521775882,0.741887783,5,,,,,,,9,pr_number_of_mega_meals,F,1,90,47.55523105,5
10,meal_frequency,pr,F,2,1.865281937,0.227963745,6,,,,,,,10,pr_number_of_mega_meals,F,2,53,13.29661611,6
11,meal_frequency,pr,M,1,1.333297886,0.378409949,6,,,,,,,11,pr_number_of_mega_meals,M,1,89.83333333,12.98332264,6
12,meal_frequency,pr,M,2,1.774404242,0.435851406,6,,,,,,,12,pr_number_of_mega_meals,M,2,73.83333333,25.62355687,6
13,meal_size,grain,F,1,2.933423765,0.034583067,5,,,,,,,,,,,,,
14,meal_size,grain,F,2,2.923538571,0.157918469,6,,,,,,,,,,,,,
15,meal_size,grain,M,1,2.870861523,0.090752801,6,,,,,,,,,,,,,
16,meal_size,grain,M,2,2.862429785,0.09990426,6,,,,,,,,,,,,,
17,meal_size,nr,F,1,2.917766737,0.311319427,5,,,,,,,,,,,,,
18,meal_size,nr,F,2,3.018789434,0.068191845,6,,,,,,,,,,,,,
19,meal_size,nr,M,1,3.043862755,0.162248612,6,,,,,,,,,,,,,
20,meal_size,nr,M,2,3.125369859,0.135994731,6,,,,,,,,,,,,,
21,meal_size,pr,F,1,2.865251365,0.334074304,5,,,,,,,,,,,,,
22,meal_size,pr,F,2,2.719961255,0.079586352,6,,,,,,,,,,,,,
23,meal_size,pr,M,1,2.924253597,0.149575351,6,,,,,,,,,,,,,
24,meal_size,pr,M,2,2.752363108,0.12707993,6,,,,,,,,,,,,,
