"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","G0","F",1,19.6,5.59464029227975,5
"2","G0","F",2,16.6666666666667,11.6045967903528,6
"3","G0","M",1,20.8333333333333,4.70814896394185,6
"4","G0","M",2,17.1666666666667,6.8239773348588,6
"5","G1","F",1,19.8,5.89067059000926,5
"6","G1","F",2,18.5,4.67974358271904,6
"7","G1","M",1,22.5,5.78791845139511,6
"8","G1","M",2,19.8333333333333,6.33771778061051,6
"9","G2","F",1,21,5.70087712549569,5
"10","G2","F",2,19.8333333333333,5.49241901776136,6
"11","G2","M",1,20.8333333333333,1.32916013582513,6
"12","G2","M",2,15.3333333333333,7.89092305542683,6
"13","NR0","F",1,13,6.59545297913646,5
"14","NR0","F",2,15.1666666666667,7.70497674666619,6
"15","NR0","M",1,14.3333333333333,4.45720390678581,6
"16","NR0","M",2,26,8.43800924389159,6
"17","NR1","F",1,13.6,8.38450952650183,5
"18","NR1","F",2,16.5,5.16720427310553,6
"19","NR1","M",1,15.8333333333333,2.99443929086343,6
"20","NR1","M",2,23.8333333333333,9.38971068066885,6
"21","NR2","F",1,12.6,8.01872807869178,5
"22","NR2","F",2,14.1666666666667,5.81090928054007,6
"23","NR2","M",1,14.5,1.7606816861659,6
"24","NR2","M",2,22.5,7.73950902835574,6
"25","NR3","F",1,12.8,7.46324326281812,5
"26","NR3","F",2,13.3333333333333,6.47044563122716,6
"27","NR3","M",1,16,3.03315017762062,6
"28","NR3","M",2,22,6.19677335393187,6
"29","NR4","F",1,17.8,8.22800097228968,5
"30","NR4","F",2,12.5,6.53452370108182,6
"31","NR4","M",1,17,3.74165738677394,6
"32","NR4","M",2,23,5.86515131944607,6
"33","NR5","F",1,15.4,6.18869937870632,5
"34","NR5","F",2,14.3333333333333,9.3523615556001,6
"35","NR5","M",1,16.3333333333333,2.16024689946929,6
"36","NR5","M",2,19.1666666666667,4.35507366948788,6
"37","NR6","F",1,15.8,6.72309452558864,5
"38","NR6","F",2,20.1666666666667,9.55859124906315,6
"39","NR6","M",1,17,2.68328157299975,6
"40","NR6","M",2,21.1666666666667,5.19294393062997,6
"41","PR0","F",1,8,3.67423461417477,5
"42","PR0","F",2,4.5,4.59347363114234,6
"43","PR0","M",1,9,1.54919333848297,6
"44","PR0","M",2,6.66666666666667,1.211060141639,6
"45","PR1","F",1,13.6,5.59464029227975,5
"46","PR1","F",2,4.5,3.08220700148449,6
"47","PR1","M",1,9,3.5213633723318,6
"48","PR1","M",2,4,1.89736659610103,6
"49","PR2","F",1,12.6,8.64869932417586,5
"50","PR2","F",2,6.33333333333333,2.42212028327799,6
"51","PR2","M",1,10.3333333333333,3.14112506383727,6
"52","PR2","M",2,4.66666666666667,2.80475786239502,6
"53","PR3","F",1,12.8,9.44457516249408,5
"54","PR3","F",2,5.5,1.37840487520902,6
"55","PR3","M",1,13.3333333333333,2.58198889747161,6
"56","PR3","M",2,8,3.46410161513775,6
"57","PR4","F",1,10.6,7.3348483283569,5
"58","PR4","F",2,7.83333333333333,2.13697605664328,6
"59","PR4","M",1,16,2.28035085019828,6
"60","PR4","M",2,12.6666666666667,6.94742158406028,6
"61","PR5","F",1,16,9.02773504263389,5
"62","PR5","F",2,12.5,4.03732584763727,6
"63","PR5","M",1,15.6666666666667,3.9327683210007,6
"64","PR5","M",2,15.8333333333333,5.91326193117358,6
"65","PR6","F",1,14.4,6.87749954561976,5
"66","PR6","F",2,11,5.05964425626941,6
"67","PR6","M",1,15,3.286335345031,6
"68","PR6","M",2,19.8333333333333,8.61200712184254,6
