"","contrast","estimate","SE","df","t.ratio","p.value"
"1","G0 F Order1 - G1 F Order1",11.4,4.79934206017099,19,2.37532558777314,0.960600491224545
"2","G0 F Order1 - G2 F Order1",13,4.65776092582104,19,2.79104063240611,0.826289067994623
"3","G0 F Order1 - NR0 F Order1",9.4,7.00127807881119,19,1.34261200514922,0.999999449342648
"4","G0 F Order1 - NR1 F Order1",2.79999999999999,8.34831635510492,19,0.335396968789739,1
"5","G0 F Order1 - NR2 F Order1",-0.200000000000006,7.39224344552415,19,-0.0270553860237249,1
"6","G0 F Order1 - NR3 F Order1",-0.6,7.4781787819453,19,-0.0802334388485858,1
"7","G0 F Order1 - NR4 F Order1",3.39999999999999,6.58776111370381,19,0.516108574873387,1
"8","G0 F Order1 - NR5 F Order1",-0.400000000000004,6.43771780418463,19,-0.062133820115569,1
"9","G0 F Order1 - NR6 F Order1",8.19999999999999,6.17717928019328,19,1.32746673328598,0.999999603668034
"10","G0 F Order1 - PR0 F Order1",1.6,6.18830249093386,19,0.258552325511571,1
"11","G0 F Order1 - PR1 F Order1",-4.20000000000001,7.73801280079473,19,-0.542775013187966,1
"12","G0 F Order1 - PR2 F Order1",2.2,6.65645709462861,19,0.33050614895051,1
"13","G0 F Order1 - PR3 F Order1",0.999999999999992,7.86308273995884,19,0.127176583672223,1
"14","G0 F Order1 - PR4 F Order1",0.999999999999993,7.67406203194732,19,0.130309084789381,1
"15","G0 F Order1 - PR5 F Order1",-2,7.59755269922781,19,-0.263242662364589,1
"16","G0 F Order1 - PR6 F Order1",-4.4,7.62086240917976,19,-0.577362477335892,1
"17","G0 F Order1 - G0 M Order1",-3.53333333333334,6.46872367356284,19,-0.546218003989534,1
"18","G0 F Order1 - G1 M Order1",8.63333333333333,5.9402433643808,19,1.45336357515266,0.999995146282318
"19","G0 F Order1 - G2 M Order1",10.6333333333333,5.42783060063961,19,1.9590392765906,0.997238619104665
"20","G0 F Order1 - NR0 M Order1",7.63333333333333,5.76399390448968,19,1.32431322097471,0.999999630278757
"21","G0 F Order1 - NR1 M Order1",8.96666666666667,6.87840930883609,19,1.30359597169479,1
"22","G0 F Order1 - NR2 M Order1",7.63333333333333,6.41792081614748,19,1.18937792347451,1
"23","G0 F Order1 - NR3 M Order1",8.13333333333333,6.68647933130382,19,1.21638502571238,1
"24","G0 F Order1 - NR4 M Order1",7.29999999999999,6.10003834711367,19,1.1967137884394,1
"25","G0 F Order1 - NR5 M Order1",7.13333333333333,6.47550038708654,19,1.1015879711101,1
"26","G0 F Order1 - NR6 M Order1",5.79999999999999,5.93002075871834,19,0.978074147796669,1
"27","G0 F Order1 - PR0 M Order1",9.46666666666667,6.2046671737364,19,1.52573319431829,0.999983396130246
"28","G0 F Order1 - PR1 M Order1",6.96666666666666,7.95103435839772,19,0.876196272414369,1
"29","G0 F Order1 - PR2 M Order1",0.300000000000002,7.0839741712177,19,0.0423491098003868,1
"30","G0 F Order1 - PR3 M Order1",-1.03333333333333,7.03162862853199,19,-0.14695504952301,1
"31","G0 F Order1 - PR4 M Order1",0.133333333333328,7.13093499606669,19,0.0186978753006264,1
"32","G0 F Order1 - PR5 M Order1",3.63333333333334,6.7947735332696,19,0.534724713861803,1
"33","G0 F Order1 - PR6 M Order1",6.13333333333333,6.97537020334292,19,0.879284275176385,1
