G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6,Sex,Order,Mouse
24.7,26.6,26.7,27.7,26.3,26.6,25.6,25.5,26.1,25.7,25.8,25.5,25.7,25.6,25.1,25.5,26.5,M,NRPR,FEDXA07
24.9,26.2,26.1,26.4,25.3,26.5,25.9,26.3,25.9,26.1,26.7,26,25.8,25.8,26,25.7,25.7,M,NRPR,FEDXA08
24.1,25.4,25,25.1,24.3,24.9,24.5,24.5,24.7,25.1,25,24.5,24.3,24.9,24.9,24.9,24.3,M,NRPR,FEDXA09
24.9,26,26.2,26.3,25.2,25.7,25.9,25.4,26,25.4,25,25,24.6,25.1,25.1,24.3,23.5,M,NRPR,FEDXA10
26.1,27.2,26.9,27.1,26.4,26.1,26.4,26.4,26.3,26.4,26.3,26.2,24.4,25.9,26.4,26.5,27.3,M,NRPR,FEDXA11
23.3,24,24.1,24.1,24,23.8,23.6,23.9,23.8,24,24,23.8,24,24,24.3,25.8,24.7,M,NRPR,FEDXA12
25.6,26.7,26.4,25.7,26.7,26.7,24.9,26.4,26.9,26.1,26.6,25.4,25.5,24.9,24.8,25.3,25.1,M,PRNR,FEDXA01
24.9,24.7,25.9,25,25.9,25.5,25.4,25.5,25.5,25.2,25.3,25.1,24.5,24.7,24.4,24.7,25.3,M,PRNR,FEDXA02
25,25.3,25,23.8,24.6,25.3,24.9,25.4,25.4,24.5,25,24.1,23.9,23.9,23.2,23.2,23.2,M,PRNR,FEDXA03
24.4,25.6,25.8,23.6,24.9,25,24.5,25,25.1,25.2,26.4,25.1,25,24,23.6,23.6,23.5,M,PRNR,FEDXA04
24.6,26.4,26.5,24.4,25.3,25.3,24.9,25.9,26.8,26,26.3,24.9,24.8,24.2,24.2,24.2,24.2,M,PRNR,FEDXA05
23.6,23.5,24.6,23.2,23.7,23.6,23.6,23.6,23.3,23.8,25.1,24.9,23.6,23.2,23.1,22.7,23.6,M,PRNR,FEDXA06
20.8,20.9,20.4,20.8,20.5,20.4,20.5,20.8,21.6,21,21.2,20.6,21,21.6,21.5,21.6,22,F,NRPR,FEDXB07
22.2,23,22.3,22.2,22.1,21.9,22.1,22.3,22.6,22.4,22.9,22.5,22.3,22.3,22.9,22.7,22.5,F,NRPR,FEDXB08
22.7,22.6,22.7,22.9,21.8,21.8,22.2,19.6,19.8,19.9,22.9,22.9,22.9,23.3,23.1,23.3,23.8,F,NRPR,FEDXB10
19.1,19.4,19.8,19.9,19.4,19.2,19.4,21,21.3,21.2,20.2,20,20,19.7,21.3,19.5,19.8,F,NRPR,FEDXB11
21.4,22.1,21.7,21.6,21,21.7,20.9,21,21.3,21.2,21.2,21.1,20.8,21,20.8,21,20.9,F,NRPR,FEDXB12
21.3,21.8,21.9,21.3,21.4,21.2,21.1,20.9,20.8,20.9,22,20.7,20.5,20.5,20.9,21.3,21.1,F,PRNR,FEDXB01
18.8,19.4,19.2,18.7,19.1,19.3,19.5,18.9,18.8,19.5,19.2,18,17.9,18.3,18.6,18.7,18.9,F,PRNR,FEDXB02
20.7,20.9,20.3,21.2,21.2,21.6,21.9,21.8,22,21.2,20.3,19.6,19.7,19.2,19.6,20.3,20.9,F,PRNR,FEDXB03
17.5,17.3,16.9,17.3,17.6,17.7,18.1,18.1,17.8,18,17.9,16.3,16.7,16.7,16.5,16.5,16.9,F,PRNR,FEDXB04
21.6,22.1,21.9,22.1,22.6,22.7,22.6,22.7,22.2,23.1,21.4,20.8,20.8,21.4,21.1,21.1,22.1,F,PRNR,FEDXB05
21.5,22.2,22,20.3,20.6,21.5,22.3,22.7,22.5,22.5,22.7,20.8,20.4,21.2,21.7,21.7,21.8,F,PRNR,FEDXB06
