,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6,Sex,Order,Mouse
FEDXA07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,NRPR,FEDXA07
FEDXA08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,NRPR,FEDXA08
FEDXA09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,27.0,15.0,M,NRPR,FEDXA09
FEDXA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,NRPR,FEDXA10
FEDXA11,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,M,NRPR,FEDXA11
FEDXA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,40.0,34.0,40.0,32.0,28.0,M,NRPR,FEDXA12
FEDXA01,0.0,0.0,0.0,10.0,5.0,17.0,10.0,10.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,M,PRNR,FEDXA01
FEDXA02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PRNR,FEDXA02
FEDXA03,0.0,0.0,0.0,50.0,70.0,45.0,40.0,55.0,45.0,40.0,0.0,0.0,0.0,0.0,35.0,10.0,25.0,M,PRNR,FEDXA03
FEDXA04,0.0,0.0,0.0,70.0,32.0,25.0,25.0,13.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,M,PRNR,FEDXA04
FEDXA05,0.0,0.0,0.0,30.0,45.0,45.0,25.0,20.0,38.0,13.0,0.0,0.0,0.0,0.0,25.0,30.0,26.0,M,PRNR,FEDXA05
FEDXA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,M,PRNR,FEDXA06
FEDXB07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,NRPR,FEDXB07
FEDXB08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,NRPR,FEDXB08
FEDXB10,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,20.0,25.0,40.0,6.0,0.0,0.0,F,NRPR,FEDXB10
FEDXB11,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,F,NRPR,FEDXB11
FEDXB12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,NRPR,FEDXB12
FEDXB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,F,PRNR,FEDXB01
FEDXB02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,60.0,58.0,0.0,0.0,0.0,F,PRNR,FEDXB02
FEDXB03,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,10.0,25.0,F,PRNR,FEDXB03
FEDXB04,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PRNR,FEDXB04
FEDXB05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PRNR,FEDXB05
FEDXB06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PRNR,FEDXB06
