Mouse_ID,Sex,Order,PR,NR
FEDXA07,M,1,25.67142857,26.21428571
FEDXA08,M,1,25.95714286,26.05714286
FEDXA09,M,1,24.68571429,24.72857143
FEDXA10,M,1,24.65714286,25.7
FEDXA11,M,1,26.14285714,26.44285714
FEDXA12,M,1,24.37142857,23.88571429
FEDXA01,M,2,25.37142857,26.2
FEDXA02,M,2,24.85714286,25.42857143
FEDXA03,M,2,23.78571429,24.84285714
FEDXA04,M,2,24.45714286,24.75714286
FEDXA05,M,2,24.68571429,25.51428571
FEDXA06,M,2,23.74285714,23.54285714
FEDXB07,F,1,21.35714286,20.8
FEDXB08,F,1,22.58571429,22.22857143
FEDXB10,F,1,23.17142857,21.14285714
FEDXB11,F,1,20.07142857,20.2
FEDXB12,F,1,20.97142857,21.24285714
FEDXB01,F,2,21,21.08571429
FEDXB02,F,2,18.51428571,19.11428571
FEDXB03,F,2,19.94285714,21.55714286
FEDXB04,F,2,16.78571429,17.8
FEDXB05,F,2,21.24285714,22.57142857
FEDXB06,F,2,21.47142857,21.77142857
