"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",-0.0458572733764498,-0.361318116941934,0.269603570189034,0.999746062643776,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",-0.067978723000463,-0.383439566565947,0.247482120565021,0.996779721027957,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",0.242899549573333,-0.0725612939921513,0.558360393138817,0.23979737176824,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",-0.112818108443924,-0.442306213606043,0.216669996718195,0.953421956444544,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",-0.0890135024588504,-0.404474346024334,0.226447341106634,0.983821494907824,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",-0.278663727468701,-0.594124571034185,0.0367971160967828,0.117063893196919,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",-0.183834466457105,-0.499295310022589,0.131626377108379,0.580011633778206,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",-0.0221214496240132,-0.322901562335558,0.278658663087532,0.999997528026943,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",0.288756822949782,-0.0120232897617626,0.589536935661327,0.0676888453774658,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",-0.0669608350674739,-0.382421678632958,0.24850000849801,0.997068700074574,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",-0.0431562290824006,-0.343936341793946,0.257623883629144,0.999767141012427,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",-0.232806454092251,-0.533586566803796,0.0679736586192936,0.234265825603387,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",-0.137977193080655,-0.4387573057922,0.16280291963089,0.817815850323468,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",0.310878272573796,0.0100981598622506,0.611658385285341,0.0384502144683683,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",-0.0448393854434607,-0.360300229008945,0.270621458122023,0.999781237941482,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",-0.0210347794583874,-0.321814892169932,0.279745333253158,0.999998254583031,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",-0.210685004468238,-0.511465117179783,0.0900951082433068,0.34915940523781,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",-0.115855743456642,-0.416635856168187,0.184924369254903,0.916150230763644,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",-0.355717658017256,-0.67117850158274,-0.0402568144517724,0.017778529411282,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",-0.331913052032183,-0.632693164743728,-0.031132939320638,0.0217662455076094,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",-0.521563277042034,-0.822343389753579,-0.220783164330489,5.8572270309587e-05,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",-0.426734016030438,-0.727514128741983,-0.125953903318893,0.0012770862020044,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",0.0238046059850733,-0.291656237580411,0.339265449550557,0.999997048719943,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",-0.165845619024777,-0.481306462590261,0.149615224540706,0.69630884091106,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",-0.0710163580131814,-0.386477201578665,0.244444485552303,0.995779386329391,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",-0.189650225009851,-0.490430337721396,0.111129887701694,0.481861878838169,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",-0.0948209639982547,-0.3956010767098,0.20595914871329,0.96997302365138,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",0.0948292610115961,-0.205950851699949,0.395609373723141,0.969958746231824,"M.2.PR-F.2.PR",""
