Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,0.3738749134548811,0.7914710335259267
FEDXA02,M,2,0.196910429,0.4346477290829973
FEDXA03,M,2,0.3027944164445734,0.9376894037424092
FEDXA04,M,2,0.2799150990373369,0.8755607603518902
FEDXA05,M,2,0.1910336879285613,0.5945846749303482
FEDXA06,M,2,0.083343393,0.3543224334144071
FEDXA07,M,1,0.3068381796273487,0.4224688644083205
FEDXA08,M,1,0.4209323651888934,0.3989731239000119
FEDXA09,M,1,0.2825509744000801,0.3590180855360588
FEDXA10,M,1,0.3364373685791529,0.3983063722414146
FEDXA11,M,1,0.2527861649730662,0.3617780501546948
FEDXA12,M,1,0.3972526700863389,0.3151906011087837
FEDXB01,F,2,0.078192484,0.1859277980384284
FEDXB02,F,2,0.1778354462270069,0.3068576671797674
FEDXB03,F,2,0.09473544,0.1386999725280247
FEDXB04,F,2,0.1878502624685611,0.5841066780856288
FEDXB05,F,2,0.183263569,0.3166310982187011
FEDXB06,F,2,0.1370191711002076,0.5907831855546548
FEDXB07,F,1,0.2833226445456204,0.4843862553759162
FEDXB08,F,1,0.4238201516864925,0.5987274571537722
FEDXB10,F,1,0.1254459470671202,0.1957805017122554
FEDXB11,F,1,0.090151605,0.1368936709823443
FEDXB12,F,1,0.6222347241544673,0.6932777294490301
