Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,7.126984126984127,7.916666666666667
FEDXA02,M,2,6.606060606060606,7.166666666666667
FEDXA03,M,2,6.901960784313726,7.955128205128205
FEDXA04,M,2,7.638297872340425,7.821917808219178
FEDXA05,M,2,7.09375,7.424242424242424
FEDXA06,M,2,7.285714285714286,7.101694915254237
FEDXA07,M,1,7.098039215686274,7.197183098591549
FEDXA08,M,1,7.614285714285714,8.149253731343284
FEDXA09,M,1,7.1063829787234045,7.383333333333334
FEDXA10,M,1,7.642857142857143,7.164179104477612
FEDXA11,M,1,7.928571428571429,7.639344262295082
FEDXA12,M,1,7.893939393939394,7.20754717
FEDXB01,F,2,7.3076923076923075,6.967741935483871
FEDXB02,F,2,7.733333333333333,6.568627450980392
FEDXB03,F,2,7.375,6.608695652173913
FEDXB04,F,2,6.733333333333333,7.670103092783505
FEDXB05,F,2,7,6.698113208
FEDXB06,F,2,6.521739130434782,7.616161616161616
FEDXB07,F,1,6.553191489361702,7.268292682926829
FEDXB08,F,1,7.295774647887324,7.742574257425742
FEDXB10,F,1,6.904761904761905,7.727272727272727
FEDXB11,F,1,6.4,6.652173913043479
FEDXB12,F,1,7.960784314,7.810344827586207
