Mouse ID,Sex,Order,Total NR Parameters,Total PR Parameters
FEDXA01,M,2.0,361,545
FEDXA02,M,2.0,368,519
FEDXA03,M,2.0,401,611
FEDXA04,M,2.0,353,540
FEDXA05,M,2.0,453,613
FEDXA06,M,2.0,435,724
FEDXA07,M,1.0,319,366
FEDXA08,M,1.0,357,297
FEDXA09,M,1.0,350,486
FEDXA10,M,1.0,375,366
FEDXA11,M,1.0,458,573
FEDXA12,M,1.0,465,521
FEDXB01,F,2.0,461,604
FEDXB02,F,2.0,339,607
FEDXB03,F,2.0,507,637
FEDXB04,F,2.0,337,586
FEDXB05,F,2.0,444,559
FEDXB06,F,2.0,486,514
FEDXB07,F,1.0,385,577
FEDXB08,F,1.0,261,336
FEDXB10,F,1.0,602,690
FEDXB11,F,1.0,628,610
FEDXB12,F,1.0,250,274
