MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/15/2022 12:15:36,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Right,Left,0,1,0,0,nan,nan,0.04
5/15/2022 12:15:53,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Right,Left,0,2,0,0,nan,nan,0.09
5/15/2022 12:18:14,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Left,Left,1,2,0,0,nan,nan,0.26
5/15/2022 12:19:39,1.12.0,ClosedEcon_PR1,4,3.78,3,1,Pellet,Left,1,2,1,1,Timed_out,nan,nan
5/15/2022 12:48:45,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Right,Left,1,3,1,0,nan,nan,0.10
5/15/2022 12:50:18,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Right,Left,1,4,1,0,nan,nan,0.09
5/15/2022 12:55:28,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,Left,Left,2,4,1,0,nan,nan,0.17
5/15/2022 12:57:47,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,2,5,1,1,nan,nan,0.09
5/15/2022 13:00:22,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,2,6,1,1,nan,nan,0.25
5/15/2022 13:00:25,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,LeftWithPellet,Left,3,6,1,1,nan,nan,0.41
5/15/2022 13:14:52,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,RightWithPellet,Left,3,7,1,1,nan,nan,0.13
5/15/2022 13:16:28,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,3,8,1,1,nan,nan,0.16
5/15/2022 13:16:32,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,3,9,1,1,nan,nan,0.37
5/15/2022 13:16:35,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,3,10,1,1,nan,nan,0.05
5/15/2022 13:16:36,1.12.0,ClosedEcon_PR1,4,3.78,nan,1,RightWithPellet,Left,3,11,1,1,nan,nan,0.16
5/15/2022 13:16:37,1.12.0,ClosedEcon_PR1,4,3.78,2,1,Pellet,Left,3,11,2,1,Timed_out,3418,nan
5/15/2022 13:20:01,1.12.0,ClosedEcon_PR1,4,3.78,nan,3,Left,Left,4,11,2,1,nan,nan,0.19
5/15/2022 13:20:05,1.12.0,ClosedEcon_PR1,4,3.78,nan,3,Right,Left,4,12,2,1,nan,nan,0.14
5/15/2022 13:22:18,1.12.0,ClosedEcon_PR1,4,3.78,nan,3,Right,Left,4,13,2,1,nan,nan,0.14
5/15/2022 13:22:22,1.12.0,ClosedEcon_PR1,4,3.78,nan,3,Left,Left,5,13,2,1,nan,nan,0.02
5/15/2022 13:22:22,1.12.0,ClosedEcon_PR1,4,3.78,nan,3,Left,Left,6,13,2,1,nan,nan,0.00
5/15/2022 13:22:24,1.12.0,ClosedEcon_PR1,4,3.78,1,3,Pellet,Left,6,13,3,2,1.15,347,nan
5/15/2022 13:22:30,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Left,Left,7,13,3,2,nan,nan,0.06
5/15/2022 13:26:15,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Left,Left,8,13,3,2,nan,nan,0.19
5/15/2022 13:26:18,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Right,Left,8,14,3,2,nan,nan,0.16
5/15/2022 13:26:20,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Left,Left,9,14,3,2,nan,nan,0.15
5/15/2022 13:33:13,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Right,Left,9,15,3,2,nan,nan,0.05
5/15/2022 13:33:14,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Right,Left,9,16,3,2,nan,nan,0.10
5/15/2022 13:40:36,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Left,Left,10,16,3,2,nan,nan,0.28
5/15/2022 13:40:41,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Right,Left,10,17,3,2,nan,nan,0.13
5/15/2022 13:40:43,1.12.0,ClosedEcon_PR1,4,3.78,nan,5,Left,Left,11,17,3,2,nan,nan,0.10
5/15/2022 16:18:49,1.12.0,ClosedEcon_PR1,4,3.77,1,5,Pellet,Left,11,17,4,3,Timed_out,10585,nan
5/15/2022 16:19:08,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,18,4,0,nan,nan,0.06
5/15/2022 16:19:13,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,19,4,0,nan,nan,0.10
5/15/2022 16:32:13,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,20,4,0,nan,nan,0.00
5/15/2022 16:32:14,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,11,21,4,0,nan,nan,0.06
5/15/2022 16:32:15,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,22,4,0,nan,nan,0.27
5/15/2022 16:34:35,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,23,4,0,nan,nan,0.02
5/15/2022 16:34:38,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,11,24,4,0,nan,nan,0.23
5/15/2022 16:34:40,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,25,4,0,nan,nan,0.47
5/15/2022 16:34:42,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,26,4,0,nan,nan,0.15
5/15/2022 16:34:44,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,27,4,0,nan,nan,0.01
5/15/2022 16:34:46,1.12.0,ClosedEcon_PR1,4,3.77,nan,1,Right,Left,11,28,4,0,nan,nan,0.17
5/15/2022 19:23:11,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,11,29,4,0,nan,nan,0.64
5/15/2022 19:23:13,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,11,30,4,0,nan,nan,0.42
5/15/2022 19:23:16,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,11,31,4,0,nan,nan,0.33
5/15/2022 20:30:40,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Left,Left,12,31,4,0,nan,nan,0.36
5/15/2022 20:30:46,1.12.0,ClosedEcon_PR1,4,3.76,4,1,Pellet,Left,12,31,5,1,0.75,15117,nan
5/15/2022 20:34:50,1.12.0,ClosedEcon_PR1,4,3.76,nan,3,Left,Left,13,31,5,1,nan,nan,0.16
5/15/2022 20:35:06,1.12.0,ClosedEcon_PR1,4,3.76,nan,3,Right,Left,13,32,5,1,nan,nan,0.05
5/15/2022 20:53:50,1.12.0,ClosedEcon_PR1,4,3.76,nan,3,Right,Left,13,33,5,1,nan,nan,0.15
5/15/2022 21:00:35,1.12.0,ClosedEcon_PR1,4,3.76,nan,3,Right,Left,13,34,5,1,nan,nan,0.00
5/15/2022 21:06:52,1.12.0,ClosedEcon_PR1,4,3.76,nan,1,Right,Left,13,35,5,0,nan,nan,0.37
